# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
001;Rollenwerte;Rollenwerte;ZIR;V1.11;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
001_1;Abfluss;0;1;0;NULL;;;;;
001_10;benutzt bei;0;1;0;NULL;;;;;
001_100;Sprecher;0;1;0;NULL;;;;;
001_101;Akteur;NULL;1;0;NULL;;;;;
001_102;Führungsperson;NULL;1;0;NULL;;;;;
001_103;Unterstützer / Logistiker;NULL;1;0;NULL;;;;;
001_109;angegriffenes Objekt;NULL;1;0;NULL;;Wirkt eine beschuldigte Person auf ein Objekt ein, ohne sich dieses anzueignen, so ist dieses als angegriffenes Objekt abzubilden.;;;
001_11;Besitzer;0;1;0;NULL;;;;;
001_110;Probengeber;NULL;1;0;NULL;;;;;
001_111;Tatobjekt;NULL;1;0;NULL;;Gemäß § 74 StGB sind Tatobjekte „Gegenstände, auf die sich eine Straftat bezieht“. Kein Werkzeug (Tatmittel) für oder Produkt / Ergebnis (Tatprodukt) einer Straftat.;;;
001_112;Tatprodukt;NULL;1;0;NULL;;Gemäß § 74 StGB sind Tatprodukte „Gegenstände, die durch eine vorsätzliche Tat hervorgebracht“ wurden.;;;
001_113;Feststellungsort;NULL;1;0;NULL;;Örtlichkeit, an dem ein allgemeines Ereignis, eine Straftat oder eine Ordnungswidrigkeit entdeckt bzw. festgestellt wird.;;;
001_114;Ereignisort;NULL;1;0;NULL;;Örtlichkeit, an dem ein allgemeines Ereignis stattgefunden hat.;;;
001_115;Unfallort;NULL;1;0;NULL;;Örtlichkeit, an dem ein Verkehrsunfall stattgefunden hat.;;;
001_116;Auftraggeber;NULL;1;0;NULL;;;;;
001_117;Begünstigter;NULL;1;0;NULL;;;;;
001_12;Bestandteil;0;1;0;NULL;;;;;
001_13;Dritter;0;1;0;NULL;;;;;
001_14;Eigentümer;0;1;0;NULL;;;;;
001_15;in eingetragener Lebenspartnerschaft;0;1;0;NULL;;;;;
001_16;Elternteil / Kind;0;1;0;NULL;;;;;
001_17;erhält;0;1;0;NULL;;;;;
