# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
105;Art des Betäubungsmittels;Art des Betäubungsmittels;ZIR;V1.4;20181019

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
105_1;Kokain;0;1;0;NULL;;;;;
105_11;Haschisch;0;1;0;NULL;;;;;
105_12;Marihuana;0;1;0;NULL;;;;;
105_14;Cannabispflanze;0;1;0;NULL;;;;;
105_15;Amphetamin;0;1;0;NULL;;hierunter sind alle Sicherstellungsfälle von Amphetamin mit Beschaffenheit Pulver / flüssig zu erfassen;;;
105_16;Methamphetamin;0;1;0;NULL;;Crystal ist als Methamphetamin mit Beschaffenheit kristallin zu erfassen (analog zur Erfassung PKS);;;'Crystal; Crystal Meth; Ice'
105_17;Ecstasy;0;1;0;NULL;;BtM in Tablettenform;;;
105_26;Meskalin;0;1;0;NULL;;;;;
105_28;LSD;0;1;0;NULL;;;;;
105_35;GHB;0;1;0;NULL;;;;;
105_38;Pilz;0;1;0;NULL;;;;;
105_4;Crack;0;1;0;NULL;;auch Kokainbase;;;
105_41;Khat;0;1;0;NULL;;Bei Khat handelt es sich um die Zweigspitzen und jungen Blätter des Kathstrauchs, die als leichtes Rauschmittel konsumiert werden.;;;'Kath; Kat; Qat; Qad; Gat; Chat; Miraa'
105_43;NPS-Fertigprodukt;0;1;0;NULL;;'"Neue Psychoaktive Substanzen" (sog. Legal Highs) werden Fertigprodukte genannt, die psychoaktiv wirksame Substanzen enthalten und in der Regel als "legal" deklariert werden, u. a. indem konsumfremde Verwendungszwecke (z.B. Kräutermischungen, Pflanzendünger, Badesalze, Raumlufterfrischer etc.) vorgetäuscht werden.';;;
105_45;BtM-haltige Arzneimittel;0;1;0;NULL;;'z. B. Substitutionsmittel; Stoffe, die nur über BtM-Rezepte zu erhalten sind';;;
105_46;DMT;0;1;0;NULL;;;;;Dimethyltryptamin
105_47;Fentanyl;0;1;0;NULL;;;;;
105_48;NPS-Reinsubstanz;0;1;0;NULL;;Stoffe, die bereits dem BtMG unterstellt sind oder bei denen der Verdacht auf BtM-haltige Inhaltsstoffe besteht und die nicht in Fertigprodukten (siehe sog. Legal Highs) verarbeitet sind. Oftmals als Research Chemicals (RC) bezeichnet.;;;
105_49;Amphetaminderivat;0;1;0;NULL;;z.B. MDA, MDE, MDMA;;;
105_5;Opium;0;1;0;NULL;;;;;
105_50;unbekannt;0;1;0;NULL;;;;;
105_51;Fentanylderivat;0;1;0;NULL;;;;;'Carfentanyl; Acrylfentanyl; Acrylolylfentanyl'
105_52;Buprenorphin;0;1;0;NULL;;;;;
105_53;Codein;0;1;0;NULL;;;;;
105_54;Methadon;0;1;0;NULL;;;;;
105_55;Oxycodon;0;1;0;NULL;;;;;
105_56;Pethidin;0;1;0;NULL;;;;;
105_57;Diazepine;0;1;0;NULL;;;;;
105_58;Morphin;0;1;0;NULL;;;;;
105_8;Heroin;0;1;0;NULL;;;;;
