# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
109;Art des Kraftfahrzeugkennzeichens;Art des Kraftfahrzeugkennzeichens;ZIR;V1.1;20190405

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
109_1;Kennzeichen;0;1;0;NULL;;;;;Amtliches Kennzeichen
109_10;rotes Versicherungskennzeichen;0;1;0;NULL;;;;;
109_11;grünes Kennzeichen;0;1;0;NULL;;;;;
109_12;Kennzeichen für Elektrofahrzeuge;0;1;0;NULL;;;;;
109_13;Wechselkennzeichen;0;1;0;NULL;;;;;
109_14;grünes Versicherungskennzeichen;0;1;0;NULL;;;;;
109_15;blaues Versicherungskennzeichen;0;1;0;NULL;;;;;
109_16;schwarzes Versicherungskennzeichen;0;1;0;NULL;;;;;
109_2;Ausfuhrkennzeichen;0;1;0;NULL;;;;;
109_3;Versicherungskennzeichen;0;1;0;NULL;;;;;
109_4;Oldtimerkennzeichen;0;1;0;NULL;;;;;
109_5;Saisonkennzeichen;0;1;0;NULL;;;;;
109_6;rotes Kennzeichen;0;1;0;NULL;;;;;Überführungskennzeichen
109_7;Kurzzeitkennzeichen;0;1;0;NULL;;;;;
109_8;besonderes Kennzeichen;0;1;0;NULL;;umfasst alle besonderen Kennzeichen gem. FZV Anlage3 (z.B. Behördenkennzeichen, etc.);;;
109_9;rotes Oldtimerkennzeichen;0;1;0;NULL;;;;;Sammlerkennzeichen
