# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
112;Art des Kontos;Art des Kontos;ZIR;V1.1;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
112_1;Girokonto;0;1;0;NULL;;;;;
112_10;Investitionskreditkonto/Betriebsmittelkreditkonto;0;1;0;NULL;;;;;
112_11;Wechselkreditkonto;0;1;0;NULL;;;;;
112_12;Akzeptkreditkonto/Avalkreditkonto;0;1;0;NULL;;;;;
112_13;Schließfachkonto;0;1;0;NULL;;;;;
112_14;Verwahrstückkonto;0;1;0;NULL;;;;;
112_15;Conto pro Diverse/Internes Zwischenkonto;0;1;0;NULL;;;;;
112_16;Konto für virtuelle Währungen;0;1;0;NULL;;;;;
112_2;Kontokorrentkonto;0;1;0;NULL;;;;;
112_3;Kreditkartenkonto;0;1;0;NULL;;;;;
112_4;Verrechnungskonto;0;1;0;NULL;;;;;
112_5;Sparkonto;0;1;0;NULL;;;;;
112_6;Termingeldkonto;0;1;0;NULL;;;;;
112_7;Wertpapierdepotkonto;0;1;0;NULL;;;;;
112_8;Ratenkreditkonto;0;1;0;NULL;;;;;
112_9;Baufinanzierungskreditkonto;0;1;0;NULL;;;;;
