# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
115;Art der Örtlichkeit;Art der Örtlichkeit;ZIR;V1.7;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
115_1;Botanischer Garten;0;1;0;NULL;;;;;
115_10;Reithalle;0;1;0;NULL;;;;;
115_100;Pfarrhaus;0;1;0;NULL;;;;;
115_101;Synagoge;0;1;0;NULL;;;;;
115_102;religiöse Einrichtung;0;1;0;NULL;;;;;
115_103;Elektrizitätswerk;0;1;0;NULL;;;;;
115_104;Hochspannungsanlage;0;1;0;NULL;;;;;
115_105;Kläranlage;0;1;0;NULL;;;;;
115_106;Mülldeponie;0;1;0;NULL;;;;;
115_107;Müllverbrennungsanlage;0;1;0;NULL;;;;;
115_108;Pumpstation / Rohrleitungsanlage;0;1;0;NULL;;;;;
115_109;Rundfunkanstalt;0;1;0;NULL;;;;;
115_11;Rummelplatz / Festplatz;0;1;0;NULL;;;;;
115_110;Schrottplatz;0;1;0;NULL;;;;;
115_111;Schutthalde;0;1;0;NULL;;;;;
115_112;Sendeanlage;0;1;0;NULL;;;;;
115_113;Umspannwerk / Umspannanlage;0;1;0;NULL;;;;;
115_114;Wasserversorgungsanlage;0;1;0;NULL;;;;;
115_115;Wasserwerk;0;1;0;NULL;;;;;
115_116;Ver- / Entsorgungseinrichtung;0;1;0;NULL;;;;;
115_117;Abfertigungsschalter;0;1;0;NULL;;;;;
115_118;Agentur;0;1;0;NULL;;;;;
115_119;Automatenraum / Geldautomatenraum;0;1;0;NULL;;;;;
115_12;Spielbank / Spielcasino;0;1;0;NULL;;;;;
115_120;Bank / Sparkasse;0;1;0;NULL;;;;;Geldinstitut
115_121;Bedürfnisanstalt / öffentliche Toilette;0;1;0;NULL;;;;;
115_122;Bibliothek;0;1;0;NULL;;;;;
115_123;Bordell;0;1;0;NULL;;;;;
115_124;Druckerei;0;1;0;NULL;;;;;
115_125;Gepäckkontrollstelle;0;1;0;NULL;;;;;
115_126;Info-Stand;0;1;0;NULL;;;;;
115_127;Internet-Café / Callshop;0;1;0;NULL;;;;;
115_128;Kanzlei;0;1;0;NULL;;;;;
115_129;Leihhaus / Pfandleihe;0;1;0;NULL;;;;;
115_13;Spielhalle;0;1;0;NULL;;;;;
115_130;Massagesalon (bordellartig);0;1;0;NULL;;;;;
115_131;Massageinstitut (medizinisch);0;1;0;NULL;;;;;
115_132;Paketdienst;0;1;0;NULL;;;;;
115_133;Postfiliale / Postagentur;0;1;0;NULL;;;;;
115_134;Postkasse / Poststelle;0;1;0;NULL;;;;;
115_135;Rechtsanwalts- / Notarkanzlei;0;1;0;NULL;;;;;
115_136;Reisebüro;0;1;0;NULL;;;;;
115_137;Rezeption;0;1;0;NULL;;;;;
115_138;Saunaclub;0;1;0;NULL;;;;;
115_139;Schießstand;0;1;0;NULL;;;;;
115_14;Spielplatz;0;1;0;NULL;;;;;
115_140;Solarium / Sonnenstudio;0;1;0;NULL;;;;;
115_141;Spedition;0;1;0;NULL;;;;;
115_142;Tätowierstudio;0;1;0;NULL;;;;;
115_143;Terminwohnung;0;1;0;NULL;;;;;
115_144;Videothek;0;1;0;NULL;;;;;
115_145;Wäscherei / Reinigung;0;1;0;NULL;;;;;
115_146;Wechselstube;0;1;0;NULL;;;;;
115_147;Werkstatt;0;1;0;NULL;;;;;
115_148;Wettannahme / Lotterieannahme;0;1;0;NULL;;;;;
115_149;Zeitung (Verlag / Redaktion);0;1;0;NULL;;;;;
115_15;Sportbau;0;1;0;NULL;;;;;
115_150;Autowaschanlage;0;1;0;NULL;;;;;
115_151;Kfz-Werkstatt;0;1;0;NULL;;;;;
115_152;Tankstelle;0;1;0;NULL;;;;;
115_153;Dienstleistungseinrichtung;0;1;0;NULL;;;;;
115_154;Antiquitätengeschäft / Kunsthandel;0;1;0;NULL;;;;;
115_155;Baumarkt / Heimwerkermarkt;0;1;0;NULL;;;;;
115_156;Computerfachgeschäft;0;1;0;NULL;;;;;
115_157;Drogerie;0;1;0;NULL;;;;;
115_158;Einkaufszentrum;0;1;0;NULL;;;;;
115_159;Elektrogeschäft;0;1;0;NULL;;;;;
115_16;Sportgelände;0;1;0;NULL;;;;;
115_160;Elektronikfachhandel;0;1;0;NULL;;;;;
115_161;Flohmarkt / Trödelmarkt;0;1;0;NULL;;;;;
115_162;Fotogeschäft;0;1;0;NULL;;;;;
115_163;Gebrauchtwarenhandlung;0;1;0;NULL;;;;;
115_164;Geschäft;0;1;0;NULL;;;;;
115_165;Getränkemarkt;0;1;0;NULL;;;;;
115_166;Juweliergeschäft / Uhrengeschäft;0;1;0;NULL;;;;;
115_167;Kaufhaus;0;1;0;NULL;;;;;
115_168;Kiosk;0;1;0;NULL;;;;;
