# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
119;Art der sonstigen Sache;Art der sonstigen Sache;ZIR;V1.6;20210412

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
119_1;Abfall / Müll / Bauschutt;0;1;0;NULL;;;;;
119_10;Autogas;0;1;0;NULL;;;;;LPG
119_100;Kaffeemaschine;0;1;0;NULL;;;;;
119_101;Kamera / optisches Gerät;0;1;0;NULL;;;;;
119_102;Kanister;0;1;0;NULL;;;;;
119_103;Karosserie- / Fahrzeugteil;0;1;0;NULL;;hierunter fallen Teile aller Fahrzeuge;;;
119_104;Karre / Wagen;0;1;0;NULL;;;;;
119_105;Kasse;0;1;0;NULL;;;;;
119_106;Kies;0;1;0;NULL;;;;;
119_107;Kinderwagen;0;1;0;NULL;;;;;
119_108;Kissen;0;1;0;NULL;;;;;
119_109;Kiste;0;1;0;NULL;;;;;
119_11;Automat;0;1;0;NULL;;;;;
119_110;Kleiderständer;0;1;0;NULL;;;;;
119_111;Kleidung;0;1;0;NULL;;;;;
119_112;Koffer;0;1;0;NULL;;;;;
119_113;komprimiertes Erdgas;0;1;0;NULL;;;;;CNG
119_114;Kondom;0;1;0;NULL;;;;;
119_115;Kopfbedeckung;0;1;0;NULL;;Hut, Mütze, Helm;;;
119_116;Kopfhörer;0;1;0;NULL;;;;;
119_117;Kopfschmuck;0;1;0;NULL;;;;;
119_118;Kraft- / Schmierstoff;0;1;0;NULL;;;;;
119_119;Kugelschreiber;0;1;0;NULL;;;;;
119_12;Axt / Beil;0;1;0;NULL;;;;;
119_120;Kuhfuß / Geißfuß;0;1;0;NULL;;;;;
119_121;Kühlschrank;0;1;0;NULL;;;;;
119_122;Kunst- / Sammlergegenstand;0;1;0;NULL;;;;;Antiquität
119_123;Laborgerät;0;1;0;NULL;;;;;
119_124;Ladegerät;0;1;0;NULL;;;;;
119_125;Laminat;0;1;0;NULL;;;;;
119_126;Lampe;0;1;0;NULL;;;;;
119_127;landwirtschaftliches Gerät / Maschine;0;1;0;NULL;;;;;
119_128;Laptop;0;1;0;NULL;;;;;Notebook
119_129;Lautsprecher;0;1;0;NULL;;;;;
119_13;Barren;0;1;0;NULL;;;;;
119_130;Leiter;0;1;0;NULL;;;;;
119_131;Leuchtreklame;0;1;0;NULL;;;;;
119_132;Lösungsmittel;0;1;0;NULL;;;;;
119_133;Lupe;0;1;0;NULL;;;;;
119_134;Markise;0;1;0;NULL;;;;;
119_135;Computermaus;0;1;0;NULL;;;;;
119_136;medizinisches Instrument / Gerät;0;1;0;NULL;;;;;
119_137;Mess- / Regelinstrument;0;1;0;NULL;;;;;
119_138;Mikrofon;0;1;0;NULL;;;;;
119_139;Mikroskop;0;1;0;NULL;;;;;
119_14;Batterie;0;1;0;NULL;;;;;
119_140;Möbel / Einrichtungsgegenstand;0;1;0;NULL;;;;;
119_141;Mobiltelefon;0;1;0;NULL;;;;;Smartphone
119_142;Modelleisenbahn;0;1;0;NULL;;;;;
119_143;Modellflugzeug;0;1;0;NULL;;;;;
119_144;Monitor;0;1;0;NULL;;;;;
119_145;Motor;0;1;0;NULL;;;;;
119_146;MP3-Player;0;1;0;NULL;;;;;
119_147;Münze (kein Bargeld);0;1;0;NULL;;;;;
119_148;Musikinstrument / -gerät;0;1;0;NULL;;;;;
119_149;Nachtsichtgerät;0;1;0;NULL;;;;;
119_15;Baumaschine;0;1;0;NULL;;;;;
119_150;Nagel;0;1;0;NULL;;;;;
119_151;Nahrungs- / Genussmittel;0;1;0;NULL;;;;;
119_152;Infotainmentsystem mit Navigation (Festeinbau);0;1;0;NULL;;;;;
119_153;Neonröhre;0;1;0;NULL;;;;;
119_154;Notizblock;0;1;0;NULL;;;;;
119_155;Oberbekleidung;0;1;0;NULL;;Jacke, Hose, Anzug, Smoking, Kostüm;;;
119_156;Objektiv;0;1;0;NULL;;;;;
119_157;Ohrschmuck;0;1;0;NULL;;;;;
119_158;Öl;0;1;0;NULL;;;;;
119_159;Opferstock;0;1;0;NULL;;;;;
119_16;Baustoff / -mittel;0;1;0;NULL;;;;;
119_160;Orden / Auszeichnung;0;1;0;NULL;;;;;
119_161;Paket;0;1;0;NULL;;;;;
119_162;Palette;0;1;0;NULL;;;;;
119_163;Parfüm;0;1;0;NULL;;;;;
119_164;Parkett;0;1;0;NULL;;;;;
119_165;Pflanze;0;1;0;NULL;;;;;
119_166;Pflanzenschutzmittel;0;1;0;NULL;;;;;
119_167;Piercingschmuck;0;1;0;NULL;;;;;
119_168;Pinsel;0;1;0;NULL;;;;;
119_169;Plakat;0;1;0;NULL;;;;;
119_17;Beamer;0;1;0;NULL;;;;;
119_170;Positionsmesser;0;1;0;NULL;;GPS, Peilgerät, Sextant;;;
119_171;Postgut;0;1;0;NULL;;;;;
119_172;Postkarte;0;1;0;NULL;;;;;
119_173;Radio;0;1;0;NULL;;;;;
119_174;Rasenmäher;0;1;0;NULL;;;;;
119_175;Rasierer / Rasierklinge;0;1;0;NULL;;;;;
119_176;Receiver;0;1;0;NULL;;;;;
119_177;Reifen;0;1;0;NULL;;;;;
119_178;Richtungsmesser;0;1;0;NULL;;Kompass;;;
119_179;Rollladen;0;1;0;NULL;;;;;
119_18;Behältnis;0;1;0;NULL;;;;;
119_180;Router;0;1;0;NULL;;;;;
119_181;Rucksack;0;1;0;NULL;;;;;
119_182;Sack;0;1;0;NULL;;;;;
119_183;Säge;0;1;0;NULL;;;;;
119_184;Saiteninstrument;0;1;0;NULL;;;;;
119_185;Säure;0;1;0;NULL;;;;;
119_186;Schaufel;0;1;0;NULL;;;;;
119_187;Scheinwerfer;0;1;0;NULL;;;;;
119_188;Schere;0;1;0;NULL;;;;;
119_189;Schlafsack;0;1;0;NULL;;;;;
119_19;Bekleidungsaccessoire;0;1;0;NULL;;Gürtel, Tuch, Schal, Reif, Spange, Handschuh, Krawatte, Maske;;;
119_190;Schlaginstrument;0;1;0;NULL;;;;;
119_191;Schließ- / Sicherungseinrichtung;0;1;0;NULL;;;;;
119_192;Schloss;0;1;0;NULL;;;;;
119_193;Schlosszieher;0;1;0;NULL;;;;;
119_194;Schlüssel;0;1;0;NULL;;;;;
119_195;Schminkartikel;0;1;0;NULL;;Kajalstift, Eyeliner, Lippenstift;;;
119_196;Schmuck;0;1;0;NULL;;;;;
119_197;Schrankwand;0;1;0;NULL;;;;;
119_198;Schraube;0;1;0;NULL;;;;;
119_199;Schreibware / Druckerzeugnis / Bürobedarf;0;1;0;NULL;;;;;Printmedium
119_2;Airbag;0;1;0;NULL;;;;;
119_20;Beleuchtungskörper / Leuchtmittel;0;1;0;NULL;;;;;
119_200;Schubkarre;0;1;0;NULL;;;;;
119_201;Schuhe;0;1;0;NULL;;Stiefel, Pumps;;;
119_202;Schweißgerät;0;1;0;NULL;;;;;
119_203;Seil / Schnur / Faden;0;1;0;NULL;;;;;
119_204;Sense;0;1;0;NULL;;;;;
119_205;Sideboard;0;1;0;NULL;;;;;
119_206;Sitz;0;1;0;NULL;;;;;
119_207;Skalpell;0;1;0;NULL;;;;;
119_208;Ski;0;1;0;NULL;;;;;
119_209;Skulptur;0;1;0;NULL;;;;;
119_21;Benzin;0;1;0;NULL;;;;;
119_210;Sofa;0;1;0;NULL;;;;;
119_211;Solarmodul;0;1;0;NULL;;;;;
119_212;Spielautomat;0;1;0;NULL;;;;;
119_213;Spielekonsole;0;1;0;NULL;;;;;
119_214;Spielfigur;0;1;0;NULL;;;;;
119_215;Spielware;0;1;0;NULL;;;;;
119_216;Spiritus;0;1;0;NULL;;;;;
119_217;Spoiler;0;1;0;NULL;;;;;
119_218;Sport- / Freizeitgerät;0;1;0;NULL;;;;;
119_219;Spritze;0;1;0;NULL;;;;;
119_22;Besteck;0;1;0;NULL;;;;;
119_220;Stadtplan / Landkarte;0;1;0;NULL;;;;;
119_221;Stange;0;1;0;NULL;;;;;
119_222;Stein;0;1;0;NULL;;;;;
119_223;Steuergerät;0;1;0;NULL;;;;;
119_224;Stift;0;1;0;NULL;;;;;
119_225;Stoßstange;0;1;0;NULL;;;;;
119_226;Streamingbox;0;1;0;NULL;;Apple TV, Fire TV, Chromecast;;;
119_227;Stromzähler;0;1;0;NULL;;;;;
119_229;Tabak;0;1;0;NULL;;;;;
119_23;Bett;0;1;0;NULL;;;;;
119_230;Tablet;0;1;0;NULL;;;;;
119_231;Tasche;0;1;0;NULL;;;;;
119_232;Taschenlampe;0;1;0;NULL;;;;;
119_233;Tastatur;0;1;0;NULL;;;;;
119_234;Tasteninstrument;0;1;0;NULL;;;;;
119_235;Telefon;0;1;0;NULL;;;;;
119_236;Telekommunikationsgerät;0;1;0;NULL;;;;;
119_237;Teppich;0;1;0;NULL;;;;;
119_238;Tier / Tierteil;0;1;0;NULL;;;;;
119_239;Tisch;0;1;0;NULL;;;;;
119_24;Blasinstrument;0;1;0;NULL;;;;;
119_240;Tonne;0;1;0;NULL;;;;;
119_241;Tor;0;1;0;NULL;;;;;
119_242;Transparent;0;1;0;NULL;;;;;
119_243;Tresor;0;1;0;NULL;;;;;
119_244;Tür;0;1;0;NULL;;;;;
119_245;Türkette;0;1;0;NULL;;;;;
119_246;Türriegel;0;1;0;NULL;;;;;
119_247;Tüte / Beutel;0;1;0;NULL;;;;;
119_248;Uhr;0;1;0;NULL;;;;;
119_249;Unterbekleidung;0;1;0;NULL;;Socke, BH;;;
119_25;Blutdruckmessgerät;0;1;0;NULL;;;;;
119_250;Verkaufs- / Gebührenautomat;0;1;0;NULL;;Fahrkartenautomat, Wertzeichenautomat, Tankautomat, Zigarettenautomat, Parkautomat, Fernsprechautomat, Musikautomat, Waschautomat;;;
119_251;Verkehrszeichen;0;1;0;NULL;;;;;
119_252;Vibrator;0;1;0;NULL;;;;;
119_253;Videokamera;0;1;0;NULL;;;;;
119_254;Visitenkarte;0;1;0;NULL;;;;;
119_255;Volumenmesser;0;1;0;NULL;;Gaszähler, Wasserzähler;;;'Gaszähler; Wasserzähler'
119_256;Waffenschrank;0;1;0;NULL;;;;;
119_257;Wagenheber;0;1;0;NULL;;;;;
119_258;Waschmaschine;0;1;0;NULL;;;;;
119_259;Wasserpfeife;0;1;0;NULL;;;;;Shisha
119_26;Bohrmaschine;0;1;0;NULL;;;;;
119_260;Werkzeug;0;1;0;NULL;;;;;
119_261;Wurfgegenstand;0;1;0;NULL;;;;;
119_262;Zange;0;1;0;NULL;;;;;
119_263;Zaun;0;1;0;NULL;;;;;
119_264;Zeitschrift;0;1;0;NULL;;;;;
119_265;Zeitung;0;1;0;NULL;;;;;
119_266;Zelt;0;1;0;NULL;;;;;
119_267;Zement;0;1;0;NULL;;;;;
119_268;Ziegel;0;1;0;NULL;;;;;
