# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
121;Art des Delikts;Art des Delikts;ZIR;V1.12;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
121_10;Verwenden von Kennzeichen verfassungswidriger Organisationen;0;1;0;NULL;§ 86a StGB;;;;
121_100;Fälschung von Zahlungskarten, Schecks und Wechseln;0;1;0;NULL;§ 152a StGB;;;;
121_101;falsche uneidliche Aussage;0;1;0;NULL;§ 153 StGB;;;;
121_102;Meineid;0;1;0;NULL;§ 154 StGB;;;;
121_1031;Fälschung technischer Aufzeichnungen zur Täuschung im Rechtsverkehr;0;1;0;NULL;§ 268 Abs. 1 StGB;;;;
121_1032;Fälschung technischer Aufzeichnungen, besonders schwerer Fall  i. V. m. § 267 (3) oder (4) StGB;0;1;0;NULL;§ 268 Abs. 5 StGB;;;;
121_104;falsche Versicherung an Eides Statt;0;1;0;NULL;§ 156 StGB;;;;
121_106;Verleitung zur Falschaussage;0;1;0;NULL;§ 160 StGB;;;;
121_1069;Zwangsheirat;0;1;0;NULL;§ 237 StGB;;;;
121_107;'fahrlässiger Falscheid; fahrlässige falsche Versicherung an Eides Statt';0;1;0;NULL;§ 161 StGB;;;;
121_1070;Staatsangehörigkeitsgesetz;0;1;0;NULL;StAG;;2009-02-12;;
121_1071;Insolvenzordnung;0;1;0;NULL;InsO;;;;
121_1072;Antragspflicht bei juristischen Personen und Gesellschaften ohne Rechtspersönlichkeit;0;1;0;NULL;§ 15a InsO;;;;
121_1073;Bildung krimineller Vereinigungen im Ausland;0;1;0;NULL;§ 129 i. V. m. § 129b StGB;;;;
121_1074;Bildung terroristischer Vereinigungen im Ausland;0;1;0;NULL;§ 129a i. V. m. § 129b StGB;;;;
121_1075;Verstümmelung weiblicher Genitalien;0;1;0;NULL;§ 226a StGB;;;;
121_1076;Widerstand gegen Personen, die Vollstreckungsbeamten gleichstehen (bis 29.05.2017);0;1;0;NULL;§ 114 StGB;;;2017-05-29;
121_1077;Führen von Waffen oder Vermummung anlässlich einer öffentlichen Versammlung;0;1;0;NULL;§ 27 VersG;;;;
121_108;falsche Verdächtigung;0;1;0;NULL;§ 164 StGB;;;;
121_109;Beschimpfung von Bekenntnissen, Religionsgesellschaften und Weltanschauungsvereinigungen;0;1;0;NULL;§ 166 StGB;;;;
121_1090;Strafvorschriften gegen Atomwaffen;0;1;0;NULL;§ 19 KrWaffKontrG;;;;
121_1091;Strafvorschriften gegen biologische und chemische Waffen;0;1;0;NULL;§ 20 KrWaffKontrG;;;;
121_1092;Strafvorschriften gegen Antipersonenminen und Streumunition;0;1;0;NULL;§ 20a KrWaffKontrG;;;;
121_1093;sonstige Strafvorschriften gegen Kriegswaffen;0;1;0;NULL;§ 22a KrWaffKontrG;;;;
121_1094;Strafvorschriften gem. § 51 WaffG;0;1;0;NULL;§ 51 WaffG;;;;
121_1095;Strafvorschriften gem. § 52 WaffG;0;1;0;NULL;§ 52 WaffG;;;;
121_1096;Strafvorschriften gem. § 52a WaffG (bis 05.07.2017);0;1;0;NULL;§ 52a WaffG;;;2017-07-05;
121_1097;strafbarer Umgang und Verkehr sowie strafbare Einfuhr gem. § 40 SprengG;0;1;0;NULL;§ 40 SprengG;;;;
121_1098;strafbare Verletzung von Schutzvorschriften gem. § 42 SprengG;0;1;0;NULL;§ 42 SprengG;;;;
121_1099;Strafvorschriften gem. § 17 AWG;0;1;0;NULL;§ 17 AWG;;;;
121_11;Agententätigkeit zu Sabotagezwecken;0;1;0;NULL;§ 87 StGB;;;;
121_110;Störung der Religionsausübung;0;1;0;NULL;§ 167 StGB;;;;
121_1100;Strafvorschriften gem. § 18 AWG;0;1;0;NULL;§ 18 AWG;;;;
121_1105;Strafvorschriften für den unzulässigen Umgang mit Grundstoffen;0;1;0;NULL;§ 19 GÜG;;;;
121_1106;unerlaubte Verschreibung, Verabreichung von BtM, Überlassung zum unmittelbaren Verbrauch;0;1;0;NULL;§ 29 Abs. 1 Nr. 6 BtMG;;;;
121_1107;unerlaubtes Überlassen von BtM;0;1;0;NULL;§ 29 Abs. 1 Nr. 6a BtMG;;;;
121_1108;Luftverkehrs-Ordnung;0;1;0;NULL;LuftVO;;;;
121_1109;Terrorismusfinanzierung;0;1;0;NULL;§ 89c StGB;;;;
121_111;Störung einer Bestattungsfeier;0;1;0;NULL;§ 167a StGB;;;;
121_1110;Veranstaltung und Besuch kinder- und jugendpornographischer Darbietungen;0;1;0;NULL;§ 184e StGB;;2015-01-27;;
121_1111;Volksverhetzung;0;1;0;NULL;§ 130 StGB;;2015-01-27;;
121_1112;Anleitung zu Straftaten;0;1;0;NULL;§ 130a StGB;;2015-01-27;;
121_1113;Gewaltdarstellung;0;1;0;NULL;§ 131 StGB;;2015-01-27;;
121_1114;sexueller Missbrauch von Schutzbefohlenen;0;1;0;NULL;§ 174 StGB;;2015-01-27;;
121_1115;sexueller Missbrauch von Kindern;0;1;0;NULL;§ 176 StGB;;2015-01-27;;
121_1116;Verbreitung pornographischer Schriften;0;1;0;NULL;§ 184 StGB;;2015-01-27;;
121_1117;Verbreitung gewalt- oder tierpornographischer Schriften;0;1;0;NULL;§ 184a StGB;;2015-01-27;;
121_1118;Verbreitung, Erwerb und Besitz kinderpornographischer Schriften;0;1;0;NULL;§ 184b StGB;;2015-01-27;;
121_1119;Verbreitung, Erwerb und Besitz jugendpornographischer Schriften;0;1;0;NULL;§ 184c StGB;;2015-01-27;;
121_112;Störung der Totenruhe;0;1;0;NULL;§ 168 StGB;;;;
121_1120;'Zugänglichmachen pornographischer Inhalte mittels Rundfunk oder Telemedien; Abruf kinder- und jugendpornographischer Inhalte mittels Telemedien';0;1;0;NULL;§ 184d StGB;;2015-01-27;;
121_1121;Verletzung des höchstpersönlichen Lebensbereichs durch Bildaufnahmen;0;1;0;NULL;§ 201a StGB;;2015-01-27;2020-12-31;
121_1129;Verletzung der Verlustanzeigepflicht;0;1;0;NULL;§ 84 GmbHG;;2008-11-01;;
121_113;Personenstandsfälschung;0;1;0;NULL;§ 169 StGB;;;;
121_1130;Datenhehlerei;0;1;0;NULL;§ 202d StGB;;2015-12-17;;
121_1131;Gesetz zur Bekämpfung von Doping im Sport;0;1;0;NULL;AntiDopG;;2015-12-18;;
121_1132;Asylgesetz;0;1;0;NULL;AsylG;;2015-10-24;;
121_1133;gewerbs- und bandenmäßige Verleitung zur missbräuchlichen Asylantragsstellung;0;1;0;NULL;§ 84a AsylG;;2015-10-24;;
121_1136;sonstige Straftaten gem. § 85 AsylG;0;1;0;NULL;§ 85 AsylG;;2015-10-24;;
121_1138;Verleitung zur missbräuchlichen Asylantragstellung;0;1;0;NULL;§ 84 AsylG;;2015-10-24;;
121_114;Verletzung der Unterhaltspflicht;0;1;0;NULL;§ 170 StGB;;;;
121_1142;Täuschung im Rechtsverkehr bei Datenverarbeitung;0;1;0;NULL;§ 270 StGB;;;;
121_1143;geschäftsmäßige Förderung der Selbsttötung;0;1;0;NULL;§ 217 StGB;;2015-12-10;;
121_1144;Strafvorschriften gem. § 95 AMG;0;1;0;NULL;§ 95 AMG;;;;
121_1145;Strafvorschriften gem. § 96 AMG;0;1;0;NULL;§ 96 AMG;;;;
121_1146;Bestechlichkeit im Gesundheitswesen;0;1;0;NULL;§ 299a StGB;;2016-06-04;;
121_1147;Bestechung im Gesundheitswesen;0;1;0;NULL;§ 299b StGB;;2016-06-04;;
121_1148;besonders schwere Fälle der Bestechlichkeit und Bestechung im geschäftlichen Verkehr und im Gesundheitswesen;0;1;0;NULL;§ 300 StGB;;2016-06-04;;
121_1149;Einreise- und Aufenthaltsverbot;0;1;0;NULL;§ 11 AufenthG;;;;
121_1150;Strafvorschriften gem. §71 BNatSchG;0;1;0;NULL;§71 BNatSchG;;;;
121_1151;Strafvorschriften gem. § 27 ChemG;0;1;0;NULL;§ 27 ChemG;;;;
121_1152;Designgesetz;0;1;0;NULL;DesignG;;2014-01-01;;
121_1153;Strafvorschriften gem. § 6 EGGenTDurchfG;0;1;0;NULL;§ 6 EGGenTDurchfG;;;;
121_1154;Strafvorschriften gem. § 39 GenTG;0;1;0;NULL;§ 39 GenTG;;;;
121_1155;Strafvorschriften gem. § 74 IfSG;0;1;0;NULL;§ 74 IfSG;;;;
121_1156;weitere Strafvorschriften gem. § 75 IfSG;0;1;0;NULL;§ 75 IfSG;;;;
121_1157;Strafvorschriften gem. § 58 LFGB;0;1;0;NULL;§ 58 LFGB;;;;
121_1158;Strafvorschriften gem. § 59 LFGB;0;1;0;NULL;§ 59 LFGB;;;;
121_1159;Strafvorschriften gem. § 41 MPG;0;1;0;NULL;§ 41 MPG;;;;
121_1160;Neue-psychoaktive-Stoffe-Gesetz;0;1;0;NULL;NpSG;;2016-11-26;;
121_1161;Strafvorschriften gem. § 4 NpSG;0;1;0;NULL;§ 4 NpSG;;2016-11-26;;
121_1162;Strafvorschriften gem. § 69 PflSchG;0;1;0;NULL;§ 69 PflSchG;;;;
121_1163;Aufstacheln zum Verbrechen der Aggression;0;1;0;NULL;§ 80a StGB;;2017-01-01;;
121_1164;sexuelle Belästigung;0;1;0;NULL;§ 184i StGB;;2016-11-10;;
121_1165;'sexueller Übergriff; sexuelle Nötigung; Vergewaltigung';0;1;0;NULL;§ 177 StGB;;2016-11-10;;
121_1166;sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge;0;1;0;NULL;§ 178 StGB;;2016-11-10;;
121_1167;Straftaten aus Gruppen;0;1;0;NULL;§ 184j StGB;;2016-11-10;;
121_1168;Ausbeutung der Arbeitskraft;0;1;0;NULL;§ 233 StGB;;2016-10-15;;
121_1169;Ausbeutung unter Ausnutzung einer Freiheitsberaubung;0;1;0;NULL;§ 233a StGB;;2016-10-15;;
121_117;Beischlaf zwischen Verwandten;0;1;0;NULL;§ 173 StGB;;;;
121_1170;Menschenhandel;0;1;0;NULL;§ 232 StGB;;2016-10-15;;
