# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
122;Art der Urkunde;Art der Urkunde;ZIR;V2.2;20210803

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
122_1;amtliche Unterlage;0;1;0;NULL;;;;;
122_10;Personalausweis;0;1;0;NULL;;;;;
122_100;Anmeldebescheinigung gem. § 3 ProstSchG;NULL;1;0;NULL;;;;;
122_12;vorläufiger Personalausweis;0;1;0;NULL;;;;;
122_13;Reisepass;0;1;0;NULL;;;;;
122_15;vorläufiger Reisepass;0;1;0;NULL;;;;;
122_16;Passersatz;0;1;0;NULL;;;;;
122_17;Fremdenpass;0;1;0;NULL;;;;;
122_18;Reiseausweis;0;1;0;NULL;;;;;
122_2;ärztliches Rezept;0;1;0;NULL;;;;;
122_20;Presseausweis;0;1;0;NULL;;;;;
122_21;Seefahrtbuch;0;1;0;NULL;;;;;
122_22;Schwerbehindertenausweis;0;1;0;NULL;;;;;
122_23;Studentenausweis;0;1;0;NULL;;;;;
122_24;Bescheinigung / Berechtigungsnachweis;0;1;0;NULL;;;;;
122_25;Aufenthaltstitel;0;1;0;NULL;;;;;
122_27;Aufenthaltsgestattung;0;1;0;NULL;;;;;
122_28;Duldung / Aussetzung der Abschiebung;0;1;0;NULL;;;;;
122_29;Verpflichtungserklärung;0;1;0;NULL;;;;;
122_3;Ausweis;0;1;0;NULL;;;;;
122_30;Führerschein;0;1;0;NULL;;;;;
122_31;Fahrzeugschein;0;1;0;NULL;;;;;
122_32;Fahrzeugbrief;0;1;0;NULL;;;;;
122_33;Zulassungsbescheinigung I;0;1;0;NULL;;;;;
122_34;Zulassungsbescheinigung II;0;1;0;NULL;;;;;
122_35;Bahncard;0;1;0;NULL;;;;;
122_36;Eintrittskarte;0;1;0;NULL;;;;;
122_37;Fahrkarte;0;1;0;NULL;;;;;
122_38;Flugticket;0;1;0;NULL;;;;;
122_39;Gewinnschein;0;1;0;NULL;;;;;
122_4;Dienstausweis;0;1;0;NULL;;;;;
122_40;Jagdschein;0;1;0;NULL;;;;;
122_41;Lizenz;0;1;0;NULL;;;;;
122_42;Los;0;1;0;NULL;;;;;
122_43;Lottoschein;0;1;0;NULL;;;;;
122_44;Mitglieds- / Kundenkarte;0;1;0;NULL;;;;;
122_45;Personenbeförderungsschein;0;1;0;NULL;;;;;
122_46;Pilotenlizenz;0;1;0;NULL;;Berechtigung zum Fliegen;;;Fluglizenz, Pilotenschein
122_47;Reisegewerbekarte;0;1;0;NULL;;;;;
122_48;Rentenschein;0;1;0;NULL;;;;;
122_49;seemännisches Patent;0;1;0;NULL;;;;;
122_5;Dienstmarke;0;1;0;NULL;;;;;
