# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
202;Turnus;Turnus;ZIR;V1.0;20110406

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular
202_1;täglich;0;1;0;NULL;;;
202_10;unregelmäßig;0;1;0;NULL;;;
202_2;werktäglich;0;1;0;NULL;;;
202_3;wöchentlich;0;1;0;NULL;;;
202_4;zweiwöchentlich;0;1;0;NULL;;;
202_5;monatlich;0;1;0;NULL;;;
202_6;zweimonatlich;0;1;0;NULL;;;
202_7;dreimonatlich;0;1;0;NULL;;;
202_8;halbjährlich;0;1;0;NULL;;;
202_9;jährlich;0;1;0;NULL;;;
