# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
203;Sprache;Sprache;ZIR;V1.3;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;ISO_639
203_1;Abchasisch;0;1;0;NULL;;;;;;abk
203_10;Ewe;0;1;0;NULL;;;;;;ewe
203_100;Hiri Motu;0;1;0;NULL;;;;;;hmo
203_101;Iban;0;1;0;NULL;;;;;;iba
203_102;Ido;0;1;0;NULL;;;;;;ido
203_103;Indonesisch;0;1;0;NULL;;;;;;ind
203_104;Interlingua;0;1;0;NULL;;;;;;ina
203_105;Interlingue;0;1;0;NULL;;;;;;ile
203_106;Inuktitut;0;1;0;NULL;;;;;;iku
203_107;Inupiaq;0;1;0;NULL;;;;;;ipk
203_108;Irisch;0;1;0;NULL;;;;;;gle
203_109;Italienisch;0;1;0;NULL;;;;;;ita
203_11;Ful;0;1;0;NULL;;;;;;ful
203_110;Javanisch;0;1;0;NULL;;;;;;jav
203_111;Jiddisch;0;1;0;NULL;;;;;;yid
203_112;Kalaallisut;0;1;0;NULL;;;;;;kal
203_113;Kasachisch;0;1;0;NULL;;;;;;kaz
203_114;Kaschmiri;0;1;0;NULL;;;;;;kas
203_115;Katalanisch;0;1;0;NULL;;;;;;cat
203_116;Kirgisisch;0;1;0;NULL;;;;;;kir
203_117;Komi;0;1;0;NULL;;;;;;kom
203_118;Kornisch;0;1;0;NULL;;;;;;cor
203_119;Korsisch;0;1;0;NULL;;;;;;cos
203_12;Hausa;0;1;0;NULL;;;;;;hau
203_120;Kurdisch;0;1;0;NULL;;;;;;kur
203_121;Lateinisch;0;1;0;NULL;;;;;;lat
203_122;Lettisch;0;1;0;NULL;;;;;;lav
203_123;Limburgisch;0;1;0;NULL;;;;;;lim
203_124;Litauisch;0;1;0;NULL;;;;;;lit
203_125;Luxemburgisch;0;1;0;NULL;;;;;;ltz
203_126;Madagassisch;0;1;0;NULL;;;;;;mlg
203_127;Maltesisch;0;1;0;NULL;;;;;;mlt
203_128;Manx;0;1;0;NULL;;;;;;glv
203_129;Maori;0;1;0;NULL;;;;;;mao
203_13;Herero;0;1;0;NULL;;;;;;her
203_130;Marathi;0;1;0;NULL;;;;;;mar
203_131;Marshallisch;0;1;0;NULL;;;;;;mah
203_132;Moldawisch;0;1;0;NULL;;;;;;mol
203_133;Nauruisch;0;1;0;NULL;;;;;;nau
203_134;Navajo;0;1;0;NULL;;;;;;nav
203_135;Nepalesisch;0;1;0;NULL;;;;;;nep
203_136;Niederdeutsch;0;1;0;NULL;;;;;;nds
203_137;Niederländisch;0;1;0;NULL;;;;;;dut
203_138;Okzidentalisch;0;1;0;NULL;;;;;;oci
203_139;Oriya;0;1;0;NULL;;;;;;ori
203_14;Ibo;0;1;0;NULL;;;;;;ibo
203_140;Ossetisch;0;1;0;NULL;;;;;;oss
203_141;Paschtunisch;0;1;0;NULL;;;;;Afghanisch;pus
203_142;Persisch;0;1;0;NULL;;;;;'Farsi; Dari';per
203_143;Portugiesisch;0;1;0;NULL;;;;;;por
203_144;Punjabi;0;1;0;NULL;;;;;;pan
203_145;Quechua;0;1;0;NULL;;;;;;que
203_146;Rätoromanische Sprache;0;1;0;NULL;;;;;;roh
203_147;Romani;0;1;0;NULL;;;;;;rom
203_148;Rumänisch;0;1;0;NULL;;;;;;rum
203_149;Samisch;0;1;0;NULL;;;;;;sme
203_15;Kanuri;0;1;0;NULL;;;;;;kau
203_150;Sami-Sprachen;0;1;0;NULL;;;;;;smi
203_151;Samoanisch;0;1;0;NULL;;;;;;smo
203_152;Sanskrit;0;1;0;NULL;;;;;;san
203_153;Sardisch;0;1;0;NULL;;;;;;srd
203_154;Sindhi;0;1;0;NULL;;;;;;snd
203_155;Singhalesisch;0;1;0;NULL;;;;;;sin
203_156;Skandinavisch;0;1;0;NULL;;;;;;
203_157;Dänisch;0;1;0;NULL;;;;;;dan
203_158;Färöisch;0;1;0;NULL;;;;;;fao
203_159;Isländisch;0;1;0;NULL;;;;;;ice
203_16;Kikuyu;0;1;0;NULL;;;;;;kik
203_160;Norwegisch;0;1;0;NULL;;;;;;nor
203_161;Norwegisch, Bokmal;0;1;0;NULL;;;;;;nob
203_162;Norwegisch-Nynorsk;0;1;0;NULL;;;;;;nno
203_163;Schwedisch;0;1;0;NULL;;;;;;swe
203_164;Slawisch;0;1;0;NULL;;;;;;
203_165;Altkirchenslawisch;0;1;0;NULL;;;;;;chu
203_166;Bosnisch;0;1;0;NULL;;;;;;bos
203_167;Bulgarisch;0;1;0;NULL;;;;;;bul
203_168;Kroatisch;0;1;0;NULL;;;;;;scr
203_169;Mazedonisch;0;1;0;NULL;;;;;;mac
203_17;Kinyarwanda;0;1;0;NULL;;;;;;kin
203_170;Polnisch;0;1;0;NULL;;;;;;pol
203_171;Russisch;0;1;0;NULL;;;;;;rus
203_172;Serbisch;0;1;0;NULL;;;;;;scc
203_173;Slowakisch;0;1;0;NULL;;;;;;slo
203_174;Slowenisch;0;1;0;NULL;;;;;;slv
203_175;Sorbisch;0;1;0;NULL;;;;;;
203_176;Tschechisch;0;1;0;NULL;;;;;;cze
203_177;Ukrainisch;0;1;0;NULL;;;;;;ukr
203_178;Weißrussisch;0;1;0;NULL;;;;;;bel
203_179;Spanisch;0;1;0;NULL;;;;;;spa
203_18;Kirundi;0;1;0;NULL;;;;;;run
203_180;Sundanesisch;0;1;0;NULL;;;;;;sun
203_181;Tadschikisch;0;1;0;NULL;;;;;;tgk
203_182;Tagalog;0;1;0;NULL;;;;;;tgl
203_183;Tahitianisch;0;1;0;NULL;;;;;;tah
203_184;Tatarisch;0;1;0;NULL;;;;;;tat
203_185;Tongaisch;0;1;0;NULL;;;;;;tom
203_186;Tschetschenisch;0;1;0;NULL;;;;;;che
203_187;Tschuwaschisch;0;1;0;NULL;;;;;;chv
203_188;Türkisch;0;1;0;NULL;;;;;;tur
203_189;Turkmenisch;0;1;0;NULL;;;;;;tuk
203_19;Kongo;0;1;0;NULL;;;;;;kon
203_190;Uigurisch;0;1;0;NULL;;;;;;uig
203_191;Ungarisch;0;1;0;NULL;;;;;;hun
203_192;Urdu;0;1;0;NULL;;;;;;urd
203_193;Usbekisch;0;1;0;NULL;;;;;;uzb
203_194;Volapük;0;1;0;NULL;;;;;;vol
203_195;Walisisch;0;1;0;NULL;;;;;;wel
203_196;Wallonisch;0;1;0;NULL;;;;;;wln
203_197;Aramäisch;0;1;0;NULL;;;;;;arc
203_2;Afrikaans;0;1;0;NULL;;;;;;afr
203_20;Kuanyama;0;1;0;NULL;;;;;;kua
203_21;Lingala;0;1;0;NULL;;;;;;lin
203_22;Luba-Katanga;0;1;0;NULL;;;;;;lub
203_23;Luganda;0;1;0;NULL;;;;;;lug
203_24;Ndonga;0;1;0;NULL;;;;;;ndo
203_25;Nördliches Ndebele;0;1;0;NULL;;;;;;nde
203_26;Oromo;0;1;0;NULL;;;;;;orm
203_27;Sango;0;1;0;NULL;;;;;;sag
203_28;Sesotho;0;1;0;NULL;;;;;;sot
203_29;Setswana;0;1;0;NULL;;;;;;tsn
203_3;Afrikanisch;0;1;0;NULL;;;;;;
203_30;Shona;0;1;0;NULL;;;;;;sna
203_31;Siswati;0;1;0;NULL;;;;;;ssw
203_32;Somali;0;1;0;NULL;;;;;;som
203_33;Südliches Ndebele;0;1;0;NULL;;;;;;nbl
203_34;Swahili;0;1;0;NULL;;;;;;swa
203_35;Tigrinya;0;1;0;NULL;;;;;;tir
203_36;Tsonga;0;1;0;NULL;;;;;;tso
203_37;Twi;0;1;0;NULL;;;;;;twi
203_38;Venda;0;1;0;NULL;;;;;;ven
203_39;Wolof;0;1;0;NULL;;;;;;wol
203_4;Afar;0;1;0;NULL;;;;;;aar
203_40;Xhosa;0;1;0;NULL;;;;;;xho
203_41;Yoruba;0;1;0;NULL;;;;;;yor
203_42;Zulu;0;1;0;NULL;;;;;;zul
203_43;Albanisch;0;1;0;NULL;;;;;;sqi
203_44;Anishinabe;0;1;0;NULL;;;;;;oji
203_45;Arabisch;0;1;0;NULL;;;;;;ara
203_46;Aragonesisch;0;1;0;NULL;;;;;;arg
203_47;Armenisch;0;1;0;NULL;;;;;;arm
203_48;Aserbaidschanisch;0;1;0;NULL;;;;;;aze
203_49;Asiatisch;0;1;0;NULL;;;;;;
203_5;Akan;0;1;0;NULL;;;;;;aka
203_50;Burmesisch;0;1;0;NULL;;;;;;bur
203_51;Chinesisch;0;1;0;NULL;;;;;;chi
203_52;Dzongkha;0;1;0;NULL;;;;;;dzo
203_53;Hebräisch;0;1;0;NULL;;;;;;heb
203_54;Japanisch;0;1;0;NULL;;;;;;jpn
203_55;Kannada;0;1;0;NULL;;;;;;kan
203_56;Khmer;0;1;0;NULL;;;;;;khm
203_57;Koreanisch;0;1;0;NULL;;;;;;kor
203_58;Lao;0;1;0;NULL;;;;;;lao
203_59;Malaiisch;0;1;0;NULL;;;;;;may
203_6;Amharisch;0;1;0;NULL;;;;;;amh
203_60;Malayalam;0;1;0;NULL;;;;;;mal
203_61;Mandschu;0;1;0;NULL;;;;;;mnc
203_62;Mongolisch;0;1;0;NULL;;;;;;mon
203_63;Pali;0;1;0;NULL;;;;;;pli
203_64;Sichuanhua;0;1;0;NULL;;;;;;iii
203_65;Tamilisch;0;1;0;NULL;;;;;;tam
203_66;Telugu;0;1;0;NULL;;;;;;tel
203_67;Thailändisch;0;1;0;NULL;;;;;;tha
203_68;Tibetisch;0;1;0;NULL;;;;;;tib
203_69;Vietnamesisch;0;1;0;NULL;;;;;;vie
203_7;Aymara;0;1;0;NULL;;;;;;aym
203_70;Zhuang;0;1;0;NULL;;;;;;zha
203_71;Assamesisch;0;1;0;NULL;;;;;;asm
203_72;Asturisch;0;1;0;NULL;;;;;;ast
203_73;Avestisch;0;1;0;NULL;;;;;;ave
203_74;Awarische Sprache;0;1;0;NULL;;;;;;ava
203_75;Baschkirisch;0;1;0;NULL;;;;;;bak
203_76;Baskisch;0;1;0;NULL;;;;;;baq
203_77;Bengalisch;0;1;0;NULL;;;;;;ben
203_78;Biharisch;0;1;0;NULL;;;;;;bih
203_79;Bislamisch;0;1;0;NULL;;;;;;bis
203_8;Bambara;0;1;0;NULL;;;;;;bam
203_80;Bretonisch;0;1;0;NULL;;;;;;bre
203_81;Chamorro;0;1;0;NULL;;;;;;cha
203_82;Cree;0;1;0;NULL;;;;;;cre
203_83;Deutsch;0;1;0;NULL;;;;;;ger
203_84;Dhivehi;0;1;0;NULL;;;;;;div
203_85;Englisch;0;1;0;NULL;;;;;;eng
203_86;Esperanto;0;1;0;NULL;;;;;;epo
203_87;Estnisch;0;1;0;NULL;;;;;;est
203_88;Fidschi;0;1;0;NULL;;;;;;fij
203_89;Finnisch;0;1;0;NULL;;;;;;fin
203_9;Chichewa;0;1;0;NULL;;;;;;nya
203_90;Französisch;0;1;0;NULL;;;;;;fre
203_91;Friesisch;0;1;0;NULL;;;;;;fry
203_92;Galicisch;0;1;0;NULL;;;;;;glg
203_93;Gälisch;0;1;0;NULL;;;;;;gla
203_94;Georgisch;0;1;0;NULL;;;;;;geo
203_95;Griechisch;0;1;0;NULL;;;;;;gre
203_96;Guaraní;0;1;0;NULL;;;;;;grn
203_97;Gujarati;0;1;0;NULL;;;;;;guj
203_98;Haitianisch;0;1;0;NULL;;;;;;hat
203_99;Hindi;0;1;0;NULL;;;;;;hin
