# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
204;Branche;Branche;ZIR;V1.0;20110406

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular
204_1;Land- und Forstwirtschaft, Fischerei;0;1;0;NULL;;;
204_10;Gastgewerbe / Beherbergung und Gastronomie;0;1;0;NULL;;;
204_11;Erbringung von Finanz- und Versicherungsdienstleistungen;0;1;0;NULL;;;
204_12;Grundstücks- und Wohnungswesen;0;1;0;NULL;;;
204_13;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;0;1;0;NULL;;;
204_14;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;0;1;0;NULL;;;
204_15;'öffentliche Verwaltung, Verteidigung; Sozialversicherung';0;1;0;NULL;;;
204_16;Erziehung und Unterricht;0;1;0;NULL;;;
204_17;Gesundheits- und Sozialwesen;0;1;0;NULL;;;
204_18;Kunst, Unterhaltung und Erholung;0;1;0;NULL;;;
204_19;Erbringung von sonstigen Dienstleistungen;0;1;0;NULL;;;
204_2;Bergbau und Gewinnung von Steinen und Erden;0;1;0;NULL;;;
204_20;'private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt';0;1;0;NULL;;;
204_21;exterritoriale Organisationen und Körperschaften;0;1;0;NULL;;;
204_3;verarbeitendes Gewerbe / Herstellung von Waren;0;1;0;NULL;;;
204_4;Information und Kommunikation;0;1;0;NULL;;;
204_5;Energieversorgung;0;1;0;NULL;;;
204_6;'Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen';0;1;0;NULL;;;
204_7;Baugewerbe / Bau;0;1;0;NULL;;;
204_8;'Handel; Instandhaltung und Reparatur von Kraftfahrzeugen';0;1;0;NULL;;;
204_9;Verkehr und Lagerei;0;1;0;NULL;;;
