# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
209;Emittent des Geldes;Emittent des Geldes;ZIR;V1.2;20160118

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Währung
209_1;Federal Reserve Bank of Atlanta;0;1;0;NULL;;;;;;USD
209_10;Federal Reserve Bank of Richmond;0;1;0;NULL;;;;;;USD
209_11;Federal Reserve Bank of San Francisco;0;1;0;NULL;;;;;;USD
209_12;Federal Reserve Bank of St. Louis;0;1;0;NULL;;;;;;USD
209_13;Europäische Zentralbank;0;1;0;NULL;;;;;;EUR
209_2;Federal Reserve Bank of Boston;0;1;0;NULL;;;;;;USD
209_3;Federal Reserve Bank of Chicago;0;1;0;NULL;;;;;;USD
209_4;Federal Reserve Bank of Cleveland;0;1;0;NULL;;;;;;USD
209_5;Federal Reserve Bank of Dallas;0;1;0;NULL;;;;;;USD
209_6;Federal Reserve Bank of Kansas City;0;1;0;NULL;;;;;;USD
209_7;Federal Reserve Bank of Minneapolis;0;1;0;NULL;;;;;;USD
209_8;Federal Reserve Bank of New York;0;1;0;NULL;;;;;;USD
209_9;Federal Reserve Bank of Philadelphia;0;1;0;NULL;;;;;;USD
