# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
211;Beschaffenheit des Betäubungsmittels;Beschaffenheit des Betäubungsmittels;ZIR;V1.2;20181019

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
211_1;Flüssigkeit;0;1;0;NULL;;;;;
211_10;Tablette;0;1;0;NULL;;;;;
211_11;Pflaster;0;1;0;NULL;;;;;
211_12;Platte;0;1;0;NULL;;;;;
211_13;Stein;0;1;0;NULL;;;;;
211_2;Gas;0;1;0;NULL;;;;;
211_3;Kapsel;0;1;0;NULL;;;;;
211_4;Kräutermischung;0;1;0;NULL;;;;;
211_5;Kristallin;0;1;0;NULL;;;;;
211_6;Öl;0;1;0;NULL;;;;;
211_7;Papiertrip;0;1;0;NULL;;;;;
211_8;Paste;0;1;0;NULL;;;;;
211_9;Pulver;0;1;0;NULL;;;;;
