# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
215;Datenschutzrechtlicher Status gem. BKAG;Datenschutzrechtlicher Status gem. BKAG;ZIR;V1.3;20210831

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
215_1;Beschuldigter (§ 18 Abs. 1 Nr. 2 BKAG);0;1;0;NULL;;;;;
215_10;Anlassperson (§ 18 Abs. 1 Nr. 4 BKAG);0;1;0;NULL;;;;;
215_11;Toter;0;1;0;NULL;;analoge Anwendung BKAG / BDSG;;;
215_12;unbekannte Person (§ 19 Abs. 2 BKAG);0;1;0;NULL;;;;;
215_13;unbekannter Toter (§ 19 Abs. 2 BKAG);0;1;0;NULL;;;;;
215_14;Vermisster  (§ 19 Abs. 2 BKAG);0;1;0;NULL;;;;;
215_15;Verurteilter (§ 18 Abs. 1 Nr. 1 BKAG);0;1;0;NULL;;;;;
215_16;Verurteilter (§ 18 Abs. 2 Nr. 2 BKAG);0;1;0;NULL;;;;;
215_17;Prüffall (§ 18 Abs. 3 BKAG);NULL;1;0;NULL;;;;;
215_18;Prüffall (§ 19 Abs. 3 BKAG);NULL;1;0;NULL;;;;;
215_2;Beschuldigter (§ 18 Abs. 2 Nr. 2 BKAG);0;1;0;NULL;;;;;
215_3;Tatverdächtiger (§ 18 Abs. 1 Nr. 3 BKAG);0;1;0;NULL;;;;;
215_4;Opfer einer zukünftigen Straftat (§ 19 Abs. 1 Nr. 2 BKAG);0;1;0;NULL;;;;;
215_6;Zeuge (§ 19 Abs. 1 Nr. 1 BKAG);0;1;0;NULL;;;;;
215_7;Kontakt- und Begleitperson (§ 19 Abs. 1 Nr. 3 BKAG);0;1;0;NULL;;;;;
215_8;Hinweisgeber (§ 19 Abs. 1 Nr. 4 BKAG);0;1;0;NULL;;;;;
215_9;Auskunftsperson (§ 19 Abs. 1 Nr. 4 BKAG);0;1;0;NULL;;;;;
