# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
223;Sachgebundener Hinweis bei Fahrzeugen;Sachgebundener Hinweis bei Fahrzeugen;ZIR;V1.0;20100406

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular
223_1;Insassen bewaffnet / gefährlich;0;1;0;NULL;;;
223_10;illegaler Transport von Waffen;0;1;0;NULL;;;
223_11;Verdacht eines Dublettenfahrzeuges;0;1;0;NULL;;;
223_12;Schleusung von Ausländern;0;1;0;NULL;;;
223_13;illegaler Transport von Falschgeld;0;1;0;NULL;;;
223_2;Explosionsgefahr;0;1;0;NULL;;;
223_3;gefährliche Stoffe;0;1;0;NULL;;;
223_4;Ansteckungsgefahr;0;1;0;NULL;;;
223_5;Kfz-Sachwertdelikt;0;1;0;NULL;;;
223_6;Strahlungsgefahr;0;1;0;NULL;;;
223_7;chemische Gefahr;0;1;0;NULL;;;
223_8;missbräuchlich verwendetes oder gefälschtes Kennzeichen;0;1;0;NULL;;;
223_9;illegaler Transport von BtM;0;1;0;NULL;;;
