# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
224;Art der Verwendung eines Fahrzeugs;Art der Verwendung eines Fahrzeugs;ZIR;V1.3;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
224_1;Bauwesen;0;1;0;NULL;;;;;
224_10;öffentlicher Personenverkehr;0;1;0;NULL;;;;;
224_11;Bergungs- / Abschleppdienst;0;1;0;NULL;;;;;
224_12;Fischereiwesen;0;1;0;NULL;;;;;
224_13;Geld- / Werttransport;0;1;0;NULL;;;;;
224_14;gewerbliche Nutzung;0;1;0;NULL;;;;;
224_15;Verkaufs- / Serviceleistung;0;1;0;NULL;;;;;
224_16;Güterbeförderung;0;1;0;NULL;;;;;
224_17;hoheitliche Nutzung / sonstige Behörden;0;1;0;NULL;;;;;
224_18;Personenbeförderung;0;1;0;NULL;;;;;
224_19;Personenschutz;0;1;0;NULL;;;;;
224_2;Feuerwehr;0;1;0;NULL;;;;;
224_20;Sport / Freizeit / Reisen;0;1;0;NULL;;;;;
224_3;Militär;0;1;0;NULL;;;;;
224_4;Mietfahrzeug;0;1;0;NULL;;;;;
224_5;Land- und Forstwirtschaft;0;1;0;NULL;;;;;
224_6;Polizei;0;1;0;NULL;;;;;
224_7;Hilfs- und Rettungsdienst;0;1;0;NULL;;;;;
224_8;Säuberungs- / Reinigungsdienst;0;1;0;NULL;;;;;
224_9;Taxi;0;1;0;NULL;;;;;
