# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
225;Art der Nummer bei Fahrzeugen;Art der Nummer bei Fahrzeugen;ZIR;V1.3;20210803

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
225_1;Airbagnummer;0;1;0;NULL;;;;;
225_10;Navigationsgerätenummer;0;1;0;NULL;;;;;
225_11;Radionummer;0;1;0;NULL;;;;;
225_13;Rumpfnummer;0;1;0;NULL;;;;;
225_14;Segelnummer;0;1;0;NULL;;;;;
225_15;Wegfahrsperrennummer;0;1;0;NULL;;;;;
225_16;UIC-Wagennummer;NULL;1;0;NULL;;;;;
225_2;Airbag-Steuergerätenummer;0;1;0;NULL;;;;;
225_3;Differentialnummer / Verteilergetriebenummer;0;1;0;NULL;;;;;
225_4;Fahrzeugschlüsselnummer;0;1;0;NULL;;;;;
225_5;Funkausrüstungsnummer;0;1;0;NULL;;;;;
225_6;Getriebenummer;0;1;0;NULL;;;;;
225_7;Alarmanlagennummer;0;1;0;NULL;;;;;
225_8;Motornummer;0;1;0;NULL;;;;;
225_9;Motor-Steuergerätenummer;0;1;0;NULL;;;;;
