# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
226;Art der Fälschung bei Falschgeld;Art der Fälschung bei Falschgeld;ZIR;V1.3;20210804

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
226_10;manipulierte Fälschung;0;1;0;NULL;;;;2020-12-31;
226_11;Prägefälschung;0;1;0;NULL;PF;mit Presse und Prägestempel gefertigte Falsch-Münzen;;;
226_12;Systemnotenring;0;1;0;NULL;;;;2020-12-31;
226_14;elektrogalvanische Fälschung;NULL;1;0;NULL;EF;Mit Silikonkautschuk wird eine dünne Form für Münzen hergestellt, die mit Material ausgegossen wird;2021-01-01;;
226_15;Manipulation;NULL;1;0;NULL;;Teile echter Münzen werden nach Trennung in anderer Zusammensetzung wieder zusammengefügt;;2021-01-01;
226_16;Ronde;NULL;1;0;NULL;;Münzrohling ohne Prägung;;2021-01-01;
226_17;veränderte Banknotenabbildung;NULL;1;0;NULL;VBNA;Falsifikat mit zusätzlichen Aufdrucken;2021-01-01;;
226_18;Mischnote;NULL;1;0;NULL;;echte und falsche Banknotenteile sind zusammengefügt;2021-01-01;;
226_19;Tintenstrahlfälschung;NULL;1;0;NULL;;FG-Herstellung mit Inkjet-Drucker;2021-01-01;;
226_2;Druckfälschung;0;1;0;NULL;Print;FG-Herstellung im Offset-Verfahren;;;
226_20;Tonerfälschung;NULL;1;0;NULL;;FG-Herstellung mit Laser-Drucker;2021-01-01;;
226_4;elektrochemische Fälschung;0;1;0;NULL;;;;2020-12-31;
226_8;Gussfälschung;0;1;0;NULL;GF;in Formen gegossene Münzen;;;
