# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
230;Währung;Währung;ZIR;V1.4;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Währungsgruppe;ISO_4217
230_1;Australischer Dollar;0;1;0;NULL;;;;;;Dollar;AUD
230_10;Hongkong-Dollar;0;1;0;NULL;;;;;;Dollar;HKD
230_100;Rumänischer Leu (bis 31.12.2006);0;1;0;NULL;;;;2006-12-31;;Leu;ROL
230_101;Italienische Lira (bis 28.02.2002);0;1;0;NULL;;;;2002-02-28;;Lira;ITL
230_102;Maltesische Lira (bis 31.12.2007);0;1;0;NULL;;;;2007-12-31;;Lira;MTL
230_103;Türkische Lira (bis 31.12.2005);0;1;0;NULL;;;;2005-12-31;;Lira;TRL
230_104;Loti;0;1;0;NULL;;;;;;;LSL
230_105;Litas;0;1;0;NULL;;;;;;;LTL
230_106;Lats;0;1;0;NULL;;;;;;;LVL
230_107;Konvertible Mark;0;1;0;NULL;;;;;;Mark;BAM
230_108;Deutsche Mark (bis 31.12.2001);0;1;0;NULL;;;;2001-12-31;;Mark;DEM
230_109;Finnmark (bis 31.12.2001);0;1;0;NULL;;;;2001-12-31;;Mark;FIM
230_11;Jamaika-Dollar;0;1;0;NULL;;;;;;Dollar;JMD
230_110;Kyat;0;1;0;NULL;;;;;;;MMK
230_111;Tugrik;0;1;0;NULL;;;;;;;MNT
230_112;Pataca;0;1;0;NULL;;;;;;;MOP
230_113;Ouguiya;0;1;0;NULL;;;;;;;MRO
230_114;Rufiyaa;0;1;0;NULL;;;;;;;MVR
230_115;Ringgit;0;1;0;NULL;;;;;;;MYR
230_116;Metical (bis 31.12.2006);0;1;0;NULL;;;;2006-12-31;;;MZM
230_117;Naira;0;1;0;NULL;;;;;;;NGN
230_118;Córdoba Oro;0;1;0;NULL;;;;;;;NIO
230_119;Balboa;0;1;0;NULL;;;;;;;PAB
230_12;Kaiman-Dollar;0;1;0;NULL;;;;;;Dollar;KYD
230_120;Nuevo Sol;0;1;0;NULL;;;;;;;PEN
230_121;Argentinischer Peso;0;1;0;NULL;;;;;;Peso;ARS
230_122;Chilenischer Peso;0;1;0;NULL;;;;;;Peso;CLP
230_123;Kolumbianischer Peso;0;1;0;NULL;;;;;;Peso;COP
230_124;Kubanischer Peso;0;1;0;NULL;;;;;;Peso;CUP
230_125;Dominikanischer Peso;0;1;0;NULL;;;;;;Peso;DOP
230_126;Mexikanischer Peso;0;1;0;NULL;;;;;;Peso;MXN
230_127;Philippinischer Peso;0;1;0;NULL;;;;;;Peso;PHP
230_128;Uruguayischer Peso;0;1;0;NULL;;;;;;Peso;UYU
230_129;Zypriotisches Pfund (bis 31.12.2007);0;1;0;NULL;;;;2007-12-31;;Pfund;CYP
230_13;Liberianischer Dollar;0;1;0;NULL;;;;;;Dollar;LRD
230_130;Ägyptisches Pfund;0;1;0;NULL;;;;;;Pfund;EGP
230_131;Falkland-Pfund;0;1;0;NULL;;;;;;Pfund;FKP
230_132;Pfund Sterling;0;1;0;NULL;;;;;;Pfund;GBP
230_133;Gibraltar-Pfund;0;1;0;NULL;;;;;;Pfund;GIP
230_134;Irisches Pfund (bis 09.02.2002);0;1;0;NULL;;;;2002-02-09;;Pfund;IEP
230_135;Libanesisches Pfund;0;1;0;NULL;;;;;;Pfund;LBP
230_137;Sudanesisches Pfund (bis 1992);0;1;0;NULL;;;;1992-12-31;;Pfund;SDP
230_138;St.-Helena-Pfund;0;1;0;NULL;;;;;;Pfund;SHP
230_139;Syrisches Pfund;0;1;0;NULL;;;;;;Pfund;SYP
230_14;Namibia-Dollar;0;1;0;NULL;;;;;;Dollar;NAD
230_140;Kina;0;1;0;NULL;;;;;;;PGK
230_141;Zloty;0;1;0;NULL;;;;;;;PLN
230_142;Guaraní;0;1;0;NULL;;;;;;;PYG
230_143;Real;0;1;0;NULL;;;;;;Rial;BRL
230_144;Iranischer Rial;0;1;0;NULL;;;;;;Rial;IRR
230_145;Riel;0;1;0;NULL;;;;;;Rial;KHR
230_146;Rial Omani;0;1;0;NULL;;;;;;Rial;OMR
230_147;Katar-Riyal;0;1;0;NULL;;;;;;Rial;QAR
230_148;Saudi-Riyal;0;1;0;NULL;;;;;;Rial;SAR
230_149;Jemen-Rial;0;1;0;NULL;;;;;;Rial;YER
230_15;Neuseeland-Dollar;0;1;0;NULL;;;;;;Dollar;NZD
230_150;Belarus-Rubel (bis 2000);0;1;0;NULL;;;;2000-12-31;;Rubel;BYB
230_151;Russischer Rubel (bis 31.12.1997);0;1;0;NULL;;;;1997-12-31;;Rubel;RUR
230_152;Tadschikistan-Rubel (bis 29.10.2000);0;1;0;NULL;;;;2000-10-29;;Rubel;TJR
230_153;Rupiah;0;1;0;NULL;;;;;;Rupie;IDR
230_154;Sri-Lanka-Rupie;0;1;0;NULL;;;;;;Rupie;LKR
230_155;Mauritius-Rupie;0;1;0;NULL;;;;;;Rupie;MUR
230_156;Nepalesische Rupie;0;1;0;NULL;;;;;;Rupie;NPR
230_157;Pakistanische Rupie;0;1;0;NULL;;;;;;Rupie;PKR
230_158;Seychellen-Rupie;0;1;0;NULL;;;;;;Rupie;SCR
230_159;Österreichischer Schilling (bis 28.02.2002);0;1;0;NULL;;;;2002-02-28;;Schilling;ATS
230_16;Salomonen-Dollar;0;1;0;NULL;;;;;;Dollar;SBD
230_160;Kenia-Schilling;0;1;0;NULL;;;;;;Schilling;KES
230_161;Somalia-Schilling;0;1;0;NULL;;;;;;Schilling;SOS
230_162;Uganda-Schilling;0;1;0;NULL;;;;;;Schilling;UGX
230_163;Tolar (bis 14.01.2007);0;1;0;NULL;;;;2007-01-14;;;SIT
230_164;Leone;0;1;0;NULL;;;;;;;SLL
230_165;Dobra;0;1;0;NULL;;;;;;;STD
230_166;Lilangeni;0;1;0;NULL;;;;;;;SZL
