# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
240;Kraftfahrzeugmarke;Kraftfahrzeugmarke;ZIR;V1.4;20210220

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
240_1;Abarth;0;1;0;NULL;;;;;
240_10;Aston Martin;0;1;0;NULL;;;;;
240_100;Marcos;0;1;0;NULL;;;;;
240_101;Maserati;0;1;0;NULL;;;;;
240_102;Maybach;0;1;0;NULL;;;;;
240_103;Mazda;0;1;0;NULL;;;;;
240_104;Mercedes-Benz;0;1;0;NULL;;;;;
240_105;Mercury;0;1;0;NULL;;;;;
240_106;MG;0;1;0;NULL;;;;;
240_107;Mini;0;1;0;NULL;;;;;
240_108;Mitsubishi;0;1;0;NULL;;;;;
240_109;Morgan;0;1;0;NULL;;;;;
240_11;Atlas;0;1;0;NULL;;;;;
240_110;Moskwitsch;0;1;0;NULL;;;;;
240_111;Moto Guzzi;0;1;0;NULL;;;;;
240_112;Mulag;0;1;0;NULL;;;;;
240_113;MZ/ MuZ;0;1;0;NULL;;;;;
240_114;Neoplan;0;1;0;NULL;;;;;
240_115;Neuson;0;1;0;NULL;;;;;
240_116;Nissan;0;1;0;NULL;;;;;
240_117;Noble;0;1;0;NULL;;;;;
240_118;NSU;0;1;0;NULL;;;;;
240_119;Oldsmobile;0;1;0;NULL;;;;;
240_12;Audi;0;1;0;NULL;;;;;
240_120;Opel;0;1;0;NULL;;;;;
240_121;Pagani;0;1;0;NULL;;;;;
240_122;Panther;0;1;0;NULL;;;;;
240_123;Peugeot;0;1;0;NULL;;;;;
240_124;Piaggio;0;1;0;NULL;;;;;
240_125;Plymouth;0;1;0;NULL;;;;;
240_126;Polaris;0;1;0;NULL;;;;;
240_127;Pontiac;0;1;0;NULL;;;;;
240_128;Porsche;0;1;0;NULL;;;;;
240_129;Proton;0;1;0;NULL;;;;;
240_13;Austin;0;1;0;NULL;;;;;
240_130;Puch;0;1;0;NULL;;;;;
240_131;Renault;0;1;0;NULL;;;;;
