# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
244;Körperteil;Körperteil;ZIR;V2.0;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
244_1;gesamter Körper;0;1;0;NULL;;;;;
244_10;Bauch;0;1;0;NULL;;;;;
244_100;Zehennagel;0;1;0;NULL;;;;;
244_102;Fingernagel;0;1;0;NULL;;;;;
244_103;Darm;0;1;0;NULL;;;;;
244_104;Galle;0;1;0;NULL;;;;;
244_105;Herz;0;1;0;NULL;;;;;
244_106;Lunge;0;1;0;NULL;;;;;
244_107;Magen;0;1;0;NULL;;;;;
244_108;Niere;0;1;0;NULL;;;;;
244_109;Knie;0;1;0;NULL;;;;;
244_11;Genital;0;1;0;NULL;;;;;
244_110;Oberschenkel;0;1;0;NULL;;;;;
244_111;Unterschenkel;0;1;0;NULL;;;;;
244_112;Oberarm;0;1;0;NULL;;;;;
244_113;Unterarm;0;1;0;NULL;;;;;
244_114;Ellenbogen;0;1;0;NULL;;;;;
244_115;Daumen;0;1;0;NULL;;;;;
244_116;Kleinfinger;0;1;0;NULL;;;;;
244_117;Mittelfinger;0;1;0;NULL;;;;;
244_118;Ringfinger;0;1;0;NULL;;;;;
244_119;Zeigefinger;0;1;0;NULL;;;;;
244_12;Rücken;0;1;0;NULL;;;;;
244_120;Gebärmutter;0;1;0;NULL;;;;;
244_121;Zunge;0;1;0;NULL;;;;;
244_122;Hodensack;0;1;0;NULL;;;;;
244_124;Becken / Hüfte;0;1;0;NULL;;;;;
244_125;Fußsohle;0;1;0;NULL;;;;;
244_128;Handrücken;0;1;0;NULL;;;;;
244_129;Handteller;0;1;0;NULL;;;;;
244_13;Gesäß;0;1;0;NULL;;;;;
244_130;Handgelenk;0;1;0;NULL;;;;;
244_134;Armbeuge;0;1;0;NULL;;;;;
244_139;Bauchnabel;0;1;0;NULL;;;;;
244_14;Schläfe;0;1;0;NULL;;;;;
244_140;Brustwarze;0;1;0;NULL;;;;;
244_147;Hinterkopf;0;1;0;NULL;;;;;
244_148;Lippenbändchen;0;1;0;NULL;;;;;
244_157;Schulterblatt;0;1;0;NULL;;;;;
244_165;Achsel;0;1;0;NULL;;;;;
244_17;Wange;0;1;0;NULL;;;;;
244_174;Steiß;0;1;0;NULL;;;;;
244_175;Damm;0;1;0;NULL;;;;;
244_176;Penis;0;1;0;NULL;;;;;
244_177;Eichel;0;1;0;NULL;;;;;
244_178;Vorhaut;0;1;0;NULL;;;;;
244_179;Klitoris;0;1;0;NULL;;;;;
244_182;Vagina;0;1;0;NULL;;;;;
244_183;Schamlippe;0;1;0;NULL;;;;;
244_186;Gliedmaßen;0;1;0;NULL;;;;;
244_187;Leiste;0;1;0;NULL;;;;;
244_191;Wade;0;1;0;NULL;;;;;
244_193;Kniescheibe;0;1;0;NULL;;;;;
244_196;Kniekehle;0;1;0;NULL;;;;;
244_2;Kopf;0;1;0;NULL;;;;;
244_20;Auge;0;1;0;NULL;;;;;
244_201;Schienbein;0;1;0;NULL;;;;;
244_212;Kleiner Zeh;0;1;0;NULL;;;;;
244_213;Ringzeh;0;1;0;NULL;;;;;
244_214;Mittelzeh;0;1;0;NULL;;;;;
244_215;Zeigezeh;0;1;0;NULL;;;;;
244_216;Großer Zeh;0;1;0;NULL;;;;;
244_217;Nasenrücken;0;1;0;NULL;;;;;
244_218;Nasenwurzel;0;1;0;NULL;;;;;
244_219;Philtrum;0;1;0;NULL;;;;;
244_222;Nasenflügel;0;1;0;NULL;;;;;
244_223;Nasenspitze;0;1;0;NULL;;;;;
244_228;Sprunggelenk;0;1;0;NULL;;;;;
244_23;Lid;0;1;0;NULL;;;;;
244_26;Ohr;0;1;0;NULL;;;;;
244_29;Ohrläppchen;0;1;0;NULL;;;;;
244_30;Mund;0;1;0;NULL;;;;;
244_31;Lippe;0;1;0;NULL;;;;;
244_32;Oberlippe;0;1;0;NULL;;;;;
244_33;Unterlippe;0;1;0;NULL;;;;;
244_34;Nase;0;1;0;NULL;;;;;
244_37;Hals;0;1;0;NULL;;;;;
244_38;Nacken;0;1;0;NULL;;;;;
244_39;Brust;0;1;0;NULL;;;;;
244_43;Arm;0;1;0;NULL;;;;;
244_5;Stirn;0;1;0;NULL;;;;;
244_52;Hand;0;1;0;NULL;;;;;
244_59;Finger;0;1;0;NULL;;;;;
244_6;Gesicht;0;1;0;NULL;;;;;
244_69;Bein;0;1;0;NULL;;;;;
244_7;Rumpf;0;1;0;NULL;;;;;'Torso; Oberkörper'
244_78;Fuß;0;1;0;NULL;;;;;
244_8;Kinn;0;1;0;NULL;;;;;
244_83;Augenbraue;0;1;0;NULL;;;;;
244_86;Mundwinkel;0;1;0;NULL;;;;;
244_9;Schulter;0;1;0;NULL;;;;;
244_90;Organ;0;1;0;NULL;;;;;
244_91;Gaumenmandel;0;1;0;NULL;;;;;
244_92;Blinddarm;0;1;0;NULL;;;;;
244_93;Kehlkopf;0;1;0;NULL;;;;;
244_98;Zeh;0;1;0;NULL;;;;;
