# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
245;Modus Operandi;Modus Operandi;ZIR;V1.5;20210817

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;AMK;Cybercrime;Eigentum;Rauschgift;Sexualdelikte;Tötungs-_Gewaltdelikte;Falschgeld;Schleusung_Menschenhandel;Urkundenkriminalität;Wirtschaftskriminalität
245_1;(D)Dos-Attacke;0;1;0;NULL;;Durch einen (verteilten, "distributed") Denial-of-Service Angriff wird ein Dienst in einem Datennetz (z. B. Webseite, E-Mail, Cloud-Services), der eigentlich verfügbar sein sollte, lahmgelegt bzw. seine Erreichbarkeit stark eingeschränkt.;;;;;J;;;;;;;;
245_10;Ausbaldowern / Organisieren;0;1;0;NULL;;;;;;;;;;;J;;;;
245_100;Funkstreckenverlängerung;0;1;0;NULL;;;;;;;;J;;;;;;;
245_101;Veränderung der Kontodaten / -verbindung;0;1;0;NULL;;;;;;;J;;;;;;;;
245_102;Veränderung der E-Mail-Adresse;0;1;0;NULL;;;;;;;J;;;;;;;;
245_103;Nutzung ähnlicher E-Mail-Adressen im Schriftverkehr;0;1;0;NULL;;;;;;;J;;;;;;;;
245_104;Doping im Sport;0;1;0;NULL;;;;;;J;;;;;;;;;
245_105;Einsperren;0;1;0;NULL;;;;;;;;;;J;;;;;
245_106;Einwirken mit physischer Gewalt;0;1;0;NULL;;;;;;;;;;J;;;;;
245_107;Einwirken mit psychischer Gewalt;0;1;0;NULL;;;;;;;;;;J;;;;;
245_108;Firmen / Lagerhalle Einbruchdiebstahl;0;1;0;NULL;;;;;;;;J;;;;;;;
245_109;Geschäftseinbruchdiebstahl;0;1;0;NULL;;;;;;;;J;;;;;;;
245_11;Aussetzen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_110;Aufhebeln;0;1;0;NULL;;;;;;;;J;;;;;;;
245_111;Einrammen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_112;Mauerdurchbruch;0;1;0;NULL;;;;;;;;J;;;;;;;
245_113;Zielrichtung Tresor;0;1;0;NULL;;;;;;;;J;;;;;;;
245_114;Dacheinstieg;0;1;0;NULL;;;;;;;;J;;;;;;;
245_115;Einwerfen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_116;Infektion von Systemen;0;1;0;NULL;;;;;;;J;;;;;;;;
245_118;E-Mail-Spam;0;1;0;NULL;;;;;;;J;;;;;;;;
245_119;Drive-by;0;1;0;NULL;;;;;;;J;;;;;;;;
245_12;Bedrohen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_120;SMS-Nachricht;0;1;0;NULL;;;;;;;J;;;;;;;;
245_121;Ladendiebstahl;0;1;0;NULL;;;;;;;;J;;;;;;;
245_122;Ladungsdiebstahl;0;1;0;NULL;;Ladungsdiebstahl umfasst auch den Transportgutdiebstahl im Güterkraftverkehr gem. § 1 GüKG, im Werkverkehr und im Güterverkehr auf der Schiene gem. § 18 EBO sowie im Schiffs- und Luftverkehr.;;;;;;J;;;;;;;
245_123;Diebesschürze;0;1;0;NULL;;;;;;;;J;;;;;;;
245_124;Planenschlitzer;0;1;0;NULL;;Planenschlitzer wird nur dann erfasst, wenn keine Anhaltspunkte dafür vorliegen, dass die Tat in der Erlangung des Fahrzeuges bzw. in der Sachbeschädigung begründet war.;;;;;;J;;;;;;;
245_125;Komplettentwendung LKW / Auflieger;0;1;0;NULL;;Komplettentwendung LKW / Auflieger wird nur dann erfasst, wenn keine Anhaltspunkte dafür vorliegen, dass die Tat in der Erlangung des Fahrzeuges bzw. in der Sachbeschädigung begründet war.;;;;;;J;;;;;;;
245_126;Internet-Frachtbörse;0;1;0;NULL;;;;;;;;J;;;;;;;
245_127;Nutzung von Packstationen;0;1;0;NULL;;;;;;J;J;;J;;;J;;;
245_128;Nutzung von Post- und Kurierdiensten mittels Brief;0;1;0;NULL;;;;;;J;J;;J;;;J;;;
245_129;Nutzung von Post- und Kurierdiensten mittels Paket;0;1;0;NULL;;;;;;J;J;;J;;;J;;;
245_13;Beibringen von Stoffen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_130;Zahlung per Voucher;0;1;0;NULL;;;;;;;J;;;;;;;;
245_131;Zahlung mit virtueller Währung;0;1;0;NULL;;;;;;;J;;;;;;;;
245_132;Sperrbildschirm;0;1;0;NULL;;;;;;;J;;;;;;;;
245_133;Verschlüsselung von Dateien;0;1;0;NULL;;;;;;;J;;;;;;;;
245_134;Skimming;0;1;0;NULL;;;;;;;J;;;;;;;;
245_135;Taschendiebstahl;0;1;0;NULL;;;;;;;;J;;;;;;;
245_136;Antanzen;0;1;0;NULL;;;;;;;;J;;;;;;;
245_137;Ausnutzen von Gedränge;0;1;0;NULL;;;;;;;;J;;;;;;;
245_138;Kettentrick;0;1;0;NULL;;;;;;;;J;;;;;;;
245_139;Trickdiebstahl in Wohnung;0;1;0;NULL;;;;;;;;J;;;;;;;
245_14;Beleidigen;0;1;0;NULL;;;;;;;;;;;J;;;;
245_140;Verbauen / Verstecken im Körper;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_141;Verbauen / Verstecken am Körper;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_142;Rip-Off;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_143;Kofferschmuggel;0;1;0;NULL;;;;;;J;;;J;;;;;;
245_144;Verschiebung von Kfz;0;1;0;NULL;;;;;;;;J;;;;;;;
245_145;Kurierfahrer;0;1;0;NULL;;;;;;;;J;;;;;;;
245_146;falsche / gefälschte Dokumente;0;1;0;NULL;;;;;;;;J;;;;;;;
245_147;Verkauf im Internet;0;1;0;NULL;;;;;;;;J;;;;;;;
245_148;Kfz-Zulassung gestohlener ausländischer Kfz in D;0;1;0;NULL;;;;;;;;J;;;;;;;
245_149;Kfz-Zulassung gestohlener deutscher Kfz im Ausland;0;1;0;NULL;;;;;;;;J;;;;;;;
245_15;Berauben;0;1;0;NULL;;;;;;;;;;;J;;;;
245_150;Kfz-Zulassung gestohlener deutscher Kfz in D;0;1;0;NULL;;;;;;;;J;;;;;;;
245_151;Dublette;0;1;0;NULL;;;;;;;;J;;;;;;;
245_152;Schrottfrisierung;0;1;0;NULL;;;;;;;;J;;;;;;;
245_153;Verwendung von Anonymisierungstechniken;0;1;0;NULL;;;;;;;J;;;;;J;;;
245_154;Wiederholte oder lang anhaltende Einwirkung (> 24 Std.);0;1;0;NULL;;;;;;;;;;J;;;;;
245_155;Wohnungseinbruchdiebstahl;0;1;0;NULL;WED;;;;;;;J;;;;;;;
245_156;Fensterbohren;0;1;0;NULL;;;;;;;;J;;;;;;;
245_157;Einstieg Kellerfenster;0;1;0;NULL;;;;;;;;J;;;;;;;
245_158;Ausnutzen Feier / Veranstaltung;0;1;0;NULL;;;;;;;;J;;;;;;;
245_159;gestohlene Dokumente;0;1;0;NULL;;;;;;;;J;;;;;;;
245_160;gestohlene Kreditkarten;0;1;0;NULL;;;;;;;;J;;;;;;;
