# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
259;Art des Bartes;Art des Bartes;ZIR;V1.2;20190405

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Bild
259_1;aufgedrehter Bart;0;1;0;NULL;;;;;;link:259_1.jpg
259_10;Rahmenbart;0;1;0;NULL;;;;;;link:259_10.jpg
259_11;Spitzbart;0;1;0;NULL;;reicht über das Kinn hinaus;;;;link:259_11.jpg
259_12;Vollbart;0;1;0;NULL;;;;;;link:259_12.jpg
259_13;glattrasiert;0;1;0;NULL;;;;;;
259_14;Flaum;0;1;0;NULL;;;;;;
259_15;unrasiert;0;1;0;NULL;;;;;;
259_16;Unterlippenbart;0;1;0;NULL;;;;;;
259_2;Backenbart;0;1;0;NULL;;;;;;link:259_2.jpg
259_3;Bart;0;1;0;NULL;;;;;;
259_4;Charlie-Chaplin-Bart;0;1;0;NULL;;ca. 2-3 Finger breit;;;;link:259_4.jpg
259_5;Drei-Tage-Bart;0;1;0;NULL;;;;;;link:259_5.jpg
259_6;Dschingis-Khan-Bart;0;1;0;NULL;;;;;;link:259_6.jpg
259_7;Kotelettenbart;0;1;0;NULL;;;;;;link:259_7.jpg
259_8;Menjoubart;0;1;0;NULL;;;;;;link:259_8.jpg
259_9;Oberlippenbart;0;1;0;NULL;;;;;;link:259_9.jpg
