# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
264;Stimm-/Sprachmerkmal;Stimm-/Sprachmerkmal;ZIR;V1.2;20190405

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
264_1;sehr hoch;0;1;0;NULL;;;;;
264_10;schnell;0;1;0;NULL;;;;;
264_11;langsam;0;1;0;NULL;;;;;
264_12;undeutlich;0;1;0;NULL;;;;;
264_2;sehr tief;0;1;0;NULL;;;;;
264_3;belegt / heiser;0;1;0;NULL;;;;;
264_4;näselt / nuschelt;0;1;0;NULL;;;;;
264_5;stottert / stammelt;0;1;0;NULL;;;;;
264_6;lispelt;0;1;0;NULL;;;;;
264_7;stumm;0;1;0;NULL;;;;;
264_8;laut;0;1;0;NULL;;;;;
264_9;leise;0;1;0;NULL;;;;;
