# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
265;PMK-politischer Kalender;PMK-politischer Kalender;ZIR;V1.8;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Ereignisdatum;Land_Gebiet
265_1;iranisches Neujahrsfest;0;1;0;NULL;;;2001-01-01;2016-12-31;;0000-03-26;Iran
265_10;Beginn der Intifada;0;1;0;NULL;;;2001-01-01;2018-12-31;;1987-12-08;Palästinensische Autonomiegebiete
265_100;'"Tal El Saatar"';0;1;0;NULL;;Fall des Palästinenserlagers;2001-01-01;2016-12-31;;1976-08-12;Palästinensische Autonomiegebiete
265_101;Terroranschlag auf die Besucher der Ibrahim-Moschee durch einen israelischen Siedler;0;1;0;NULL;;;2001-01-01;2016-12-31;;1994-02-25;Palästinensische Autonomiegebiete
265_102;Terroranschlag auf die USA;0;1;0;NULL;;;2002-01-01;;;2001-09-11;Vereinigte Staaten
265_103;Tod der Conny WESSMANN;0;1;0;NULL;;;2001-01-01;2018-12-31;;1989-11-17;Deutschland
265_104;Tod des Ayatollah KHOMEINI;0;1;0;NULL;;;2001-01-01;2016-12-31;;1989-06-04;Iran
265_105;Todestag Michael KÜHNENs;0;1;0;NULL;;;2001-01-01;2016-12-31;;1991-04-25;Deutschland
265_106;Todestag Rudolf HESS;0;1;0;NULL;;;2001-01-01;;;1987-08-17;Deutschland
265_107;Todestag von Horst WESSEL;0;1;0;NULL;;Mitglied der NSDAP und SA;2001-01-01;;;1930-02-23;Deutschland
265_108;Todestag von Ibrahim KAYPAKKAYA, Gründer der TKP/ML;0;1;0;NULL;;;2001-01-01;2018-12-31;;1973-05-18;Türkei
265_109;Todestag von ZIMMERMANN, KUBIAK und MEHR;0;1;0;NULL;;Aktivisten der "Sauerländer Aktionsfront";2001-01-01;2016-12-31;;1997-11-22;Deutschland
265_11;Beginn des militärischen Kampfes der PKK;0;1;0;NULL;;;2001-01-01;2016-12-31;;1984-08-15;Türkei
265_110;Todesurteil (FATWA) gegen Salman RUSHDIE;0;1;0;NULL;;;2001-01-01;2016-12-31;;1989-02-14;Iran
265_111;Unabhängigkeitstag;0;1;0;NULL;;;2001-01-01;2016-12-31;;1947-08-15;Indien
265_112;Verbot der "Tudeh-Partei";0;1;0;NULL;;;2001-01-01;2016-12-31;;1983-05-04;Iran
265_113;Verbot der DHKP-C und der THKP-C-Devrimci Sol;0;1;0;NULL;;;2001-01-01;2016-12-31;;1998-08-13;Türkei
265_114;Verbot der NSDAP durch den Alliierten Kontrollrat;0;1;0;NULL;;;2001-01-01;2016-12-31;;1945-09-20;Deutschland
265_115;Verhaftung Ernst RÖHM;0;1;0;NULL;;Stabschef der SA;2001-01-01;2016-12-31;;1934-06-30;Deutschland
265_116;Verurteilung von Mohamed Ali HAMADEI wegen Mord und Flugzeugentführung;0;1;0;NULL;;;2001-01-01;2016-12-31;;1989-05-17;Libanon
265_117;Volkstrauertag ("Heldengedenktag");0;1;0;NULL;;;2001-01-01;;Heldengedenktag;2. Sonntag vor dem 1. Advent;Deutschland
265_118;Vollzug des Verbotes der "Arbeiterpartei Kurdistan" (PKK);0;1;0;NULL;;;2001-01-01;;;1993-11-26;Türkei
265_119;Walpurgisnacht;0;1;0;NULL;;;2001-01-01;;;0000-04-30;Deutschland
265_12;Begründung der konstitutionellen Monarchie;0;1;0;NULL;;;2001-01-01;2016-12-31;;1906-08-05;Iran
265_120;'"Wannsee-Konferenz"';0;1;0;NULL;;organisatorische Festlegung der Massenvernichtung der Juden durch die NS-Führung;2001-01-01;2018-12-31;;1942-01-20;Deutschland
265_121;Welternährungstag;0;1;0;NULL;;seit 1979;2001-01-01;2016-12-31;'Anti-McDonald''s-Tag';0000-10-16;Deutschland
265_122;Welttierschutztag;0;1;0;NULL;;seit 1931;2005-01-01;2016-12-31;;0000-10-04;Deutschland
265_123;'"Werwolf"';0;1;0;NULL;;Schaffung der NS-Untergrundorganisation zur Durchführung von Sabotage- und Terrorakten in den von den alliierten Truppen besetzten Gebieten;2001-01-01;2016-12-31;;1945-04-00;Deutschland
265_124;Wirtschafts- und Währungsunion;0;1;0;NULL;;;2001-01-01;2018-12-31;;1990-07-01;Deutschland
