# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
268;PMK-Thema;PMK-Thema;ZIR;V1.9;20210101

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
268_1;ABC-Kriminalität;0;1;0;NULL;;;2001-01-01;;
268_10;Antirassismus;0;1;0;NULL;;;2002-01-01;;
268_100;Tschetschenien;0;1;0;NULL;;;2003-01-01;;
268_101;Menschenrechte;0;1;0;NULL;;;2001-01-01;;
268_102;Todesstrafe, "politische Gefangene", Folter;0;1;0;NULL;;;2001-01-01;;
268_103;Antimilitarismus;0;1;0;NULL;;OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen;2017-01-01;;
268_104;Auslandseinsätze;0;1;0;NULL;;OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen;2001-01-01;;
268_105;Gelöbnisse;0;1;0;NULL;;OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen;2001-01-01;2018-12-31;
268_106;NATO;0;1;0;NULL;;OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen;2001-01-01;;
268_107;Rüstung;0;1;0;NULL;;'OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen; gilt auch für Waffenlieferungen an Drittländer';2001-01-01;;
268_108;Wehrdienst;0;1;0;NULL;;OAZ "Militär" und entsprechende UAZ als Angriffsziel prüfen;2001-01-01;;
268_109;Nationalsozialismus / Sozialdarwinismus;0;1;0;NULL;;;2001-01-01;;
268_11;Ausländer- / Asylthematik;0;1;0;NULL;;;2001-01-01;;
268_110;autonomer Nationalismus;0;1;0;NULL;;;2009-01-01;;
268_111;Leugnung des Holocaust;0;1;0;NULL;;UTF "antisemitisch" prüfen;2001-01-01;;
268_112;Leugnung der Kriegsschuld;0;1;0;NULL;;;2001-01-01;;
268_113;Revisionismus;0;1;0;NULL;;;2001-01-01;;
268_114;Totalitarismus / "Führerprinzip";0;1;0;NULL;;durch Schriften, Tonträger, Internet etc.;2001-01-01;;
268_115;Verherrlichung / Propaganda;0;1;0;NULL;;;2001-01-01;;
268_116;völkischer Nationalismus;0;1;0;NULL;;UTF "Rassismus", "fremdenfeindlich", "antisemitisch", "antiziganistisch", "Behinderung", "sexuelle Orientierung" und "sonstige ethnische Zugehörigkeit" prüfen;2001-01-01;;
268_117;Ökologie / Industrie / Wirtschaft;0;1;0;NULL;;'ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_118;Entsorgung;0;1;0;NULL;;Abwasser, Abfall, Sondermüll, MVA ohne Kernenergie;2001-01-01;2016-12-31;
268_119;Forschung;0;1;0;NULL;;'auch OAZ "Bildung / Wissenschaft / Forschung" als Angriffsziel prüfen; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_12;Abschiebung;0;1;0;NULL;;;2001-01-01;;
268_120;Gentechnologie;0;1;0;NULL;;'auch OAZ "Bildung / Wissenschaft / Forschung" als Angriffsziel prüfen; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_121;Klima;0;1;0;NULL;;'ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_122;Logistik;0;1;0;NULL;;'ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2012-01-01;;
268_123;Neue Technologie;0;1;0;NULL;;'auch OAZ "Bildung / Wissenschaft / Forschung" als Angriffsziel prüfen; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_124;Tierschutz / Tierrecht / Jagd;0;1;0;NULL;;'Vegetarismus, Veganismus, Hochsitzsäger; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_125;Umweltschutz;0;1;0;NULL;;'auch Entsorgung; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_126;Verbraucherschutz;0;1;0;NULL;;'BSE, Lebensmittelproduktion; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_127;Verkehrsprojekte;0;1;0;NULL;;'Startbahn, Straßenbau; ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_128;Versorgung;0;1;0;NULL;;'Wasser, Gas, Strom ohne Kernenergie; die OAZ "Handel / Wirtschaft" und "Infrastruktur" sowie entsprechende UAZ als Angriffsziel prüfen';2001-01-01;;
268_129;Proliferation;0;1;0;NULL;;Illegaler Technologie- und Warentransfer;2001-01-01;2018-12-31;
268_13;Alimentation;0;1;0;NULL;;;2001-01-01;;
268_130;Sozialpolitik;0;1;0;NULL;;OAZ "Staat" und die entsprechenden UAZ als Angriffsziel prüfen;2001-01-01;;
