# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
274;Motiv einer Tätowierung;Motiv einer Tätowierung;ZIR;V1.3;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
274_10;Buchstabe;0;1;0;NULL;;;;;
274_11;Schiff;0;1;0;NULL;;;;;
274_12;Mensch;0;1;0;NULL;;;;;
274_13;Mann;0;1;0;NULL;;;;;
274_134;Bild;0;1;0;NULL;;;;;
274_135;Vogel;0;1;0;NULL;;;;;
274_136;Zahl;0;1;0;NULL;;;;;
274_138;Teufel;0;1;0;NULL;;;;;
274_139;Henker;0;1;0;NULL;;;;;
274_14;Frau;0;1;0;NULL;;;;;
274_140;Rose;0;1;0;NULL;;;;;
274_141;Kleeblatt;0;1;0;NULL;;;;;
274_142;Spielkarte;0;1;0;NULL;;;;;
274_143;Spinne;0;1;0;NULL;;;;;
274_144;Spinnennetz;0;1;0;NULL;;;;;
274_145;Tiger;0;1;0;NULL;;;;;
274_146;Drache;0;1;0;NULL;;;;;
274_147;Skelett;0;1;0;NULL;;;;;
274_148;Sensenmann;0;1;0;NULL;;;;;
274_149;Galgen;0;1;0;NULL;;;;;
274_150;Orden;0;1;0;NULL;;;;;
274_151;Gegenstände / Sachen;0;1;0;NULL;;;;;
274_164;Stern;0;1;0;NULL;;;;;
274_175;Adler;0;1;0;NULL;;;;;
274_176;Auge;0;1;0;NULL;;;;;
274_177;Engel;0;1;0;NULL;;;;;
274_178;Fisch;0;1;0;NULL;;;;;
274_179;Fledermaus;0;1;0;NULL;;;;;
274_180;Haifisch;0;1;0;NULL;;;;;
274_181;Hase;0;1;0;NULL;;;;;
274_182;Hund;0;1;0;NULL;;auch Wolf;;;
274_183;Löwe;0;1;0;NULL;;;;;
274_184;Panther;0;1;0;NULL;;;;;
274_185;Hakenkreuz;0;1;0;NULL;;;;;
274_186;Lippen;0;1;0;NULL;;auch Mund;;;
274_187;Ornament;0;1;0;NULL;;;;;
274_188;Pegasus;0;1;0;NULL;;;;;
274_189;Schmetterling;0;1;0;NULL;;;;;
274_190;Skorpion;0;1;0;NULL;;;;;
274_191;Stier;0;1;0;NULL;;;;;
274_192;Stierkopf;0;1;0;NULL;;;;;
274_193;Strich;0;1;0;NULL;;auch Linie;;;
274_194;Wikinger;0;1;0;NULL;;;;;
274_195;Wikingerkopf;0;1;0;NULL;;;;;
274_196;Einhorn;0;1;0;NULL;;;;;
274_197;Comicfigur;0;1;0;NULL;;;;;
274_198;Dinosaurier;0;1;0;NULL;;;;;
274_200;Reptil;0;1;0;NULL;;;;;
274_201;Raubtier;0;1;0;NULL;;;;;
274_202;Insekt;0;1;0;NULL;;;;;
274_203;Wassertier;0;1;0;NULL;;;;;
274_204;Delfin;0;1;0;NULL;;;;;
274_205;Elfe;0;1;0;NULL;;;;;
274_206;Indianer;0;1;0;NULL;;;;;
274_207;Kind;0;1;0;NULL;;;;;
274_208;Rune;0;1;0;NULL;;;;;
274_209;Katze;0;1;0;NULL;;;;;
