# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
284;Art des Wasserfahrzeugkennzeichens;Art des Wasserfahrzeugkennzeichens;ZIR;V1.1;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
284_1;International Maritime Organization - IMO;0;1;0;NULL;;;;;
284_10;Kennzeichen für ausländische Kleinfahrzeuge in Deutschland;0;1;0;NULL;;;;;
284_11;Militärische Kennung;0;1;0;NULL;;;;;
284_2;European Number of Identification - ENI;0;1;0;NULL;;;;;
284_3;Kennzeichen für Fischereifahrzeuge;0;1;0;NULL;;;;;
284_4;Kennzeichen für deutsche Kleinfahrzeuge in Deutschland (amtlich oder amtlich anerkannt);0;1;0;NULL;;;;;
284_5;Schiffsregisternummer;0;1;0;NULL;;;;;
284_6;Flaggenzertifikat;0;1;0;NULL;;;;;
284_7;Kennzeichen von Organisationen in Deutschland;0;1;0;NULL;;;;;
284_8;Besondere Kennzeichen vom Wasser- und Schifffahrtsamt Berlin;0;1;0;NULL;;;;;
284_9;Vermietungskennzeichen nach der Sportbootvermietungsverordnung;0;1;0;NULL;;;;;
