# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
290;Schusswaffenhersteller;Schusswaffenhersteller;ZIR;V1.2.1;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;XWaffeCode
290_1;300 Gunsmith;0;1;0;NULL;;300 Gunsmith Service/ Staat: USA/ Land: CO;;;;1
290_10;Action Arms;0;1;0;NULL;;Action Arms Ltd./ Staat: USA/ Land: PA;;;;10
290_100;Armsport;0;1;0;NULL;;Armsport Inc./ Staat: USA/ Land: FL;;;;100
290_1000;Liegeoise;0;1;0;NULL;;'Manufacture Liegeoise D''Armes A Feu/ Staat: B';;;;1005
290_1001;Lignose;0;1;0;NULL;;Lignose AG Bergmann/ Staat: D/ Land: BE;;;;1006
290_1002;Lindner;0;1;0;NULL;;H.A. Lindner Jagdgewehrfabrik/ Staat: D/ Land: TH;;;;1007
290_1003;Lindsay;0;1;0;NULL;;Lindsay Manufacturing Co./ Staat: USA/ Land: NY;;;;1008
290_1004;LINE SI;0;1;0;NULL;;LINE SI Manufacturing Inc./ Staat: USA/ Land: ID;;;;1009
290_1005;Linebaugh;0;1;0;NULL;;J.Linebaugh/ Staat: USA/ Land: WY;;;;1010
290_1006;Lisarriturri;0;1;0;NULL;;Lisarriturri S.S./ Staat: BR;;;;1011
290_1007;List;0;1;0;NULL;;List & Co. Waffenfabrikation/ Staat: D/ Land: TH;;;;1012
290_1008;Lithgow;0;1;0;NULL;;Lithgow Small Arms Factory/ Staat: AUS;;;;1013
290_1009;Little All Right;0;1;0;NULL;;Little All Right Firearms Co./ Staat: USA;;;;1014
290_101;Armur;0;1;0;NULL;;Etablissements Armur/ Staat: F;;;;101
290_1010;LIW;0;1;0;NULL;;Lyttleton Ingeneers Werken A Disvision of Denel/ Staat: ZA;;;;1015
290_1011;Ljutic Industries;0;1;0;NULL;;Staat: USA/ Land: WA;;;;1016
290_1012;Llama;0;1;0;NULL;;Llama Gabilondo y Cia S.A./ Staat: E;;;;1017
290_1013;Loewe;0;1;0;NULL;;Waffenfabrik Ludwig Loewe & Cie./ Staat: D/ Land: BE;;;;1018
290_1014;Londesborough;0;1;0;NULL;;Londesborough Ltd./ Staat: GB;;;;1019
290_1015;Lone Star;0;1;0;NULL;;Lone Star Ordnance/ Staat: USA/ Land: TX;;;;1020
