# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
292;Art der Munition;Art der Munition;ZIR;V1.1;20180331

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
292_1;Betäubungspfeil;0;1;0;NULL;;;;;
292_10;Bombletgranate;0;1;0;NULL;;;;;
292_100;Torpedoheckgeschoss;0;1;0;NULL;;;;;
292_101;Treibspiegelgeschoss;0;1;0;NULL;;;;;
292_102;Vollmantelgeschoss;0;1;0;NULL;;;;;
292_103;Vollmantelhartkerngeschoss;0;1;0;NULL;;;;;
292_104;Vollmantelweichkerngeschoss;0;1;0;NULL;;;;;
292_105;Wadcutter-Geschoss;0;1;0;NULL;;;;;
292_106;Patronenhülse;0;1;0;NULL;;;;;
292_107;Patronentreibmittel;0;1;0;NULL;;;;;
292_108;Patronenzündsatz;0;1;0;NULL;;;;;
292_109;Pistolenpatrone;0;1;0;NULL;;;;;
292_11;Suchzündergranate (SMArt);0;1;0;NULL;;;;;
292_110;Revolverpatrone;0;1;0;NULL;;;;;
292_111;Semi-Wadcutterpatrone;0;1;0;NULL;;;;;
292_112;Signal- / Leuchtpatrone;0;1;0;NULL;;;;;
292_113;Teleskoppatrone;0;1;0;NULL;;;;;
292_114;Wadcutterpatrone;0;1;0;NULL;;;;;
292_115;Zimmerpatrone;0;1;0;NULL;;;;;
292_116;Submunition (Bomblet);0;1;0;NULL;;;;;
292_117;Brandbomblet mit Zünder;0;1;0;NULL;;;;;
292_118;Brandbomblet ohne Zünder;0;1;0;NULL;;;;;
292_119;Explosionsblomblet mit Zünder;0;1;0;NULL;;;;;
292_12;Granatkartusche;0;1;0;NULL;;;;;
292_120;Explosionsblomblet ohne Zünder;0;1;0;NULL;;;;;
292_121;Graphitblomblet mit Zünder;0;1;0;NULL;;;;;
292_122;Graphitblomblet ohne Zünder;0;1;0;NULL;;;;;
292_123;Hohlladungsbomblet mit Zünder;0;1;0;NULL;;;;;
292_124;Hohlladungsbomblet ohne Zünder;0;1;0;NULL;;;;;
292_125;Minenbomblet mit Zünder;0;1;0;NULL;;;;;
292_126;Minenbomblet ohne Zünder;0;1;0;NULL;;;;;
292_127;Splitterbomblet mit Zünder;0;1;0;NULL;;;;;
292_128;Splitterbomblet ohne Zünder;0;1;0;NULL;;;;;
292_129;Submunitionsdispenser;0;1;0;NULL;;;;;
292_13;Granattreibladung;0;1;0;NULL;;;;;
292_14;Hohlladungsgranate;0;1;0;NULL;;;;;
292_15;Leuchtgranate;0;1;0;NULL;;;;;
292_16;Minengranate;0;1;0;NULL;;;;;
292_17;panzerbrechende Granate;0;1;0;NULL;;;;;
292_18;Nebelgranate;0;1;0;NULL;;;;;
292_19;Spreng-Brandgranate;0;1;0;NULL;;;;;
292_2;Blasrohrpfeil;0;1;0;NULL;;;;;
292_20;Sprenggranate;0;1;0;NULL;;;;;
292_21;Übungsgranate;0;1;0;NULL;;;;;
292_22;Gewehrgranate;0;1;0;NULL;;;;;
292_23;Gewehr-Hohlladungsgranate;0;1;0;NULL;;;;;
292_24;Gewehr-Leuchtgranate;0;1;0;NULL;;;;;
292_25;Gewehr-Rauch-/-Nebelgranate;0;1;0;NULL;;;;;
292_26;Gewehr-Splittergranate;0;1;0;NULL;;;;;
292_27;Gewehr-Sprenggranate;0;1;0;NULL;;;;;
292_28;Granatpatrone;0;1;0;NULL;;;;;
292_29;Granatpatronengeschoss;0;1;0;NULL;;;;;
292_3;Bogenwaffengeschoss;0;1;0;NULL;;;;;
292_30;Granatpatronen-Flugabwehrgeschoss;0;1;0;NULL;;;;;
292_31;Granatpatronengeschoss (halb-panzerbrechend / Brandwirkung);0;1;0;NULL;;;;;
292_32;Granatpatronengeschoss (panzerbrechend / brandbeschleunigend);0;1;0;NULL;;;;;
292_33;Granatpatronengeschoss (panzerbrechend / Brandwirkung);0;1;0;NULL;;;;;
292_34;Granatpatronengeschoss (panzerbrechend gegen leichte Panzerung);0;1;0;NULL;;;;;
292_35;Granatpatronengeschoss (unterkalibrig / panzerbrechend);0;1;0;NULL;;;;;
292_36;Granatpatronen-Hartkerngeschoss;0;1;0;NULL;;;;;
292_37;Granatpatronen-Hochgeschwindigkeitsgeschoss;0;1;0;NULL;;;;;
292_38;Granatpatronen-Hohlladungsgeschoss;0;1;0;NULL;;;;;
