# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
293;Art des tragbaren Gegenstands;Art des tragbaren Gegenstands;ZIR;V1.2;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
293_1;Blasrohr;0;1;0;NULL;;;;;
293_10;Flammenwerfer;0;1;0;NULL;;;;;
293_100;Streitkolben;0;1;0;NULL;;;;;
293_101;Totschläger;0;1;0;NULL;;;;;
293_102;Blackjack (Knoten);0;1;0;NULL;;;;;
293_103;Ochsenziemer;0;1;0;NULL;;;;;
293_104;Stahlrute;0;1;0;NULL;;;;;
293_105;Krähenfuß;0;1;0;NULL;;;;;
293_106;Reizstoffsprühgerät;0;1;0;NULL;;;;;
293_107;Schleuderwaffe;0;1;0;NULL;;;;;
293_108;Schleuder;0;1;0;NULL;;;;;
293_109;Zwille;0;1;0;NULL;;;;;
293_11;Handflammpatrone;0;1;0;NULL;;;;;
293_110;Zwille mit Armstütze;0;1;0;NULL;;;;;
293_111;Schutzwaffe;0;1;0;NULL;;;;;
293_112;Stangenwaffe;0;1;0;NULL;;;;;
293_113;Bo;0;1;0;NULL;;;;;
293_114;Brandestoc;0;1;0;NULL;;;;;
293_115;Glefe;0;1;0;NULL;;;;;
293_116;Guan Dao;0;1;0;NULL;;;;;
293_117;Hellebarde;0;1;0;NULL;;;;;
293_118;Kriegsflegel;0;1;0;NULL;;;;;
293_119;Kriegsgabel;0;1;0;NULL;;;;;
293_12;Brandflasche (Molotow-Cocktail);0;1;0;NULL;;;;;
293_120;Kuse;0;1;0;NULL;;;;;
293_121;Lanze;0;1;0;NULL;;;;;
293_122;Luzerner Hammer;0;1;0;NULL;;;;;
293_123;Menschenfänger;0;1;0;NULL;;;;;
293_124;Naginata;0;1;0;NULL;;;;;
293_125;Partisane;0;1;0;NULL;;;;;
293_126;Speer;0;1;0;NULL;;;;;
293_127;Assegai (kurzer Schaft);0;1;0;NULL;;;;;
293_128;Spieß/Pike;0;1;0;NULL;;;;;
293_129;Wurfwaffe;0;1;0;NULL;;;;;
293_13;Elektroimpulswaffe;0;1;0;NULL;;;;;
293_130;Bola;0;1;0;NULL;;;;;
293_131;Bumerang;0;1;0;NULL;;;;;
293_132;Schefflineisen;0;1;0;NULL;;;;;
293_133;Wurfaxt;0;1;0;NULL;;;;;
293_134;Franziska (Waffe);0;1;0;NULL;;;;;
293_135;Tomahawk;0;1;0;NULL;;;;;
293_136;Wurfklinge;0;1;0;NULL;;;;;
293_137;Wurfmesser;0;1;0;NULL;;;;;
293_138;Wurfpfeil;0;1;0;NULL;;;;;
293_139;Wurfspeer;0;1;0;NULL;;;;;
293_14;Elektroimpulswaffe mit deutscher amtlicher Zulassung und Prüfzeichen;0;1;0;NULL;;;;;
293_140;Assegai (langer Schaft);0;1;0;NULL;;;;;
293_141;Pilum;0;1;0;NULL;;;;;
293_142;Wurfstern;0;1;0;NULL;;;;;
293_143;Wurfstock;0;1;0;NULL;;;;;
293_144;Springmesser (seitwärts herausspringende Klinge, Klingenlänge mehr als 8,5 cm);NULL;1;0;NULL;;;;;
293_145;Springmesser (seitwärts herausspringende Klinge, zweiseitig geschliffen);NULL;1;0;NULL;;;;;
293_15;Elektroimpulswaffe ohne deutsche amtliche Zulassung und Prüfzeichen;0;1;0;NULL;;;;;
293_16;Harpune (für Taucher);0;1;0;NULL;;;;;
293_17;Hieb-/Stichwaffe;0;1;0;NULL;;;;;
293_18;Blankwaffe;0;1;0;NULL;;;;;
293_19;Bajonett;0;1;0;NULL;;;;;
293_2;Bogenwaffe;0;1;0;NULL;;;;;
293_20;Klappbajonett;0;1;0;NULL;;;;;
293_21;Messer-Bajonett;0;1;0;NULL;;;;;
293_22;Tüllenbajonett;0;1;0;NULL;;;;;
293_23;Dolch;0;1;0;NULL;;;;;
293_25;Springklingendolch;0;1;0;NULL;;;;;
293_26;Stilett;0;1;0;NULL;;;;;
293_27;Stoßdolch;0;1;0;NULL;;;;;
293_28;Getarnte Blankwaffe;0;1;0;NULL;;;;;
293_29;Geschärfter Fächer;0;1;0;NULL;;;;;
293_3;Armbrust;0;1;0;NULL;;;;;
293_30;Gift-Regenschirm;0;1;0;NULL;;;;;
293_31;Gürtelschnallenmesser;0;1;0;NULL;;;;;
293_32;Kammmesser;0;1;0;NULL;;;;;
293_33;Messer-Kugelschreiber;0;1;0;NULL;;;;;
293_34;Stockdegen;0;1;0;NULL;;;;;
293_35;Kampfgabel;0;1;0;NULL;;;;;
293_36;Jitte (Waffe);0;1;0;NULL;;;;;
293_37;Sai;0;1;0;NULL;;;;;
293_38;Messer;0;1;0;NULL;;;;;
293_39;Aikuchi;0;1;0;NULL;;;;;
293_4;Bogen;0;1;0;NULL;;;;;
293_40;Beimesser;0;1;0;NULL;;;;;
293_41;Bowiemesser;0;1;0;NULL;;;;;
293_42;Buschmesser;0;1;0;NULL;;;;;
293_43;Butterfly-Messer (Balisong);0;1;0;NULL;;;;;
293_44;Einhandmesser;0;1;0;NULL;;;;;
293_45;Fallmesser;0;1;0;NULL;;;;;
293_46;Faschinenmesser;0;1;0;NULL;;;;;
293_47;Faustmesser;0;1;0;NULL;;;;;
293_48;Kampfmesser;0;1;0;NULL;;;;;
293_49;Kukri;0;1;0;NULL;;;;;
293_5;Compoundbogen;0;1;0;NULL;;;;;
293_50;Springmesser;0;1;0;NULL;;;;;
293_51;Springmesser (nach vorne herausspringende Klinge);0;1;0;NULL;;;;;
293_52;Springmesser (seitwärts herausspringende Klinge);0;1;0;NULL;;;;;
293_53;Springmesser (seitwärts herausspringende Klinge, einseitig geschliffen und Klingenlänge bis 8,5 cm);0;1;0;NULL;;;;;
293_55;Tanto;0;1;0;NULL;;;;;
293_56;Taschenmesser;0;1;0;NULL;;;;;
293_57;Säbel/Degen;0;1;0;NULL;;;;;
293_58;Degen;0;1;0;NULL;;;;;
293_59;Florett;0;1;0;NULL;;;;;
293_6;Langbogen;0;1;0;NULL;;;;;
293_60;Korbschläger;0;1;0;NULL;;;;;
293_61;Pallasch;0;1;0;NULL;;;;;
293_62;Rapier;0;1;0;NULL;;;;;
293_63;Schaschka;0;1;0;NULL;;;;;
293_64;Schwert;0;1;0;NULL;;;;;
293_65;Bokuto;0;1;0;NULL;;;;;
293_66;Breitschwert;0;1;0;NULL;;;;;
293_67;Iaito;0;1;0;NULL;;;;;
293_68;Jagdschwert;0;1;0;NULL;;;;;
293_69;Katana;0;1;0;NULL;;;;;
293_7;Reflexbogen;0;1;0;NULL;;;;;
293_70;Kurzschwert;0;1;0;NULL;;;;;
293_71;Langschwert;0;1;0;NULL;;;;;
293_72;Ninja-Schwert;0;1;0;NULL;;;;;
293_73;Shinai;0;1;0;NULL;;;;;
293_74;Wakizashi;0;1;0;NULL;;;;;
293_75;Tigerkralle (Baghnakh);0;1;0;NULL;;;;;
293_76;Schlagwaffe;0;1;0;NULL;;;;;
293_77;Dreistock;0;1;0;NULL;;;;;
293_78;Flegel;0;1;0;NULL;;;;;
293_79;Kampfsichel;0;1;0;NULL;;;;;
293_8;Kyodo-Bogen;0;1;0;NULL;;;;;
293_80;Keule;0;1;0;NULL;;;;;
293_81;Manriki Gusari;0;1;0;NULL;;;;;
293_82;Morgenstern (Waffe);0;1;0;NULL;;;;;
293_83;Nunchaku;0;1;0;NULL;;Hier handelt es sich um ein Würgeholz, das nach seiner Beschaffenheit und Handhabung dazu bestimmt ist, durch Drosseln die Gesundheit zu schädigen.;;;Würgeholz
293_84;Peitsche;0;1;0;NULL;;;;;
293_85;Quarzsandhandschuh;0;1;0;NULL;;;;;
293_86;Schlagring;0;1;0;NULL;;;;;
293_87;Schlagstock;0;1;0;NULL;;;;;
293_88;Hanbo;0;1;0;NULL;;;;;
293_89;Jo;0;1;0;NULL;;;;;
293_9;Brandwaffe;0;1;0;NULL;;;;;
293_90;Rapid Rotation Baton;0;1;0;NULL;;;;;
293_91;Shillelagh (Waffe);0;1;0;NULL;;;;;
293_92;Tambo;0;1;0;NULL;;;;;
293_93;Teleskopschlagstock;0;1;0;NULL;;;;;
293_94;Tonfa;0;1;0;NULL;;;;;
293_95;Streitaxt;0;1;0;NULL;;;;;
293_96;Beil;0;1;0;NULL;;;;;
293_97;Berdysch;0;1;0;NULL;;;;;
293_98;Deutsche Streitaxt;0;1;0;NULL;;;;;
293_99;Streithammer;0;1;0;NULL;;;;;
