# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
295;Kaliber XWaffe;Kaliber XWaffe;ZIR;V1.3;20180331

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;XWaffeCode
295_1;.17MachIV;0;1;0;NULL;;;;;;1
295_10;.22PPC-USA;0;1;0;NULL;;;;;;10
295_100;.33Win;0;1;0;NULL;;;;;;100
295_1000;8mmDormus;0;1;0;NULL;;;;;;1006
295_1001;8mmFrommer;0;1;0;NULL;;;;;;1007
295_1002;8mmGaulois;0;1;0;NULL;;;;;;1008
295_1003;8mmRoth-Krnka;0;1;0;NULL;;;;;;1009
295_1004;8mmRoth;0;1;0;NULL;;;;;;1010
295_1005;8mmKromar;0;1;0;NULL;;;;;;1011
295_1006;8mmLebelRev;0;1;0;NULL;;;;;;1012
295_1007;8mmMerveilleux;0;1;0;NULL;;;;;;1013
295_1008;8mmMieg;0;1;0;NULL;;;;;;1014
295_1009;8mmPieper;0;1;0;NULL;;;;;;1015
295_101;.333Riml NE;0;1;0;NULL;;;;;;101
295_1010;8mmPieperRiml;0;1;0;NULL;;;;;;1016
295_1011;8mmRaphael;0;1;0;NULL;;;;;;1017
295_1012;8mmTröger;0;1;0;NULL;;;;;;1018
295_1013;8mmRieger;0;1;0;NULL;;;;;;1019
295_1014;8mmRothM95;0;1;0;NULL;;;;;;1020
295_1015;8mmSchlegelm;0;1;0;NULL;;;;;;1021
295_1016;8mmSchönberger;0;1;0;NULL;;;;;;1022
295_1017;8mmSchuloff;0;1;0;NULL;;;;;;1023
295_1018;8mmSchwarzlose;0;1;0;NULL;;;;;;1024
295_1019;8mmSunngard;0;1;0;NULL;;;;;;1025
295_102;.338A-Square;0;1;0;NULL;;;;;;102
295_1020;8mmSuter;0;1;0;NULL;;;;;;1026
295_1021;8mmTribuzio;0;1;0;NULL;;;;;;1027
295_1022;8mmTueTue;0;1;0;NULL;;;;;;1028
295_1023;8mmRibeyrolle;0;1;0;NULL;;;;;;1029
295_1024;8mmUltra;0;1;0;NULL;;;;;;1030
295_1025;8x30R Tesching;0;1;0;NULL;;;;;;1031
295_1026;8x30R Teschg-T;0;1;0;NULL;;;;;;1032
295_1027;8x37R;0;1;0;NULL;;;;;;1033
295_1028;8x38R Tesching;0;1;0;NULL;;;;;;1034
295_1029;8x42R M88D;0;1;0;NULL;;;;;;1035
295_103;.338LapuaMag;0;1;0;NULL;;;;;;103
295_1030;8x42R Stahl;0;1;0;NULL;;;;;;1036
295_1031;8x45R Expr;0;1;0;NULL;;;;;;1037
295_1032;8x47R Roth;0;1;0;NULL;;;;;;1038
295_1033;8x47R Stahl;0;1;0;NULL;;;;;;1039
295_1034;8x50R Sauer;0;1;0;NULL;;;;;;1040
295_1035;8x50R Expr;0;1;0;NULL;;;;;;1041
295_1036;8x50R Siam;0;1;0;NULL;;;;;;1042
295_1037;8x51R Mauser;0;1;0;NULL;;;;;;1043
295_1038;8x52Rival;0;1;0;NULL;;;;;;1044
295_1039;8x52R;0;1;0;NULL;;;;;;1045
295_104;.338WinMag;0;1;0;NULL;;;;;;104
295_1040;8x53R Murata;0;1;0;NULL;;;;;;1046
295_1041;8x55Krag;0;1;0;NULL;;;;;;1047
295_1042;8x56R Krop;0;1;0;NULL;;;;;;1048
295_1043;8x57R/360HagenExpress;0;1;0;NULL;;;;;;1049
295_1044;8x57R Mauser;0;1;0;NULL;;;;;;1050
295_1045;8x57R;0;1;0;NULL;;;;;;1051
295_1046;8x57R Schwarzlose;0;1;0;NULL;;;;;;1052
295_1047;8x58R Collath;0;1;0;NULL;;;;;;1053
295_1048;8x58R Krag;0;1;0;NULL;;;;;;1054
295_1049;8x59Breda;0;1;0;NULL;;;;;;1055
295_105;.340WeathMag;0;1;0;NULL;;;;;;105
295_1050;8x59R Dreyse;0;1;0;NULL;;;;;;1056
295_1051;8x59R Peterlongo;0;1;0;NULL;;;;;;1057
295_1052;8x60R Rieger;0;1;0;NULL;;;;;;1058
295_1053;8x60R;0;1;0;NULL;;;;;;1060
295_1054;8x61Norweg;0;1;0;NULL;;;;;;1063
295_1055;8x62R Vierordt;0;1;0;NULL;;;;;;1064
295_1056;8mmJDJ;0;1;0;NULL;;;;;;1065
295_1057;8mm-06;0;1;0;NULL;;;;;;1066
295_1058;8x65R Vierordt;0;1;0;NULL;;;;;;1067
295_1059;8x66Kocetov;0;1;0;NULL;;;;;;1068
295_106;.348Win;0;1;0;NULL;;;;;;106
295_1060;8x68RS;0;1;0;NULL;;;;;;1069
295_1061;8x69Peterlongo;0;1;0;NULL;;;;;;1070
295_1062;8x71Stendebach;0;1;0;NULL;;;;;;1071
295_1063;8x71Peterlongo;0;1;0;NULL;;;;;;1072
295_1064;8x72R Sauer;0;1;0;NULL;;;;;;1073
295_1065;8x72R Collath;0;1;0;NULL;;;;;;1074
295_1066;8x73Miller&Greiss;0;1;0;NULL;;;;;;1075
295_1067;8x75;0;1;0;NULL;;;;;;1076
295_1068;8x75R;0;1;0;NULL;;;;;;1077
295_1069;8mmMaroszek;0;1;0;NULL;;;;;;1078
295_107;.35RKnall;0;1;0;NULL;;;;;;107
295_1070;8,15x40RB;0;1;0;NULL;;;;;;1079
295_1071;8,15x40R;0;1;0;NULL;;;;;;1080
295_1072;8,15x40R Tesching;0;1;0;NULL;;;;;;1081
295_1073;8,15x50R;0;1;0;NULL;;;;;;1082
295_1074;8,2x24Roth;0;1;0;NULL;;;;;;1083
295_1075;8,2x45Krnka;0;1;0;NULL;;;;;;1084
295_1076;8,2x50,5R Alder;0;1;0;NULL;;;;;;1085
295_1077;8,2x52;0;1;0;NULL;;;;;;1086
295_1078;8,2x54R;0;1;0;NULL;;;;;;1087
295_1079;8,2x55R Roth;0;1;0;NULL;;;;;;1088
