# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
296;Status der Schusswaffe;Status der Schusswaffe;ZIR;V2.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
296_1;Bearbeitung (allgemein);0;1;0;NULL;;;;;
296_10;Bearbeitung aus Salutwaffe;NULL;1;0;NULL;;;;;
296_11;Bearbeitung aus Flobertwaffe;NULL;1;0;NULL;;;;;
296_12;Bearbeitung aus Perkussionswaffe;NULL;1;0;NULL;;;;;
296_4;Herstellung / Eigenbau;NULL;1;0;NULL;;;;;
296_5;Herstellung aus Nachbildung;NULL;1;0;NULL;;;;;
296_6;Deaktivierung unzureichend;NULL;1;0;NULL;;;;;
296_7;Bearbeitung aus SRS-Waffe;NULL;1;0;NULL;;;;;
296_8;Bearbeitung aus sonstiger erlaubnisfreier Schusswaffe;NULL;1;0;NULL;;;;;
296_9;Bearbeitung aus dauerhaft unbrauchbar gemachter ehemals scharfer Schusswaffe (Dekowaffe);NULL;1;0;NULL;;;;;
