# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
299;Art der Massenvernichtungswaffe;Art der Massenvernichtungswaffe;ZIR;V1.2;20171127

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
299_1;atomare Waffe;0;1;0;NULL;;;;;
299_10;Genetisch modifizierte Mikroorganismen gem. Kriegswaffenliste Teil A 1) II. 3.4;0;1;0;NULL;;;;;
299_100;QL;0;1;0;NULL;;;;;
299_101;Einrichtung, Gerät, Baugruppe oder Teil zur Verwendung chem. Kampfstoffe für militärische Zwecke als Waffe;0;1;0;NULL;;;;;
299_102;toxische Chemikalie;0;1;0;NULL;;;;;
299_103;BZ;0;1;0;NULL;;;;;
299_104;Lewisit;0;1;0;NULL;;;;;
299_105;Lewisit 1;0;1;0;NULL;;;;;
299_106;Lewisit 2;0;1;0;NULL;;;;;
299_107;Lewisit 3;0;1;0;NULL;;;;;
299_108;Sarin;0;1;0;NULL;;;;;
299_109;Schwefellost;0;1;0;NULL;;;;;
299_110;Senfgas;0;1;0;NULL;;;;;
299_111;Sesqui-Yperit (Q);0;1;0;NULL;;;;;
299_112;O-Lost;0;1;0;NULL;;;;;
299_113;Soman;0;1;0;NULL;;;;;
299_114;Sticklost;0;1;0;NULL;;;;;
299_115;HN1;0;1;0;NULL;;;;;
299_116;HN2;0;1;0;NULL;;;;;
299_117;HN3;0;1;0;NULL;;;;;
299_118;VX;0;1;0;NULL;;;;;
299_119;Arsenwasserstoff;0;1;0;NULL;;;;;
299_120;Blausäure (AC);0;1;0;NULL;;;;;
299_121;Chlorcyan (CK);0;1;0;NULL;;;;;
299_122;Chlorpikrin;0;1;0;NULL;PS;;;;
299_123;Diphosgen;0;1;0;NULL;;;;;
299_124;Phosgen;0;1;0;NULL;CG;;;;
299_125;Phosgenoxim;0;1;0;NULL;CX;;;;
299_126;Blutkampfstoff;0;1;0;NULL;;;;;
299_127;Hautkampfstoff;0;1;0;NULL;;;;;
299_128;Lungenkampfstoff;0;1;0;NULL;;;;;
299_129;Nervenkampfstoff;0;1;0;NULL;;;;;
299_13;Bacillus anthracis;0;1;0;NULL;;;;;
299_130;Nesselstoff;0;1;0;NULL;;;;;
299_131;Psychokampfstoff;0;1;0;NULL;;;;;
299_132;Americium;0;1;0;NULL;;;;;
299_133;Barium;0;1;0;NULL;;;;;
299_134;Beryllium;0;1;0;NULL;;;;;
299_135;Bismut;0;1;0;NULL;;;;;
299_136;Cadmium;0;1;0;NULL;;;;;
299_137;Cäsium;0;1;0;NULL;;;;;
299_138;Eisen 55;0;1;0;NULL;;;;;
299_139;Europium;0;1;0;NULL;;;;;
299_14;Brucella abortus;0;1;0;NULL;;;;;
299_140;Germanium;0;1;0;NULL;;;;;
299_141;Hafnium;0;1;0;NULL;;;;;
299_142;Indium;0;1;0;NULL;;;;;
299_143;Iridium;0;1;0;NULL;;;;;
299_144;Jod;0;1;0;NULL;;;;;
299_145;Kobalt;0;1;0;NULL;;;;;
299_146;Kohlenstoff;0;1;0;NULL;;;;;
299_147;Krypton;0;1;0;NULL;;;;;
299_148;Molybdän;0;1;0;NULL;;;;;
299_149;Natrium;0;1;0;NULL;;;;;
299_15;Brucella melitensis;0;1;0;NULL;;;;;
299_150;Nickel;0;1;0;NULL;;;;;
299_151;Osmium;0;1;0;NULL;;;;;
299_152;Palladium;0;1;0;NULL;;;;;
299_153;Phosphor;0;1;0;NULL;;;;;
299_154;Promethium;0;1;0;NULL;;;;;
299_155;Quecksilber;0;1;0;NULL;;;;;
299_156;Radium;0;1;0;NULL;;;;;
299_157;Rhodium;0;1;0;NULL;;;;;
299_158;Rubidium;0;1;0;NULL;;;;;
299_159;Ruthenium;0;1;0;NULL;;;;;
299_16;Brucella suis;0;1;0;NULL;;;;;
299_160;Selen;0;1;0;NULL;;;;;
299_161;Silicium;0;1;0;NULL;;;;;
299_162;Strontium;0;1;0;NULL;;;;;
299_163;Tantal;0;1;0;NULL;;;;;
299_164;Technetium;0;1;0;NULL;;;;;
299_165;Thalium;0;1;0;NULL;;;;;
299_166;Thorium;0;1;0;NULL;;;;;
299_167;Titan;0;1;0;NULL;;;;;
299_168;Tritum;0;1;0;NULL;;;;;
299_169;Wolfram 178;0;1;0;NULL;;;;;
299_17;Burkholderia mallei;0;1;0;NULL;;;;;
299_170;Ytterbium;0;1;0;NULL;;;;;
299_171;Yttrium;0;1;0;NULL;;;;;
299_172;Zink 64;0;1;0;NULL;;;;;
299_173;Zirkonium;0;1;0;NULL;;;;;
299_174;Virus;0;1;0;NULL;;;;;
299_175;Bakterium;0;1;0;NULL;;;;;
299_176;Toxin;0;1;0;NULL;;;;;
299_177;Pilz;0;1;0;NULL;;;;;
299_178;Abrin;0;1;0;NULL;;;;;
299_179;T2-Mykotoxine;0;1;0;NULL;;;;;
299_18;Burkholderia pseudomallei;0;1;0;NULL;;;;;
299_19;Chlamydia psittaci;0;1;0;NULL;;;;;
299_2;Atomwaffenteil / -vorrichtung / -Baugruppe (ohne waffenfähigen Kernbrennstoff);0;1;0;NULL;;;;;
299_20;Clostridium botulinum;0;1;0;NULL;;;;;
299_21;Francisella tularensis;0;1;0;NULL;;;;;
299_22;Rickettsien;0;1;0;NULL;;;;;
299_23;Bartonella quintana;0;1;0;NULL;;;;;
299_24;Coxiella burnetii;0;1;0;NULL;;;;;
299_25;Rickettsia prowazekii;0;1;0;NULL;;;;;
299_26;Rickettsia rickettsii;0;1;0;NULL;;;;;
299_27;Salmonella typhi;0;1;0;NULL;;;;;
299_28;Shigella dysenteriae;0;1;0;NULL;;;;;
299_29;Vibrio cholerae;0;1;0;NULL;;;;;
299_3;Kernbrennstoff (waffenfähig);0;1;0;NULL;;;;;
299_30;Yersinia pestis;0;1;0;NULL;;;;;
299_32;Clostridium-botulinum-Toxine;0;1;0;NULL;;;;;
299_33;Clostridium-perfringens-Toxine;0;1;0;NULL;;;;;
299_34;Conotoxin;0;1;0;NULL;;;;;
299_35;Microxystin (Cyanoginosin);0;1;0;NULL;;;;;
299_36;Ricin;0;1;0;NULL;;;;;
299_37;Saxitoxin;0;1;0;NULL;;;;;
299_38;Shiga-Toxin;0;1;0;NULL;;;;;
299_39;Staphylococcus-aureus-Toxin;0;1;0;NULL;;;;;
299_4;Plutonium;0;1;0;NULL;;;;;
