# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
300;Art der Spreng- / Brandvorrichtung;Art der Spreng- / Brandvorrichtung;ZIR;V1.1;20171127

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
300_1;Bombe;0;1;0;NULL;;;;;
300_10;Roll- / Rotationsbombe;0;1;0;NULL;;;;;
300_100;Torpedo;0;1;0;NULL;;;;;
300_101;Rumpftorpedo (ohne Gefechtskopf, Sprengstoffteil, Zielsuchkopf);0;1;0;NULL;;;;;
300_102;Torpedo ohne Gefechtskopf;0;1;0;NULL;;;;;
300_103;Torpedogefechtskopf;0;1;0;NULL;;;;;
300_104;Torpedozielsuchkopf;0;1;0;NULL;;;;;
300_105;F1;0;1;0;NULL;;;;;
300_106;F2;0;1;0;NULL;;;;;
300_107;F3;0;1;0;NULL;;;;;
300_108;F4;0;1;0;NULL;;;;;
300_109;pyrotechnischer Gegenstand für Bühne und Theater;0;1;0;NULL;;;;;
300_11;Splitterbombe;0;1;0;NULL;;;;;
300_110;T1;0;1;0;NULL;;;;;
300_111;T2;0;1;0;NULL;;;;;
300_112;sonstiger pyrotechnischer Gegenstand;0;1;0;NULL;;;;;
300_113;P1;0;1;0;NULL;;;;;
300_114;P2;0;1;0;NULL;;;;;
300_115;nicht konformer pyrotechnischer Gegenstand;0;1;0;NULL;;;;;
300_12;Sprengbombe;0;1;0;NULL;;;;;
300_13;Wasserbombe;0;1;0;NULL;;;;;
300_14;Feuerwerkskörper;0;1;0;NULL;;;;;
300_17;Flugkörper;0;1;0;NULL;;;;;
300_18;Flugkörperbaugruppe;0;1;0;NULL;;;;;
300_19;Flugkörpergefechtskopf;0;1;0;NULL;;;;;
300_2;Fliegerbombe;0;1;0;NULL;;;;;
300_20;Flugkörpertriebwerk;0;1;0;NULL;;;;;
300_21;Lenkflugkörper;0;1;0;NULL;;;;;
300_22;Fliegerfaustrakete;0;1;0;NULL;;;;;
300_23;Marschflugkörper;0;1;0;NULL;;;;;
300_24;Panzerabwehrlenkrakete;0;1;0;NULL;;;;;
300_25;ungelenkter Flugkörper;0;1;0;NULL;;;;;
300_26;Panzerfaustrakete;0;1;0;NULL;;;;;
300_27;Haft- / Hohlladung (militärisch);0;1;0;NULL;;;;;
300_28;Handgranate;0;1;0;NULL;;;;;
300_29;Blendhandgranate;0;1;0;NULL;;;;;
300_3;Aerosolbombe;0;1;0;NULL;;;;;
300_30;Panzerabwehrhandgranate;0;1;0;NULL;;;;;
300_31;Rauch- / Nebelhandgranate;0;1;0;NULL;;;;;
300_32;Splitterhandgranate;0;1;0;NULL;;;;;
300_33;Sprenghandgranate;0;1;0;NULL;;;;;
300_34;Übungshandgranate;0;1;0;NULL;;;;;
300_35;Mine;0;1;0;NULL;;;;;
300_36;Landmine;0;1;0;NULL;;;;;
300_37;Antifahrzeugmine;0;1;0;NULL;;;;;
300_38;Antifahrzeugrichtmine;0;1;0;NULL;;;;;
300_39;projektilbildende Mine;0;1;0;NULL;;;;;
300_4;Bombe mit Submunition (Streubombe);0;1;0;NULL;;;;;
300_40;Richtmine mit Hohlladung;0;1;0;NULL;;;;;
300_41;Land-Haftmine;0;1;0;NULL;;;;;
300_42;Sprengmine;0;1;0;NULL;;;;;
300_43;Schützenabwehrmine;0;1;0;NULL;;;;;
300_44;Druckmine;0;1;0;NULL;;;;;
300_45;Schützenabwehrrichtmine;0;1;0;NULL;;;;;
300_46;Splitterrichtmine;0;1;0;NULL;;;;;
300_47;Springmine;0;1;0;NULL;;;;;
300_48;Stockmine;0;1;0;NULL;;;;;
300_49;Minengeschoss;0;1;0;NULL;;;;;
300_5;Brandbombe;0;1;0;NULL;;;;;
300_50;Minenspreng- / -treibladung;0;1;0;NULL;;;;;
300_51;Seemine;0;1;0;NULL;;;;;
300_52;Ankertaumine;0;1;0;NULL;;;;;
300_53;Grundmine;0;1;0;NULL;;;;;
300_54;Seehaftmine;0;1;0;NULL;;;;;
300_55;Treibmine;0;1;0;NULL;;;;;
300_56;Sprengschnur;0;1;0;NULL;;;;;
300_57;sprengtechnisches Minenräummittel;0;1;0;NULL;;;;;
300_58;Sprengzubehör;0;1;0;NULL;;;;;
300_59;Isolierhülse (Sprengtechnik);0;1;0;NULL;;;;;
