# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
304;Tatbestandsmerkmal einer Straftat;Tatbestandsmerkmal einer Straftat;ZIR;V1.6;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
304_1;Abschließen eines Auslandsgeschäftes;0;1;0;NULL;;;;;
304_10;Einführen;0;1;0;NULL;;Waren / Gegenstände importieren;;;
304_100;sich eines Menschen bemächtigen;0;1;0;NULL;;;;;
304_101;sonstige niedrige Beweggründe;0;1;0;NULL;;;;;
304_102;Verabreichen;0;1;0;NULL;;;;;
304_103;Veräußern;0;1;0;NULL;;;;;
304_104;Verbreiten;0;1;0;NULL;;;;;
304_105;Verdeckungsabsicht;0;1;0;NULL;;;;;
304_106;Vergiften;0;1;0;NULL;;;;;
304_107;Verhindern;0;1;0;NULL;;;;;
304_108;Verkaufen;0;1;0;NULL;;;;;
304_109;Verleiten;0;1;0;NULL;;;;;
304_11;Einsetzen;0;1;0;NULL;;;;;
304_110;Vernachlässigen;0;1;0;NULL;;;;;
304_111;Verschaffen;0;1;0;NULL;;;;;
304_112;Verschreiben;0;1;0;NULL;;;;;
304_113;Verursachen der Gefahr des Todes;0;1;0;NULL;;;;;
304_114;Verursachen der Gefahr einer erheblichen Schädigung der Entwicklung;0;1;0;NULL;;;;;
304_115;Verursachen der Gefahr einer schweren Gesundheitsschädigung;0;1;0;NULL;;;;;
304_116;Verursachen des Todes;0;1;0;NULL;;;;;
304_117;Verursachen einer Gesundheitsschädigung einer großen Zahl von Menschen;0;1;0;NULL;;;;;
304_118;Verursachen einer schweren Gesundheitsschädigung;0;1;0;NULL;;;;;
304_119;Verursachen einer schweren Körperverletzung;0;1;0;NULL;;;;;
304_12;Entwickeln;0;1;0;NULL;;;;;
304_120;Verwahren;0;1;0;NULL;;;;;
304_121;Verwendung einer Waffe;0;1;0;NULL;;;;;
304_122;Verwendung eines gefährlichen Werkzeugs;0;1;0;NULL;;;;;
304_123;Vornahme eines gefährlichen Eingriffs;0;1;0;NULL;;;;;
304_124;Vornahme sonstiger Machenschaften;0;1;0;NULL;;;;;
304_125;Vorrätighalten;0;1;0;NULL;;;;;
304_126;Werben;0;1;0;NULL;;;;;
304_127;Zerstören;0;1;0;NULL;;;;;
304_128;Zugänglichmachen;0;1;0;NULL;;;;;
304_129;Absetzen;0;1;0;NULL;;;;;
304_13;Erwerb;0;1;0;NULL;;;;;
304_130;Ankaufen;0;1;0;NULL;;;;;
304_131;Anwendung technischer Mittel;0;1;0;NULL;;;;;
304_132;Ausnutzen der Hilflosigkeit einer anderen Person;0;1;0;NULL;;;;;
304_133;Ausnutzen einer gemeinen Gefahr;0;1;0;NULL;;;;;
304_134;Ausnutzen eines Unglücksfalls;0;1;0;NULL;;;;;
304_135;Beeinflussen des Ergebnisses eines Datenverarbeitungsvorgangs;0;1;0;NULL;;;;;
304_136;Beeinträchtigen;0;1;0;NULL;;;;;
304_137;Bereichern;0;1;0;NULL;;;;;
304_138;Bewirken;0;1;0;NULL;;;;;
304_139;Drohung mit einem empfindlichen Übel;0;1;0;NULL;;;;;
304_14;Fördern;0;1;0;NULL;;;;;
304_140;Einbrechen;0;1;0;NULL;;;;;
304_141;Eindringen;0;1;0;NULL;;;;;
304_142;Eingeben;0;1;0;NULL;;;;;
304_143;Einsteigen;0;1;0;NULL;;;;;
304_144;Entstellung wahrer Tatsachen;0;1;0;NULL;;;;;
304_145;erhebliche Störung einer Datenverarbeitung;0;1;0;NULL;;;;;
304_146;Erregen eines Irrtums;0;1;0;NULL;;;;;
304_147;falsch setzen;0;1;0;NULL;;;;;
304_148;falsche Beurkundung;0;1;0;NULL;;;;;
304_149;falsche Eingabe;0;1;0;NULL;;;;;
304_15;Führen;0;1;0;NULL;;;;;
304_150;falscher Eintrag;0;1;0;NULL;;;;;
304_151;fälschliche Beeinflussung einer Datenverarbeitung;0;1;0;NULL;;;;;
304_152;Gebrauchen;0;1;0;NULL;;;;;
304_153;Herbeiführen eines Vermögensverlustes großen Ausmaßes;0;1;0;NULL;;;;;
304_154;Hilfe zum Absetzen;0;1;0;NULL;;;;;
304_155;Löschen;0;1;0;NULL;;;;;
304_157;Missbrauch von Befugnissen;0;1;0;NULL;;;;;
304_158;Nötigen zu einer Handlung, Duldung oder Unterlassung;0;1;0;NULL;;;;;
304_159;Programmmanipulation;0;1;0;NULL;;;;;
304_16;Gefährden von Leib / Leben / Gesundheit;0;1;0;NULL;;;;;
304_160;Schädigen;0;1;0;NULL;;;;;
304_161;Stehlen;0;1;0;NULL;;;;;
304_162;Übermitteln;0;1;0;NULL;;;;;
304_163;unbefugte Einwirkung auf Ablauf;0;1;0;NULL;;;;;
304_164;unbefugte Verwendung von Daten;0;1;0;NULL;;;;;
