# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
307;Art des explosionsgefährlichen Stoffes;Art des explosionsgefährlichen Stoffes;ZIR;V1.1;20160118

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;UN-Nr.
307_1;Sprengstoff (BAM-Liste II 3.41 / 5.10.2009, Anlage II);0;1;0;NULL;;;;;;
307_10;Stoffgruppe B;0;1;0;NULL;;;;;;
307_100;Sprengniete;0;1;0;NULL;;;;;;0174
307_101;Sprengschnur, biegsam;0;1;0;NULL;;;;;;0065, 0289
307_102;Sprengschnur mit geringer Wirkung, mit Metallmantel;0;1;0;NULL;;;;;;0104
307_103;Sprengschnur mit Metallmantel;0;1;0;NULL;;;;;;0102, 0290
307_104;Sprengstoff Typ A;0;1;0;NULL;;;;;;0081
307_105;Sprengstoff Typ B;0;1;0;NULL;;;;;;0082, 0331
307_106;Sprengstoff Typ C;0;1;0;NULL;;;;;;0083
307_107;Sprengstoff Typ D;0;1;0;NULL;;;;;;0084
307_108;Sprengstoff Typ E;0;1;0;NULL;;;;;;0241, 0332
307_11;1,3-Dimethyl-5-tert. butyl-2,4,6-trinitrobenzol;0;1;0;NULL;;;;;;
307_110;Tetranitroanilin;0;1;0;NULL;;;;;;0207
307_111;Treibladungspulver;0;1;0;NULL;;;;;;0160, 0161
307_112;Treibstoff, flüssig (UN-Nr. 0495);0;1;0;NULL;;;;;;0495
307_113;Trinitroanilin (Pikramid);0;1;0;NULL;;;;;;0153
307_114;Trinitroanisol;0;1;0;NULL;;;;;;0213
307_115;Trinitrobenzoesäure;0;1;0;NULL;;;;;;0215
307_116;Trinitrobenzol;0;1;0;NULL;;;;;;0214
307_117;Trinitrobenzolsulfonsäure;0;1;0;NULL;;;;;;0386
307_118;Trinitrochlorbenzol (Pikrylchlorid);0;1;0;NULL;;;;;;0155
307_119;Trinitrofluorenon;0;1;0;NULL;;;;;;0387
307_12;Benzol-1,3-disulfohydrazid;0;1;0;NULL;;;;;;
307_120;Trinitrometakresol;0;1;0;NULL;;;;;;0216
307_121;Trinitronaphthalin;0;1;0;NULL;;;;;;0217
307_122;Trinitrophenetol;0;1;0;NULL;;;;;;0218
307_123;Trinitrophenol (Pikrinsäure), trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser;0;1;0;NULL;;;;;;0154
307_124;Trinitrophenylmethylnitramin (Tetryl);0;1;0;NULL;;;;;;0208
