# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
310;SEPA Purpose Code;SEPA Purpose Code;ZIR;V1.0;20160118

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
310_1;ACCT;0;1;0;NULL;;Kontoverwaltung (Account Management);;;
310_10;ANTS;0;1;0;NULL;;Anästhesiedienstleistung (Anesthesia Services);;;
310_100;LICF;0;1;0;NULL;;Lizenzgebühr (License Fee);;;
310_101;LIFI;0;1;0;NULL;;Lebensversicherung (Life Insurance);;;
310_102;LIMA;0;1;0;NULL;;Liquiditätsmanagement (Liquidity Management);;;
310_103;LOAN;0;1;0;NULL;;Darlehen (Loan);;;
310_104;LOAR;0;1;0;NULL;;Darlehensrückzahlung (Loan Repayment);;;
310_105;LTCF;0;1;0;NULL;;Langzeitpflege (Long Term Care Facility);;;
310_106;MDCS;0;1;0;NULL;;medizinische Dienstleistungen (Medical Services);;;
310_107;MSVC;0;1;0;NULL;;unterschiedliche Dienstleistungen (Multiple Service Types);;;
310_108;MTUP;0;1;0;NULL;;Prepaid-Handy aufladen (Mobile Top Up);;;
310_109;NETT;0;1;0;NULL;;Spitzenausgleich (Netting);;;
310_11;AREN;0;1;0;NULL;;Forderungseingang (Accounts Receivables Entry);;;
310_110;NITX;0;1;0;NULL;;Nettoeinkommenssteuer (Net Income Tax);;;
310_111;NOWS;0;1;0;NULL;;nicht näher spezifiziert (Not Otherwise Specified);;;
310_112;NWCH;0;1;0;NULL;;Netzwerkgebühr (Network Charge);;;
310_113;NWCM;0;1;0;NULL;;Netzwerkkommunikation (Network Communication);;;
310_114;OFEE;0;1;0;NULL;;Eröffnungsgebühr (Opening Fee);;;
310_115;OTHR;0;1;0;NULL;;sonstige (Other);;;
310_116;OTLC;0;1;0;NULL;;sonstige Telekomrechnung (Other Telecom Related Bill);;;
310_117;PADD;0;1;0;NULL;;authorisierte Lastschrift (Preauthorized debit);;;
310_118;PAYR;0;1;0;NULL;;Gehaltsabrechnung (Payroll);;;
310_119;PENO;0;1;0;NULL;;Zahlung basiert auf einem Vollstreckungsbefehl (Payment Based On Enforcement Order);;;
310_12;BBSC;0;1;0;NULL;;Baby Bonus (Baby Bonus Scheme);;;
310_120;PENS;0;1;0;NULL;;Renten- / Pensionszahlung (Pension Payment);;;
310_121;PHON;0;1;0;NULL;;Telefonrechnung (Telephone Bill);;;
310_122;POPE;0;1;0;NULL;;Zahlung am Einkaufsort (Point of Purchase Entry);;;
310_123;PPTI;0;1;0;NULL;;Sach- / Hausratversicherung (Property Insurance);;;
310_124;PRCP;0;1;0;NULL;;Preiszahlung (Price Payment);;;
310_125;PRME;0;1;0;NULL;;Edelmetall (Precious Metal);;;
310_126;PTSP;0;1;0;NULL;;Zahlungsbedingungen (Payment Terms);;;
310_127;PTXP;0;1;0;NULL;;Vermögenssteuer (Property Tax);;;
310_128;RCKE;0;1;0;NULL;;wiedervorgelegte Scheckzahlung (Re-presented Check Entry);;;
310_129;RCPT;0;1;0;NULL;;erhaltene Zahlung (Receipt Payment);;;
310_13;BECH;0;1;0;NULL;;Kindergeld (Child Benefit);;;
310_130;RDTX;0;1;0;NULL;;Kraftfahrzeugsteuer (Road Tax);;;
310_131;REBT;0;1;0;NULL;;Rabatt (Rebate);;;
310_132;REFU;0;1;0;NULL;;Rückerstattung / -zahlung (Refund);;;
310_133;RENT;0;1;0;NULL;;Miete / Pacht (Rent);;;
310_134;RHBS;0;1;0;NULL;;Rehabilitationsunterstützung (Rehabilitation Support);;;
310_135;RIMB;0;1;0;NULL;;Rückerstattung einer früheren fehlerhaften Transaktion (Reimbursement of a previous erroneous transaction);;;
310_136;RINP;0;1;0;NULL;;wiederkehrende Abschlags- / Ratenzahlung (Recurring Installment Payment);;;
310_137;RLWY;0;1;0;NULL;;Eisenbahn (Railway);;;
310_138;ROYA;0;1;0;NULL;;Tantieme (Royalties);;;
310_139;SALA;0;1;0;NULL;;Gehaltszahlung (Salary Payment);;;
310_14;BENE;0;1;0;NULL;;Arbeitslosengeld / Unterstützungsleistung bei Erwerbslosigkeit (Unemployment Disability Benefit);;;
310_140;SAVG;0;1;0;NULL;;Spareinlagen (Savings);;;
