# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
314;Motiv einer Straftat;Motiv einer Straftat;ZIR;V1.2;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
314_1;Auftrag;0;1;0;NULL;;;;;
314_10;Satanistisches / okkultes oder vermeintlich religiöses Motiv;0;1;0;NULL;;;;;
314_11;Partnerschaftskonflikt / familiärer Konflikt;0;1;0;NULL;;;;;
314_12;Streitgeschehen / Auseinandersetzung;0;1;0;NULL;;;;;
314_13;Politischer Hintergrund / Fremdenhass;0;1;0;NULL;;;;;
314_14;Geltungssucht / Narzissmus;0;1;0;NULL;;;;;
314_15;Wut / Ärger;0;1;0;NULL;;;;;
314_16;Finanzielles Motiv;0;1;0;NULL;;Beschaffungskriminalität;;;
314_17;Erlangung von Betäubungsmitteln;NULL;1;0;NULL;;;;;
314_2;Verdeckung / Verdunklung einer Straftat;0;1;0;NULL;;;;;
314_3;Bereicherung;0;1;0;NULL;;;;;
314_4;Sexuelles Motiv;0;1;0;NULL;;;;;
314_5;Nicht erklärbare Gewalt / unmotivierte Gewalt / Sadismus;0;1;0;NULL;;;;;
314_6;Ehrbezogenes Motiv;0;1;0;NULL;;Ehrenmord;;;
314_7;Rache / Eifersucht;0;1;0;NULL;;;;;
314_8;Blutrache;0;1;0;NULL;;;;;
314_9;Amok;0;1;0;NULL;;;;;
