# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
318;Opfertypus / Tätertypus;Opfertypus / Tätertypus;ZIR;V1.1;20181019

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
318_1;ausländisches Aussehen / Erscheinungsbild;0;1;0;NULL;;;;;
318_10;Rotlichtmilieu;0;1;0;NULL;;;;;
318_11;homosexuelles Milieu;0;1;0;NULL;;;;;
318_12;Zockermilieu;0;1;0;NULL;;;;;
318_13;Amtsträger;0;1;0;NULL;;;;;
318_14;Polizei;0;1;0;NULL;;;;;
318_15;Feuerwehr;0;1;0;NULL;;;;;
318_16;Hilfsdienst;0;1;0;NULL;;;;;
318_17;Soldat;0;1;0;NULL;;;;;
318_18;Wach- und Sicherheitspersonal;0;1;0;NULL;;;;;
318_19;sonstiger Beschäftigter / Personal;0;1;0;NULL;;;;;
318_2;Asylbewerber / Asylberechtigter / Flüchtling;0;1;0;NULL;;;;;
318_20;medizinisches Personal;0;1;0;NULL;;;;;
318_21;Prostituierte;0;1;0;NULL;;;;;
318_22;Sexworker;0;1;0;NULL;;;;;
318_23;Person des öffentlichen Lebens;0;1;0;NULL;;;;;
318_24;Reisender / Tourist;0;1;0;NULL;;;;;
318_25;Jugendlicher;0;1;0;NULL;;14 bis 17 Jahre;;;
318_26;Heranwachsender;0;1;0;NULL;;18 bis 21 Jahre;;;
318_27;Zuhälter;0;1;0;NULL;;;;;
318_28;Loverboy;0;1;0;NULL;;;;;
318_3;hilflose oder behinderte Person;0;1;0;NULL;;;;;
318_4;ältere Person;0;1;0;NULL;;ab 70 Jahre;;;
318_5;Patient / Schutzbefohlener;0;1;0;NULL;;;;;
318_6;Kind;0;1;0;NULL;;;;;
318_7;Milieuperson;0;1;0;NULL;;;;;
318_8;Drogenmilieu;0;1;0;NULL;;;;;
318_9;Obdachlosenmilieu;0;1;0;NULL;;;;;
