# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
326;Art der verbotenen Substanz;Art der verbotenen Substanz;ZIR;V1.2;20210804

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
326_1;S0 nicht zugelassene Substanzen;0;1;0;NULL;S0;;;;
326_10;1-Testosteron;0;1;0;NULL;;;;;
326_100;Stamulumab;0;1;0;NULL;;;;;
326_101;Stanozolol;0;1;0;NULL;;;;;
326_102;Stenbolon;0;1;0;NULL;;;;;
326_103;Stoffwechsel-Modulatoren;0;1;0;NULL;;;;;
326_104;Tamoxifen;0;1;0;NULL;;;;;
326_105;Testolacton;0;1;0;NULL;;;;;
326_106;Testosteron;0;1;0;NULL;;;;;
326_107;Tetracosactid;0;1;0;NULL;;;;;
326_108;Tetrahydrogestrinon;0;1;0;NULL;;;;;
326_109;Tibolon;0;1;0;NULL;;;;;
326_11;4-Androsten-3, 6, 17-trion (6-oxo);0;1;0;NULL;;;;;
326_110;Toremifen;0;1;0;NULL;;;;;
326_111;Trenbolon;0;1;0;NULL;;;;;
326_112;Wachstumshormon, Releasingfaktoren, Releasingpeptide und Wachstumsfaktoren;0;1;0;NULL;;;;2020-07-03;
326_113;Wachstumshormon-Releasingfaktoren;0;1;0;NULL;GHRH;;;;Growth Hormone Releasing Hormones
326_114;Wachstumshormon-Releasingpeptide;0;1;0;NULL;GHRP;;;;Growth Hormone Releasing Peptides
326_115;Zeranol;0;1;0;NULL;;;;;
326_116;Zilpaterol;0;1;0;NULL;;;;;
326_117;1-Androsteron;NULL;1;0;NULL;;;;;
326_118;Anamorelin;NULL;1;0;NULL;;;;;
326_119;Buserelin;NULL;1;0;NULL;;;;;
326_12;4-Hydroxytestosteron;0;1;0;NULL;;;;;
326_120;Daprodustat;NULL;1;0;NULL;GSK 1278863;;;;
326_121;Deslorelin;NULL;1;0;NULL;;;;;
326_122;Follistatin und seine Derivate;NULL;1;0;NULL;;;;;
326_123;Gonadorelin;NULL;1;0;NULL;;;;;
326_124;Goserelin;NULL;1;0;NULL;;;;;
326_125;Hypoxie-induzierbarer-Faktor (HIF)-Aktivatoren;NULL;1;0;NULL;;;;;
326_126;Ibutamoren;NULL;1;0;NULL;MK-677;;;;
326_127;Ipamorelin;NULL;1;0;NULL;;;;;
326_128;Lenomorelin;NULL;1;0;NULL;Ghrelin;;;;
326_129;Leuprorelin;NULL;1;0;NULL;;;;;
326_13;AICAR;0;1;0;NULL;;;;;
326_130;Macimorelin;NULL;1;0;NULL;;;;;
326_131;Mechano Growth Factor und MGF-Varianten;NULL;1;0;NULL;MGF;;;;
326_132;Molidustat;NULL;1;0;NULL;BAY 85-3934;;;;
326_133;Nafarelin;NULL;1;0;NULL;;;;;
326_134;Roxadustat;NULL;1;0;NULL;FG-4592;;;;
326_135;SR9009;NULL;1;0;NULL;;;;;
326_136;Tabimorelin;NULL;1;0;NULL;;;;;
326_137;Tesamorelin;NULL;1;0;NULL;;;;;
326_138;Thymosin-beta-4 und seine Derivate;NULL;1;0;NULL;;;;;
326_139;Triptorelin;NULL;1;0;NULL;;;;;
326_14;Aminoglutethimid;0;1;0;NULL;;;;;
326_140;Vadadustat;NULL;1;0;NULL;AKB-6548;;;;
326_141;Wachstumsfaktoren und Wachstumsfaktor-Modulatoren;NULL;1;0;NULL;;;;;
