# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
332;Art des Verkehrsunfalls;Art des Verkehrsunfalls;ZIR;V1.1;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;DESTATIS-Schlüssel
332_1;Zusammenstoß mit anderem Fahrzeug, das anfährt, anhält oder im ruhenden Verkehr steht;0;1;0;NULL;;Anfahren oder Anhalten ist hier im Zusammenhang mit einer gewollten Fahrtunterbrechung zu sehen, die nicht durch die Verkehrslage veranlasst ist. Ruhender Verkehr im Sinne dieser Unfallart ist das Halten oder Parken am Fahrbahnrand, auf Seitenstreifen, auf den markierten Parkstellen unmittelbar am Fahrbahnrand, auf Gehwegen oder auf Parkplätzen. Der Verkehr von und zu Parkplätzen mit eigenen Zufahrten gehört zur Unfallart 5.;;;;1
332_10;Unfall anderer Art;0;1;0;NULL;;Hier werden alle Unfälle erfasst, die sich nicht einer der Unfallarten von 1 bis 9 zuordnen lassen;;;;10
332_2;Zusammenstoß mit anderem Fahrzeug, das vorausfährt oder wartet;0;1;0;NULL;;Unfälle durch Auffahren auf ein Fahrzeug, das selbst noch fuhr oder verkehrsbedingt hielt. Auffahren auf anfahrende bzw. anhaltende Fahrzeuge gehören zur Unfallart 1.;;;;2
332_3;Zusammenstoß mit anderem Fahrzeug, das seitlich in gleicher Richtung fährt;0;1;0;NULL;;Unfälle beim Nebeneinanderfahren (Streifen) oder beim Fahrstreifenwechsel (Schneiden).;;;;3
332_4;Zusammenstoß mit anderem Fahrzeug, das entgegenkommt;0;1;0;NULL;;Zusammenstöße im Begegnungsverkehr, ohne dass ein Kollisionspartner die Absicht hatte, über die Gegenspur abzubiegen.;;;;4
332_5;Zusammenstoß mit anderem Fahrzeug, das einbiegt oder kreuzt;0;1;0;NULL;;Zu dieser Unfallart gehören Zusammenstöße mit dem Querverkehr und Kollisionen mit Fahrzeugen die aus anderen Straßen, Wegen oder Grundstücken einbiegen oder dorthin abbiegen wollen. Das Auffahren auf wartende Abbieger gehört zur Unfallart 2.;;;;5
332_6;Zusammenstoß zwischen Fahrzeug und Fußgänger;0;1;0;NULL;;Personen, die sich arbeitsbedingt auf der Fahrbahn aufhalten oder noch in enger Verbindung zu einem Fahrzeug stehen, wie Straßenarbeiter, Polizeibeamte bei der Verkehrsregelung oder ausgestiegene Fahrzeuginsassen bei Pannen zählen nicht als Fußgänger. Zusammenstöße mit ihnen gehören zur Unfallart 10.;;;;6
332_7;Aufprall auf ein Hindernis auf der Fahrbahn;0;1;0;NULL;;Zu den Hindernissen zählen z.B. umgestürzte Bäume, Steine, verlorene Fracht sowie freilaufende Tiere oder Wild. Zusammenstöße mit geführten Tieren oder Reitern gehören zur Unfallart 10.;;;;7
332_8;Abkommen von der Fahrbahn nach rechts;0;1;0;NULL;;Bei diesen Unfallarten ist es nicht zu einem Zusammenstoß mit anderen Verkehrsteilnehmern gekommen. Es kann jedoch weitere Unfallbeteiligte geben, z.B. wenn das verunglückte Fahrzeug von der Straße abgekommen ist, weil es einem anderen Verkehrsteilnehmer ausgewichen ist, ohne ihn zu berühren.;;;;8
332_9;Abkommen von der Fahrbahn nach links;0;1;0;NULL;;Bei diesen Unfallarten ist es nicht zu einem Zusammenstoß mit anderen Verkehrsteilnehmern gekommen. Es kann jedoch weitere Unfallbeteiligte geben, z.B. wenn das verunglückte Fahrzeug von der Straße abgekommen ist, weil es einem anderen Verkehrsteilnehmer ausgewichen ist, ohne ihn zu berühren.;;;;9
