# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
338;Geschwindigkeitsbegrenzung;Geschwindigkeitsbegrenzung;ZIR;V1.1;20210220

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
338_1;5;0;1;0;NULL;;;;;
338_10;80;0;1;0;NULL;;;;;
338_11;90;0;1;0;NULL;;;;;
338_12;100;0;1;0;NULL;;;;;
338_13;110;0;1;0;NULL;;;;;
338_14;120;0;1;0;NULL;;;;;
338_15;130;0;1;0;NULL;;;;;
338_16;Z07;0;1;0;NULL;;;;;
338_17;Z20;0;1;0;NULL;;;;;
338_18;Z30;0;1;0;NULL;;;;;
338_19;50;NULL;1;0;NULL;;;;;
338_2;10;0;1;0;NULL;;;;;
338_3;15;0;1;0;NULL;;;;;
338_4;20;0;1;0;NULL;;;;;
338_5;25;0;1;0;NULL;;;;;
338_6;30;0;1;0;NULL;;;;;
338_7;40;0;1;0;NULL;;;;;
338_8;60;0;1;0;NULL;;;;;
338_9;70;0;1;0;NULL;;;;;
