# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
344;Personenbezogene Unfallursache;Personenbezogene Unfallursache;ZIR;V1.1;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;DESTATIS-Schlüssel;Kategorie
344_1;Alkoholeinfluss;0;1;0;NULL;;;;;;1;Verkehrstüchtigkeit
344_10;Starkes Bremsen des Vorausfahrenden ohne zwingenden Grund;0;1;0;NULL;;;;;;15;Abstand
344_11;Unzulässiges Rechtsüberholen;0;1;0;NULL;;;;;;16;Überholen
344_12;Überholen trotz Gegenverkehrs;0;1;0;NULL;;;;;;17;Überholen
344_13;Überholen trotz unklarer Verkehrslage;0;1;0;NULL;;;;;;18;Überholen
344_14;Überholen trotz unzureichender Sichtverhältnisse;0;1;0;NULL;;;;;;19;Überholen
344_15;Überholen ohne Beachtung des nachfolgenden Verkehrs und/oder ohne rechtzeitige und deutliche Ankündigung des Ausscherens;0;1;0;NULL;;;;;;20;Überholen
344_16;Fehler beim Wiedereinordnen nach rechts;0;1;0;NULL;;;;;;21;Überholen
344_17;'Sonstige Fehler beim Überholen (z.B. ohne genügenden Seitenabstand; an Fußgängerüberwegen s. Pos. 38, 39)';0;1;0;NULL;;;;;;22;Überholen
344_18;Fehler beim Überholtwerden;0;1;0;NULL;;;;;;23;Überholen
344_19;Nichtbeachten des Vorranges entgegenkommender Fahrzeuge beim Vorbeifahren an haltenden Fahrzeugen, Absperrungen oder Hindernissen (§ 6) (ausgenommen Pos. 32).;0;1;0;NULL;;;;;;24;Vorbeifahren
344_2;Einfluss anderer berauschender Mittel (z.B. Drogen, Rauschgift);0;1;0;NULL;;;;;;2;Verkehrstüchtigkeit
344_20;Nichtbeachten des nachfolgenden Verkehrs beim Vorbeifahren an haltenden Fahrzeugen, Absperrungen oder Hindernissen und/oder ohne rechtzeitige und deutliche Ankündigung des Ausscherens;0;1;0;NULL;;;;;;25;Vorbeifahren
344_21;Fehlerhaftes Wechseln des Fahrstreifens beim Nebeneinanderfahren oder Nichtbeachten des Reißverschlussverfahrens (§ 7) (ausgenommen Pos. 20, 25).;0;1;0;NULL;;;;;;26;Nebeneinanderfahren
344_22;Nichtbeachten der Regel "rechts vor links";0;1;0;NULL;;;;;;27;Vorfahrt, Vorrang
344_23;Nichtbeachten der die Vorfahrt regelnden Verkehrszeichen (§ 8) (ausgenommen Pos. 29);0;1;0;NULL;;;;;;28;Vorfahrt, Vorrang
344_24;Nichtbeachten der Vorfahrt des durchgehenden Verkehrs auf Autobahnen oder Kraftfahrstraßen (§ 18, Abs. 3);0;1;0;NULL;;;;;;29;Vorfahrt, Vorrang
344_25;Nichtbeachten der Vorfahrt durch Fahrzeuge, die aus Feld- und Waldwegen kommen;0;1;0;NULL;;;;;;30;Vorfahrt, Vorrang
344_26;Nichtbeachten der Verkehrsregelung durch Polizeibeamte oder Lichtzeichen (ausgenommen Pos. 39);0;1;0;NULL;;;;;;31;Vorfahrt, Vorrang
344_27;Nichtbeachten des Vorranges entgegenkommender Fahrzeuge (Zeichen 208 StVO);0;1;0;NULL;;;;;;32;Vorfahrt, Vorrang
344_28;Nichtbeachten des Vorranges von Schienenfahrzeugen an Bahnübergängen;0;1;0;NULL;;;;;;33;Vorfahrt, Vorrang
344_3;Übermüdung;0;1;0;NULL;;;;;;3;Verkehrstüchtigkeit
