# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
349;Gefahrgut UN-Nummer;Gefahrgut UN-Nummer;ZIR;V1.0;20180713

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
349_1;0004;0;1;0;NULL;;AMMONIUMPIKRAT, trocken oder angefeuchtet mit weniger als 10 Masse-% Wasser;;;
349_10;0016;0;1;0;NULL;;MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung;;;
349_100;0190;0;1;0;NULL;;EXPLOSIVSTOFF, MUSTER, ausser Initialsprengstoff;;;
349_1000;1791;0;1;0;NULL;;HYPOCHLORITLÖSUNG;;;
349_1001;1792;0;1;0;NULL;;IODMONOCHLORID;;;
349_1002;1793;0;1;0;NULL;;ISOPROPYLPHOSPHAT;;;
349_1003;1794;0;1;0;NULL;;BLEISULFAT mit mehr als 3 % freier Säure;;;
349_1004;1796;0;1;0;NULL;;NITRIERSÄUREMISCHUNG;;;
349_1005;1798;0;1;0;NULL;;GEMISCHE AUS SALPETERSÄURE UND SALZSÄURE;;;
349_1006;1799;0;1;0;NULL;;NONYLTRICHLORSILAN;;;
349_1007;1800;0;1;0;NULL;;OCTADECYLTRICHLORSILAN;;;
349_1008;1801;0;1;0;NULL;;OCTYLTRICHLORSILAN;;;
349_1009;1802;0;1;0;NULL;;PERCHLORSÄURE mit höchstens 50 Masse-% Säure in wässeriger Lösung;;;
349_101;0191;0;1;0;NULL;;SIGNALKÖRPER, HAND;;;
349_1010;1803;0;1;0;NULL;;PHENOLSULFONSÄURE, FLÜSSIG;;;
349_1011;1804;0;1;0;NULL;;PHENYLTRICHLORSILAN;;;
349_1012;1805;0;1;0;NULL;;PHOSPHORSÄURE, LÖSUNG;;;
349_1013;1806;0;1;0;NULL;;PHOSPHORPENTACHLORID;;;
349_1014;1807;0;1;0;NULL;;PHOSPHORPENTOXID;;;
349_1015;1808;0;1;0;NULL;;PHOSPHORTRIBROMID;;;
349_1016;1809;0;1;0;NULL;;PHOSPHORTRICHLORID;;;
349_1017;1810;0;1;0;NULL;;PHOSPHOROXYCHLORID;;;
349_1018;1811;0;1;0;NULL;;KALIUMHYDROGENDIFLUORID, FEST;;;
349_1019;1812;0;1;0;NULL;;KALIUMFLUORID, FEST;;;
349_102;0192;0;1;0;NULL;;KNALLKAPSELN, EISENBAHN;;;
349_1020;1813;0;1;0;NULL;;KALIUMHYDROXID, FEST;;;
349_1021;1814;0;1;0;NULL;;KALIUMHYDROXIDLÖSUNG;;;
349_1022;1815;0;1;0;NULL;;PROPIONYLCHLORID;;;
349_1023;1816;0;1;0;NULL;;PROPYLTRICHLORSILAN;;;
349_1024;1817;0;1;0;NULL;;PYROSULFURYLCHLORID;;;
349_1025;1818;0;1;0;NULL;;SILICIUMTETRACHLORID;;;
349_1026;1819;0;1;0;NULL;;NATRIUMALUMINATLÖSUNG;;;
349_1027;1823;0;1;0;NULL;;NATRIUMHYDROXID, FEST;;;
349_1028;1824;0;1;0;NULL;;NATRIUMHYDROXIDLÖSUNG;;;
349_1029;1825;0;1;0;NULL;;NATRIUMMONOXID;;;
349_103;0193;0;1;0;NULL;;KNALLKAPSELN, EISENBAHN;;;
