# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
353;EU-Führerscheinklasse;EU-Führerscheinklasse;ZIR;V1.0;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
353_1;A;0;1;0;NULL;;Krafträder mit Hubraum von mehr als 50 cm³ oder bauartbedingter Höchstgeschwindigkeit von mehr als 45 km/h, auch mit Beiwagen. Dreirädrige Kraftfahrzeuge mit Leistung von mehr als 15 kW oder mit symmetrisch angeordneten Rädern und Hubraum von mehr als 50 cm³ (bei Verbrennungsmotoren) oder bauartbedingter Höchstgeschwindigkeit von mehr als 45 km/h und Leistung von mehr als 15 kW.;;;
353_10;D;0;1;0;NULL;;Kraftfahrzeuge (außer solche der Klassen AM, A1, A2 und A), gebaut und ausgelegt zur Beförderung von mehr als acht Personen außer dem Fahrzeugführer, auch mit Anhänger mit einer zulässigen Gesamtmasse von nicht mehr als 750 kg.;;;
353_11;D1;0;1;0;NULL;;Kraftfahrzeuge (außer solche der Klassen AM, A1, A2 und A) gebaut und ausgelegt zur Beförderung von mehr als acht, aber nicht mehr als 16 Personen außer dem Fahrzeugführer und Länge nicht mehr als 8 m, auch mit Anhänger mit einer zulässigen Gesamtmasse von nicht mehr als 750 kg.;;;
353_12;D1E;0;1;0;NULL;;Zugfahrzeug der Klasse D1 in Kombination mit Anhänger mit zulässiger Gesamtmasse von mehr als 750 kg.;;;
353_13;DE;0;1;0;NULL;;Zugfahrzeug der Klasse D in Kombination mit Anhänger mit zulässiger Gesamtmasse von mehr als 750 kg.;;;
353_14;L;0;1;0;NULL;;Zugmaschinen, die nach ihrer Bauart zur Verwendung für land- oder forstwirtschaftliche Zwecke bestimmt sind und für solche Zwecke eingesetzt werden, mit einer durch die Bauart bestimmten Höchstgeschwindigkeit von nicht mehr als 40 km/h und Kombinationen aus diesen Fahrzeugen und Anhängern, wenn sie mit einer Geschwindigkeit von nicht mehr als 25 km/h geführt werden, sowie selbstfahrende Arbeitsmaschinen, selbstfahrende Futtermischwagen, Stapler und andere Flurförderzeuge jeweils mit einer durch die Bauart bestimmten Höchstgeschwindigkeit von nicht mehr als 25 km/h und Kombinationen aus diesen Fahrzeugen und Anhängern.;;;
353_15;T;0;1;0;NULL;;Zugmaschinen mit einer durch die Bauart bestimmten Höchstgeschwindigkeit von nicht mehr als 60 km/h und selbstfahrende Arbeitsmaschinen oder selbstfahrende Futtermischwagen mit einer durch die Bauart bestimmten Höchstgeschwindigkeit von nicht mehr als 40 km/h die jeweils nach ihrer Bauart zur Verwendung für land- oder forstwirtschaftliche Zwecke bestimmt sind und für solche Zwecke eingesetzt werden (jeweils auch mit Anhängern).;;;
353_2;A1;0;1;0;NULL;;Krafträder mit Hubraum von nicht mehr als 125 cm³, Motorleistung von nicht mehr als 11 kW und Verhältnis der Leistung zum Gewicht max. 0,1 kW/kg, auch mit Beiwagen. Dreirädrige Kraftfahrzeuge mit symmetrisch angeordneten Rädern und Hubraum von mehr als 50 cm³ bei Verbrennungsmotoren oder bauartbedingter Höchstgeschwindigkeit von mehr als 45 km/h und Leistung von bis zu 15 kW.;;;
353_3;A2;0;1;0;NULL;;Krafträder mit Motorleistung von nicht mehr als 35 kW und Verhältnis der Leistung zum Gewicht max. 0,2 kW/kg, auch mit Beiwagen.;;;
353_4;AM;0;1;0;NULL;;Zweirädrige Kleinkrafträder (Mopeds) mit bauartbedingter Höchstgeschwindigkeit bis 45 km/h und einer elektrischen Antriebsmaschine oder einem Verbrennungsmotor mit einem Hubraum von nicht mehr als 50 cm³ oder einer maximalen Nenndauerleistung bis zu 4 kW im Falle von Elektromotoren, auch mit Beiwagen. Gilt auch für Fahrräder mit Hilfsmotor mit diesen Anforderungen. Dreirädrige Kleinkrafträder mit bauartbedingter Höchstgeschwindigkeit von nicht mehr als 45 km/h und Hubraum von nicht mehr als 50 cm³ (bei Fremdzündungsmotoren) bzw. maximaler Nutzleistung von nicht mehr als 4 kW (bei anderen Verbrennungsmotoren) oder maximaler Nenndauerleistung von nicht mehr als 4 kW (bei Elektromotoren). Vierrädrige Leichtkraftfahrzeuge mit bauartbedingter Höchstgeschwindigkeit von nicht mehr als 45 km/h und Hubraum von nicht mehr als 50 cm³ (bei  Fremdzündungsmotoren) oder maximaler Nutzleistung von nicht mehr als 4 kW (bei anderen Verbrennungsmotoren) oder maximaler Nenndauerleistung von nicht mehr als 4 kW (bei Elektromotoren) und Leermasse von nicht mehr als 350 kg (ohne Masse der Batterien im Falle von Elektrofahrzeugen).;;;
