# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
354;Ermittlungsunterstützender Hinweis (EHW);Ermittlungsunterstützender Hinweis (EHW);ZIR;V1.1;20180331

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
354_1;BtM-Handel;0;1;0;NULL;BTM;;;;
354_10;reisender Täter;0;1;0;NULL;REIT;;;;
354_11;Rocker;0;1;0;NULL;ROCK;;;;
354_12;Schmuggler;0;1;0;NULL;SCHM;;;;
354_13;Sexualtäter;0;1;0;NULL;SEXT;;;;
354_14;Trick- / Taschendieb;0;1;0;NULL;TDIE;;;;
354_15;Reichsbürger / Selbstverwalter;0;1;0;NULL;RB;;;;
354_2;Einbrecher;0;1;0;NULL;EINB;;;;
354_3;Gefährdung;0;1;0;NULL;GEF;;;;
354_4;Identität;0;1;0;NULL;ID;;;;
354_5;Intensivtäter;0;1;0;NULL;INT;;;;
354_6;KFZ-Dieb;0;1;0;NULL;KFZD;;;;
354_7;Menschenhandel;0;1;0;NULL;MEN;;;;
354_8;Politisch motivierter Straftäter;0;1;0;NULL;PMK;;;;
354_9;Reisender in / aus Jihad- / Krisengebiet;0;1;0;NULL;JIHA;;;;
