# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
355;Ermittlungsunterstützender Hinweis - Ausprägung;Ermittlungsunterstützender Hinweis - Ausprägung;ZIR;V1.1;20180331

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
355_1;Abnehmer;0;1;0;NULL;;;;;
355_10;PMK - nicht zuzuordnen;0;1;0;NULL;;;;;
355_11;PMK - ausländische Ideologie;0;1;0;NULL;;;;;
355_12;PMK - links;0;1;0;NULL;;;;;
355_13;PMK - rechts;0;1;0;NULL;;;;;
355_14;PMK - religiöse Ideologie;0;1;0;NULL;;;;;
355_15;Produzent;0;1;0;NULL;;;;;
355_16;Schleuser;0;1;0;NULL;;;;;
355_17;Sportveranstaltungen;0;1;0;NULL;;;;;
355_18;Stalker;0;1;0;NULL;;;;;
355_19;Vermieter;0;1;0;NULL;;;;;
355_2;Anwerber;0;1;0;NULL;;;;;
355_20;Zuhälter;0;1;0;NULL;;;;;
355_3;Brandstifter;0;1;0;NULL;;;;;
355_4;Dokumentenbeschaffer;0;1;0;NULL;;;;;
355_5;Händler;0;1;0;NULL;;;;;
355_6;häusliche Gewalt;0;1;0;NULL;;;;;
355_7;Kurier;0;1;0;NULL;;;;;
355_8;Lieferant;0;1;0;NULL;;;;;
355_9;Passüberlasser;0;1;0;NULL;;;;;
