# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
356;Rechtsgrundlage gem. Polizeigesetz;Rechtsgrundlage gem. Polizeigesetz;ZIR;V1.4;20210813

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Kategorie
356_1;BKAG;0;1;0;NULL;;Bundeskriminalamtgesetz;;;;1
356_10;§ 42 Abs. 2 BKAG;0;1;0;NULL;;Prüfung von Berechtigungsscheinen, Bescheinigungen, Nachweisen oder sonstigen Urkunden;;;;4
356_100;§ 34 PolG BW (gültig bis 31.12.2020);0;1;0;NULL;;Einziehung;;2020-12-31;;
356_1000;§ 23 Abs. 1 PolDVG;NULL;1;0;NULL;;Datenverarbeitung durch Telekommunikationsüberwachung;2019-12-24;;;
356_1001;§ 23 Abs. 2 PolDVG;NULL;1;0;NULL;;Eingriff in die Telekommunikation;2019-12-24;;;
356_1002;§ 23 SächsPolG;NULL;1;0;NULL;;Durchsuchung von Personen;;2019-12-31;;4
356_1003;§ 24 SächsPolG;NULL;1;0;NULL;;Durchsuchung von Sachen;;2019-12-31;;4
356_1004;§ 25 Abs. 2 PolDVG;NULL;1;0;NULL;;Nutzungsdatenverarbeitung (Zielsuchlauf);2019-12-24;;;
356_1005;§ 25 Abs. 3 PolDVG;NULL;1;0;NULL;;Einsatz besonderer technischer Mittel zur Datenerhebung;2019-12-24;;;
356_1006;§ 25 SächsPolG;NULL;1;0;NULL;;Betreten und Durchsuchung von Wohnungen;;2019-12-31;;4
356_1007;§ 25 SächsPVDG;NULL;1;0;NULL;;Datenerhebung durch den Einsatz technischer Mittel in polizeilichem Gewahrsam;2020-01-01;;;2
356_1008;§ 26 SächsPolG;NULL;1;0;NULL;;Sicherstellung;;2019-12-31;;4
356_1009;§ 26 SächsPVDG;NULL;1;0;NULL;;Beendigung der Freiheitsentziehung;2020-01-01;;;4
356_101;§ 35 PolG BW (gültig bis 31.12.2020);0;1;0;NULL;;Vernehmung;;2020-12-31;;
356_1010;§ 27 Abs. 1-3 SächsPVDG;NULL;1;0;NULL;;Durchsuchung und Untersuchung von Personen;2020-01-01;;;4
356_1011;§ 27 Abs. 4 SächsPVDG;NULL;1;0;NULL;;Durchsuchung und Untersuchung von Personen (körperliche Untersuchung);2020-01-01;;;2
356_1012;§ 27 SächsPolG;NULL;1;0;NULL;;Beschlagnahme;;2019-12-31;;4
356_1013;§ 28 SächsPVDG;NULL;1;0;NULL;;Durchsuchung von Sachen;2020-01-01;;;4
356_1014;§ 29 (ausg. Abs. 2) SächsPVDG;NULL;1;0;NULL;;Betreten und Durchsuchung von Wohnungen;2020-01-01;;;4
356_1015;§ 29 Abs. 2 SächsPVDG;NULL;1;0;NULL;;Betreten und Durchsuchung von Wohnungen (Gebäude und Gebäudegruppen);2020-01-01;;;2
