# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
357;Fälschungsmerkmale bei Urkunden;Fälschungsmerkmale bei Urkunden;ZIR;V1.0;20171127

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
357_1;Abänderung der Dokumentendaten;0;1;0;NULL;;;;;
357_10;Chipmanipulation;0;1;0;NULL;;;;;
357_11;Datenveränderung;0;1;0;NULL;;;;;
357_12;Entfernen von Eintragungen;0;1;0;NULL;;;;;
357_13;falsche / zweite Folie;0;1;0;NULL;;;;;
357_14;falscher Chip / Chip ausgetauscht;0;1;0;NULL;;;;;
357_15;Hinzufügung;0;1;0;NULL;;;;;
357_16;Kartenspaltung;0;1;0;NULL;;;;;
357_17;Klebeetikett entfernt;0;1;0;NULL;;;;;
357_18;Lichtbildaustausch;0;1;0;NULL;;;;;
357_19;mechanische Rasur;0;1;0;NULL;;;;;
357_2;Abänderung von Ausstellungsdaten;0;1;0;NULL;;;;;
357_20;nicht amtliche Beschriftung von eChip;0;1;0;NULL;;;;;
357_21;Seitenaustausch;0;1;0;NULL;;;;;
357_22;Seitenentfernung;0;1;0;NULL;;;;;
357_23;Seitenspaltung;0;1;0;NULL;;;;;
357_24;Stempelabdruck ge- / verfälscht;0;1;0;NULL;;;;;
357_25;Überdeckung;0;1;0;NULL;;;;;
357_26;Überschreibung;0;1;0;NULL;;;;;
357_27;ungültiges Zertifikat;0;1;0;NULL;;;;;
357_3;Abänderung von Personendaten;0;1;0;NULL;;;;;
357_4;Antenne beschädigt / entfernt;0;1;0;NULL;;;;;
357_5;Austausch des Personendatenblattes gegen Originalseite;0;1;0;NULL;;;;;
357_6;Austausch des Personendatenblattes gegen Totalfälschung;0;1;0;NULL;;;;;
357_7;chemische Rasur;0;1;0;NULL;;;;;
357_8;Chip beschädigt / entfernt;0;1;0;NULL;;;;;
357_9;Chipdaten nicht lesbar;0;1;0;NULL;;;;;
