# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
358;Gesprächsklassifizierung;Gesprächsklassifizierung;ZIR;V1.0;20171127

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Benachrichtigungspflicht
358_1;belangloses Gespräch;0;1;0;NULL;;;;;;N
358_10;unbekannte Identität i. S. des § 101 Abs. 4 Satz 5 StPO;0;1;0;NULL;;;;;;N
358_11;Zurückstellung i. S. des § 101 Abs. 5 und 6 StPO;0;1;0;NULL;;;;;;J
358_2;Beteiligter ist gesondert verfolgter Beschuldigter;0;1;0;NULL;;;;;;N
358_3;fehlendes Interesse i. S. des § 101 Abs. 4 Satz 4 StPO;0;1;0;NULL;;;;;;N
358_4;Gespräch mit Berufsgeheimnisträger mit Vertrauensbezug;0;1;0;NULL;;;;;;J
358_5;Gespräch mit Berufsgeheimnisträger ohne besonderen Vertrauensbezug;0;1;0;NULL;;;;;;J
358_6;keine Verbindung;0;1;0;NULL;;;;;;N
358_7;normales Gespräch (Alltagsgespräch);0;1;0;NULL;;;;;;J
358_8;qualifiziertes Gespräch (z. B. Kernbereich);0;1;0;NULL;;;;;;J
358_9;schutzwürdige Belange i. S. des § 101 Abs. 4 Satz 3 StPO;0;1;0;NULL;;;;;;N
