# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
374;Gebissauffälligkeit;Gebissauffälligkeit;ZIR;V1.0;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
374_1;Goldverblendung;0;1;0;NULL;;;;;
374_10;weitgestellt;0;1;0;NULL;;;;;
374_11;Zahnersatz;0;1;0;NULL;;;;;
374_12;zahnlos;0;1;0;NULL;;;;;
374_13;Zahnschmuck;0;1;0;NULL;;;;;
374_14;Zahnspange;0;1;0;NULL;;;;;
374_15;Zahntattoo;0;1;0;NULL;;;;;
374_2;Krone;0;1;0;NULL;;;;;
374_3;lückenhaft;0;1;0;NULL;;;;;
374_4;Rauchergebiss;0;1;0;NULL;;;;;
374_5;schief;0;1;0;NULL;;;;;
374_6;Unterbiss;0;1;0;NULL;;;;;
374_7;verfärbt;0;1;0;NULL;;;;;
374_8;verfault / kariös;0;1;0;NULL;;;;;
374_9;vorstehend / Vorbiss;0;1;0;NULL;;;;;
