# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
395;Nummer zur Kennzeichnung der Gefahr;Nummer zur Kennzeichnung der Gefahr;ZIR;V1.0;20190830

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
395_1;1.1B;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.1, Verträglichkeitsgruppe B;;;
395_10;1.2C;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe C;;;
395_100;668;0;1;0;NULL;;sehr giftiger Stoff, ätzend;;;
395_101;X668;0;1;0;NULL;;sehr giftiger Stoff, ätzend, der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet werden);;;
395_102;669;0;1;0;NULL;;sehr giftiger Stoff, der spontan zu einer heftigen Reaktion führen kann;;;
395_103;68;0;1;0;NULL;;giftiger Stoff, ätzend;;;
395_104;687;0;1;0;NULL;;giftiger Stoff, ätzend, radioaktiv;;;
395_105;69;0;1;0;NULL;;giftiger oder schwach giftiger Stoff, der spontan zu einer heftigen Reaktion führen kann;;;
395_106;70;0;1;0;NULL;;radioaktiver Stoff;;;
395_107;768;0;1;0;NULL;;radioaktiver Stoff, giftig, ätzend;;;
395_108;80;0;1;0;NULL;;ätzender oder schwach ätzender Stoff;;;
395_109;X80;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet werden);;;
395_11;1.2D;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe D;;;
395_110;823;0;1;0;NULL;;ätzender flüssiger Stoff, der mit Wasser reagiert und entzündbare Gase bildet;;;
395_111;83;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, entzündbar (Flammpunkt von 23 °C bis einschließlich 60 °C);;;
395_112;X83;0;1;0;NULL;;Ätzender oder schwach ätzender Stoff, entzündbar (Flammpunkt von 23 °C bis einschließlich 60 °C), der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet werden);;;
395_113;839;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, entzündbar (Flammpunkt von 23 °C bis einschließlich 60 °C), der spontan zu einer heftigen Reaktion führen kann;;;
395_114;X839;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, entzündbar (Flammpunkt von 23 °C bis einschließlich 60 °C), der spontan zu einer heftigen Reaktion führen kann und der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet w;;;
395_115;84;0;1;0;NULL;;ätzender fester Stoff, entzündbar oder selbsterhitzungsfähig;;;
395_116;842;0;1;0;NULL;;ätzender fester Stoff, der mit Wasser reagiert und entzündbare Gase bildet;;;
395_117;85;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, oxidierend (brandfördernd);;;
395_118;856;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, oxidierend (brandfördernd) und giftig;;;
395_119;86;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, giftig;;;
395_12;1.2E;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe E;;;
395_120;88;0;1;0;NULL;;stark ätzender Stoff;;;
395_121;X88;0;1;0;NULL;;stark ätzender Stoff, der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet werden);;;
395_122;883;0;1;0;NULL;;stark ätzender Stoff, entzündbar (Flammpunkt von 23 °C bis einschließlich 60 °C);;;
395_123;884;0;1;0;NULL;;stark ätzender fester Stoff, entzündbar oder selbsterhitzungsfähig;;;
395_124;885;0;1;0;NULL;;stark ätzender Stoff, oxidierend (brandfördernd);;;
395_125;886;0;1;0;NULL;;stark ätzender Stoff, giftig;;;
395_126;X886;0;1;0;NULL;;stark ätzender Stoff, giftig, der mit Wasser gefährlich reagiert (Wasser darf nur im Einverständnis mit Sachverständigen verwendet werden);;;
395_127;89;0;1;0;NULL;;ätzender oder schwach ätzender Stoff, der spontan zu einer heftigen Reaktion führen kann;;;
395_128;90;0;1;0;NULL;;umweltgefährdender Stoff, verschiedene gefährliche Stoffe;;;
395_129;99;0;1;0;NULL;;verschiedene gefährliche Stoffe in erwärmtem Zustand;;;
395_13;1.2F;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe F;;;
395_14;1.2G;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe G;;;
395_15;1.2H;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe H;;;
395_16;1.2J;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe J;;;
395_17;1.2L;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.2, Verträglichkeitsgruppe L;;;
395_18;1.3C;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.3, Verträglichkeitsgruppe C;;;
395_19;1.3G;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.3, Verträglichkeitsgruppe G;;;
395_2;1.1C;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.1, Verträglichkeitsgruppe C;;;
395_20;1.3H;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.3, Verträglichkeitsgruppe H;;;
395_21;1.3J;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.3, Verträglichkeitsgruppe J;;;
395_22;1.3L;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.3, Verträglichkeitsgruppe L;;;
395_23;1.4B;0;1;0;NULL;;explosiver Stoff, Unterklasse 1.4, Verträglichkeitsgruppe B;;;
