# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
409;hyDaNe-Ausnahme;hyDaNe-Ausnahme;ZIR;V1.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular
409_1;Fahndung § 16 Abs. 2 BKAG;NULL;1;0;NULL;;;
409_10;projektbezogene Zusammenarbeit § 17 BKAG;NULL;1;0;NULL;;;
409_11;Prüfung § 18 Abs. 1 nach § 18 Abs. 3 BKAG;NULL;1;0;NULL;;;
409_12;Prüfung § 19 Abs. 1 nach § 19 Abs. 3 BKAG;NULL;1;0;NULL;;;
409_13;Vermeidung Trugspuren § 24 BKAG;NULL;1;0;NULL;;;
409_14;Datenübermittlung an andere Behörden § 25 Abs. 2 Nr. 1 BKAG;NULL;1;0;NULL;;;
409_15;Datenübermittlung an Mitgliedsstaaten der Europäischen Union § 26 BKAG;NULL;1;0;NULL;;;
409_2;Eigensicherung § 16 Abs. 6 BKAG;NULL;1;0;NULL;;;
409_3;Grunddatenauskunft;NULL;1;0;NULL;;;
409_4;Vorgangsverwaltung § 22 Abs. 2 BKAG;NULL;1;0;NULL;;;
409_5;Statistik und Weiterbildung § 12 Abs. 2 S. 2 i. V. m. § 22 BKAG;NULL;1;0;NULL;;;
409_6;Forschung § 12 Abs. 2 S. 2 i. V. m. § 21 BKAG;NULL;1;0;NULL;;;
409_7;Strafverfahren § 16 Abs. 3 BKAG;NULL;1;0;NULL;;;
409_8;Datenabgleich § 16 Abs. 4 S. 1 BKAG;NULL;1;0;NULL;;;
409_9;erkennungsdienstliche Behandlung § 16 Abs. 5 i. V. m. § 30 Abs. 1 Nr. 2 a BKAG;NULL;1;0;NULL;;;
