# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
412;Vereine / Mannschaften (Fußball / Eishockey);Vereine / Mannschaften (Fußball / Eishockey);ZIR;V1.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular;Sportart
412_1;1. CfR Pforzheim 1896;0;1;0;NULL;;;;Fußball
412_10;1. FC Kaan-Marienborn 07 e. V.;0;1;0;NULL;;;;Fußball
412_100;DJK Schwarz-Weiss Neukölln 1920 e. V.;0;1;0;NULL;;;;Fußball
412_101;DjK Utzenhofen;0;1;0;NULL;;;;Fußball
412_102;DJK Vilzing;0;1;0;NULL;;;;Fußball
412_103;Döbelner SC 02/90 e. V.;0;1;0;NULL;;;;Fußball
412_104;DSC Arminia Bielefeld;0;1;0;NULL;;;;Fußball
412_105;Eimsbütteler TV;0;1;0;NULL;;;;Fußball
412_106;Eintracht Braunschweig;0;1;0;NULL;;;;Fußball
412_107;Eintracht Frankfurt;0;1;0;NULL;;;;Fußball
412_108;Eutiner Sportvereinigung von 1908 e. V.;0;1;0;NULL;;;;Fußball
412_109;F.C. Hansa Rostock;0;1;0;NULL;;;;Fußball
412_11;1. FC Kaiserslautern;0;1;0;NULL;;;;Fußball
412_110;F.C. Hansa Rostock e. V.;0;1;0;NULL;;;;Fußball
412_111;F.C. Pipinsried 1967 e. V.;0;1;0;NULL;;;;Fußball
412_112;'"FC ""Blau-Weiß"" Karbach"';0;1;0;NULL;;;;Fußball
412_113;FC 08 Homburg;0;1;0;NULL;;;;Fußball
412_114;FC 08 Homburg II;0;1;0;NULL;;;;Fußball
412_115;FC 1910 Lößnitz e. V.;0;1;0;NULL;;;;Fußball
412_116;FC 1922 Östringen e. V.;0;1;0;NULL;;;;Fußball
412_117;FC 1931 Eddersheim e. V.;0;1;0;NULL;;;;Fußball
412_118;FC An der Fahner Höhe;0;1;0;NULL;;;;Fußball
412_119;FC Anker Wismar 1997 e. V.;0;1;0;NULL;;;;Fußball
412_12;1. FC Kaiserslautern II;0;1;0;NULL;;;;Fußball
412_120;FC Arminia 03 Ludwigshafen;0;1;0;NULL;;;;Fußball
412_121;FC Astoria Walldorf;0;1;0;NULL;;;;Fußball
412_122;FC Astoria Walldorf II;0;1;0;NULL;;;;Fußball
412_123;FC Augsburg 07;0;1;0;NULL;;;;Fußball
412_124;FC Augsburg 07 II;0;1;0;NULL;;;;Fußball
412_125;FC Bad Lausick 1990;0;1;0;NULL;;;;Fußball
412_126;FC Bayern Alzenau;0;1;0;NULL;;;;Fußball
412_127;FC Bayern München;0;1;0;NULL;;;;Fußball
412_128;FC Bayern München II;0;1;0;NULL;;;;Fußball
412_129;FC Blau-Weiß Leipzig;0;1;0;NULL;;;;Fußball
412_13;1. FC Köln;0;1;0;NULL;;;;Fußball
412_130;FC Brandenburg 03 e. V.;0;1;0;NULL;;;;Fußball
412_131;FC Carl Zeiss Jena;0;1;0;NULL;;;;Fußball
412_132;FC Carl Zeiss Jena II;0;1;0;NULL;;;;Fußball
412_133;FC Carl Zeiss Jena U19;0;1;0;NULL;;;;Fußball
412_134;FC Chemie Triptis;0;1;0;NULL;;;;Fußball
412_135;FC Concordia Wilhelmsruh 1895 e. V.;0;1;0;NULL;;;;Fußball
412_136;FC Dingolfing;0;1;0;NULL;;;;Fußball
412_137;FC Ederbergland;0;1;0;NULL;;;;Fußball
412_138;FC Edersheim;0;1;0;NULL;;;;Fußball
412_139;FC Eilenburg;0;1;0;NULL;;;;Fußball
412_14;1. FC Köln II;0;1;0;NULL;;;;Fußball
412_140;FC Einheit Rudolstadt;0;1;0;NULL;;;;Fußball
412_141;FC Einheit Wernigerode;0;1;0;NULL;;;;Fußball
412_142;FC Eintracht Bamberg 2010 e. V.;0;1;0;NULL;;;;Fußball
412_143;FC Eintracht Norderstedt;0;1;0;NULL;;;;Fußball
412_144;FC Eintracht Northeim 1922;0;1;0;NULL;;;;Fußball
412_145;FC Eisenach;0;1;0;NULL;;;;Fußball
412_146;FC Erfurt Nord;0;1;0;NULL;;;;Fußball
412_147;FC Ergolding;0;1;0;NULL;;;;Fußball
412_148;FC Erzgebirge Aue;0;1;0;NULL;;;;Fußball
412_149;FC Germania Friedrichstal;0;1;0;NULL;;;;Fußball
412_15;1. FC Lok Stendal e. V.;0;1;0;NULL;;;;Fußball
412_150;FC Gießen;0;1;0;NULL;;;;Fußball
412_151;FC Gottfrieding e. V.;0;1;0;NULL;;;;Fußball
412_152;FC Hanau 93;0;1;0;NULL;;;;Fußball
412_153;FC Hertha 03 Zehlendorf;0;1;0;NULL;;;;Fußball
412_154;FC Hertha Wiesbach;0;1;0;NULL;;;;Fußball
412_155;FC Ingolstadt 04;0;1;0;NULL;;;;Fußball
412_156;FC Ingolstadt 04 II;0;1;0;NULL;;;;Fußball
412_157;FC International Leipzig;0;1;0;NULL;;;;Fußball
412_158;FC Internationale Berlin 1980 e. V.;0;1;0;NULL;;;;Fußball
412_159;FC Internationale Berlin 1980 e. V. II;0;1;0;NULL;;;;Fußball
412_16;1. FC Lokomotive Leipzig;0;1;0;NULL;;;;Fußball
412_160;FC Kilia Kiel;0;1;0;NULL;;;;Fußball
412_161;FC Kremmen 1920 e. V.;0;1;0;NULL;;;;Fußball
412_162;FC Mecklenburg Schwerin;0;1;0;NULL;;;;Fußball
412_163;FC Memmingen 1907;0;1;0;NULL;;;;Fußball
412_164;FC Motor Zeulenroda e. V.;0;1;0;NULL;;;;Fußball
